GEO_ID,B28009A_001E,B28009A_001M,B28009A_002E,B28009A_002M,B28009A_003E,B28009A_003M,B28009A_004E,B28009A_004M,B28009A_005E,B28009A_005M,B28009A_006E,B28009A_006M,NAME,B28009A_001MA,B28009A_001EA,B28009A_002MA,B28009A_002EA,B28009A_003MA,B28009A_003EA,B28009A_004EA,B28009A_004MA,B28009A_005EA,B28009A_005MA,B28009A_006MA,B28009A_006EA,state
0400000US08,4692911,16392,4538089,18904,7649,1792,4316923,22690,213517,14131,154822,9766,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5399114,11732,5069522,18426,13627,2347,4701933,25743,353962,15782,329592,14091,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3773912,6492,3495904,12893,12744,2850,3231313,18472,251847,14636,278008,11206,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2816735,8110,2633038,13028,3996,1443,2424657,17037,204385,12294,183697,10714,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,8941146,26658,8499750,30511,20035,2754,8038882,31365,440833,19614,441396,14402,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2762384,5820,2599675,10621,8216,1304,2437406,13142,154053,7344,162709,8584,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1218575,3063,1174246,5212,2998,918,1124895,7087,46353,5130,44329,4329,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2245870,7009,2091442,10825,5018,1348,1844281,15687,242143,14572,154428,9355,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,645231,4634,614184,6104,913,445,589690,7339,23581,4053,31047,4419,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4529840,8395,4330948,10321,15307,2337,4112736,15403,202905,9906,198892,7788,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,916770,2500,864649,4713,3756,1106,814768,6946,46125,5025,52121,4003,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1231338,1848,1159185,4989,6467,1367,1087271,7221,65447,5936,72153,4611,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,6932688,18186,6579443,21849,14879,2747,6122090,29803,442474,21573,353245,13356,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,6006237,18066,5729776,20258,10709,2414,5341699,29720,377368,20368,276461,13611,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,457733,3260,447597,3952,960,541,420853,4611,25784,3542,10136,2164,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,3238629,7212,3012664,12314,14556,5394,2801413,18711,196695,12864,225965,11131,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,566671,1280,537566,2868,2561,568,485855,5240,49150,4892,29105,2550,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,1902276,16670,1829104,16580,4117,2662,1716544,17891,108443,10748,73172,6227,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,1642800,2377,1493363,9405,4597,1169,1371415,11993,117351,9141,149437,9370,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,2772731,8696,2613643,10555,5759,1263,2405848,13973,202036,8779,159088,7048,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,4845360,8885,4557598,14191,19519,2150,4326126,16875,211953,8655,287762,10166,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,2053584,22275,1618737,22673,29614,5185,1332025,23761,257098,13284,434847,15701,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,5591823,16023,5321974,18381,12229,2408,5036412,26440,273333,16920,269849,11347,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,629932,2454,595587,3730,971,688,544327,7364,50289,6240,34345,2658,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,3330628,8930,3164131,12858,5951,1317,2936567,19181,221613,17084,166497,9472,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,3448556,11928,3336710,13658,11071,2488,3145519,17166,180120,11994,111846,6613,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,515898,2708,494097,4007,877,437,461048,6581,32172,4368,21801,3273,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,23082106,68291,22250041,74092,34611,4721,21018206,75850,1197224,38890,832065,25925,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,1688434,3977,1576823,8418,3207,1373,1425074,15594,148542,13882,111611,6990,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,2606211,13016,2496572,14403,4375,1197,2388525,16969,103672,7859,109639,7207,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,20713803,42600,19615035,48760,22468,4087,17919234,62673,1673333,44256,1098768,31403,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,3236486,14104,3099545,16049,4139,1056,2985603,18410,109803,9753,136941,8812,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,15625109,36216,14974363,40885,24754,4258,13866515,47376,1083094,35265,650746,26257,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,5152776,17317,4929873,16710,9082,2123,4725593,23346,195198,13308,222903,9410,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,279722,5141,277243,4986,0,213,271816,5138,5427,1696,2479,933,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,2667160,9923,2622963,10615,4183,1071,2485176,13652,133604,8922,44197,3947,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,12037148,34568,11315299,37043,26774,3054,10676696,38048,611829,25319,721849,21068,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,5851951,22549,5609499,25347,8951,1814,5370209,24842,230339,13542,242452,11607,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,9242697,11694,8692938,18109,24020,3198,8207253,24483,461665,17609,549759,14970,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
