GEO_ID,B17001G_001E,B17001G_001M,B17001G_002E,B17001G_002M,B17001G_003E,B17001G_003M,B17001G_004E,B17001G_004M,B17001G_005E,B17001G_005M,B17001G_006E,B17001G_006M,B17001G_007E,B17001G_007M,B17001G_008E,B17001G_008M,B17001G_009E,B17001G_009M,B17001G_010E,B17001G_010M,B17001G_011E,B17001G_011M,B17001G_012E,B17001G_012M,B17001G_013E,B17001G_013M,B17001G_014E,B17001G_014M,B17001G_015E,B17001G_015M,B17001G_016E,B17001G_016M,B17001G_017E,B17001G_017M,B17001G_018E,B17001G_018M,B17001G_019E,B17001G_019M,B17001G_020E,B17001G_020M,B17001G_021E,B17001G_021M,B17001G_022E,B17001G_022M,B17001G_023E,B17001G_023M,B17001G_024E,B17001G_024M,B17001G_025E,B17001G_025M,B17001G_026E,B17001G_026M,B17001G_027E,B17001G_027M,B17001G_028E,B17001G_028M,B17001G_029E,B17001G_029M,B17001G_030E,B17001G_030M,B17001G_031E,B17001G_031M,B17001G_032E,B17001G_032M,B17001G_033E,B17001G_033M,B17001G_034E,B17001G_034M,B17001G_035E,B17001G_035M,B17001G_036E,B17001G_036M,B17001G_037E,B17001G_037M,B17001G_038E,B17001G_038M,B17001G_039E,B17001G_039M,B17001G_040E,B17001G_040M,B17001G_041E,B17001G_041M,B17001G_042E,B17001G_042M,B17001G_043E,B17001G_043M,B17001G_044E,B17001G_044M,B17001G_045E,B17001G_045M,B17001G_046E,B17001G_046M,B17001G_047E,B17001G_047M,B17001G_048E,B17001G_048M,B17001G_049E,B17001G_049M,B17001G_050E,B17001G_050M,B17001G_051E,B17001G_051M,B17001G_052E,B17001G_052M,B17001G_053E,B17001G_053M,B17001G_054E,B17001G_054M,B17001G_055E,B17001G_055M,B17001G_056E,B17001G_056M,B17001G_057E,B17001G_057M,B17001G_058E,B17001G_058M,B17001G_059E,B17001G_059M,NAME,B17001G_001MA,B17001G_001EA,B17001G_002MA,B17001G_002EA,B17001G_003EA,B17001G_003MA,B17001G_004EA,B17001G_004MA,B17001G_005EA,B17001G_005MA,B17001G_006EA,B17001G_006MA,B17001G_007EA,B17001G_007MA,B17001G_008EA,B17001G_008MA,B17001G_009EA,B17001G_009MA,B17001G_010MA,B17001G_010EA,B17001G_011MA,B17001G_011EA,B17001G_012MA,B17001G_012EA,B17001G_013EA,B17001G_013MA,B17001G_014EA,B17001G_014MA,B17001G_015MA,B17001G_015EA,B17001G_016EA,B17001G_016MA,B17001G_017EA,B17001G_017MA,B17001G_018EA,B17001G_018MA,B17001G_019EA,B17001G_019MA,B17001G_020MA,B17001G_020EA,B17001G_021MA,B17001G_021EA,B17001G_022MA,B17001G_022EA,B17001G_023MA,B17001G_023EA,B17001G_024MA,B17001G_024EA,B17001G_025EA,B17001G_025MA,B17001G_026EA,B17001G_026MA,B17001G_027EA,B17001G_027MA,B17001G_028EA,B17001G_028MA,B17001G_029EA,B17001G_029MA,B17001G_030EA,B17001G_030MA,B17001G_031EA,B17001G_031MA,B17001G_032EA,B17001G_032MA,B17001G_033MA,B17001G_033EA,B17001G_034MA,B17001G_034EA,B17001G_035EA,B17001G_035MA,B17001G_036EA,B17001G_036MA,B17001G_037EA,B17001G_037MA,B17001G_038EA,B17001G_038MA,B17001G_039EA,B17001G_039MA,B17001G_040EA,B17001G_040MA,B17001G_041EA,B17001G_041MA,B17001G_042EA,B17001G_042MA,B17001G_043MA,B17001G_043EA,B17001G_044MA,B17001G_044EA,B17001G_045EA,B17001G_045MA,B17001G_046EA,B17001G_046MA,B17001G_047EA,B17001G_047MA,B17001G_048EA,B17001G_048MA,B17001G_049EA,B17001G_049MA,B17001G_050EA,B17001G_050MA,B17001G_051EA,B17001G_051MA,B17001G_052MA,B17001G_052EA,B17001G_053EA,B17001G_053MA,B17001G_054EA,B17001G_054MA,B17001G_055MA,B17001G_055EA,B17001G_056MA,B17001G_056EA,B17001G_057MA,B17001G_057EA,B17001G_058EA,B17001G_058MA,B17001G_059EA,B17001G_059MA,state
0400000US08,224223,11023,28955,5177,13882,2845,2057,899,484,385,1732,749,912,505,522,383,610,416,2123,995,2542,1099,1249,653,442,289,871,443,338,226,0,204,15073,2982,1757,836,431,369,2494,1014,978,522,136,126,265,281,1926,658,1921,772,1141,475,1964,924,1684,1290,376,200,0,204,195268,9640,98630,6312,14788,1834,1799,720,14809,2426,7585,1341,2726,880,4858,1426,10707,1831,14966,1983,11040,1886,6689,1393,5111,1077,2916,793,636,322,96638,5693,11023,1777,2412,773,14900,1888,7408,1418,2318,751,4034,1072,10774,1957,13506,1998,11964,1861,8889,1298,4654,1080,2991,790,1765,754,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,173746,10260,41796,6030,19857,3414,4057,1255,644,500,4993,1353,1384,611,260,237,1223,527,2646,1112,974,525,667,587,1318,596,1297,712,358,275,36,57,21939,3678,3882,1384,653,430,4268,1130,2454,1005,728,389,1204,610,2736,1063,1800,649,1719,800,965,512,1053,647,477,385,0,198,131950,8880,66815,4999,11536,2152,1634,687,11090,1927,4509,1250,1702,795,3292,971,9843,1941,8872,1981,6211,1662,3134,996,3373,1100,1324,542,295,180,65135,5941,8136,1588,1901,796,10382,2212,5088,1158,1341,543,3751,1197,7202,1521,9160,1900,6746,1439,4594,1193,3751,1016,1854,684,1229,623,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,101540,7160,21514,3666,11268,2750,2533,952,636,591,2997,1282,735,522,102,141,1056,615,1078,673,475,360,445,419,466,519,538,325,192,197,15,27,10246,1959,2604,926,410,455,1515,1116,968,597,279,206,573,363,1284,624,553,357,413,332,483,340,1014,643,48,54,102,249,80026,6533,38739,4227,5466,1090,1732,877,7973,1557,2907,1039,1350,703,1740,804,4418,1221,5657,1721,2267,908,1562,806,1736,700,1549,646,382,367,41287,3903,5766,1365,791,592,7588,1584,2378,955,494,351,2283,1035,4738,1277,5371,1227,3710,1128,3254,1302,2764,1082,1340,537,810,464,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,102547,7760,23957,4598,10048,2200,1051,465,656,452,2181,880,1613,837,305,280,625,526,1569,903,752,510,371,242,231,249,425,448,219,187,50,62,13909,2917,2155,1094,176,194,2578,993,1360,638,109,138,581,485,2097,1323,1174,619,1258,586,829,530,759,476,474,349,359,368,78590,6196,42553,4161,7182,2357,845,493,6530,1687,5531,1746,873,450,1793,785,4031,1205,4674,1155,4156,1165,2367,868,2601,927,1281,755,689,358,36037,3528,4868,1301,962,512,7119,1664,2377,728,720,381,1381,555,3708,1112,4621,1146,3277,777,2955,866,1617,536,1623,677,809,462,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,333348,12444,52725,5504,24133,3164,4867,1305,1482,690,3584,1166,2701,1177,371,304,686,449,2516,903,2217,924,1732,656,1277,649,1894,918,545,360,261,306,28592,3715,3677,1140,1110,642,5916,1664,1832,699,1015,596,1119,469,4673,1210,4003,1115,1812,719,1256,671,992,399,899,528,288,223,280623,12357,145464,7435,22720,2244,3195,1012,22070,2991,13147,2183,3962,866,7810,1339,15217,1868,20683,2825,15018,1929,9625,1740,5977,1227,4520,947,1520,484,135159,6933,18252,2202,4687,1437,20495,3060,9149,1510,1843,590,5771,1317,14323,2220,23185,2480,13778,2073,9835,1315,6676,1190,5102,1048,2063,657,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,65675,5519,16650,3276,7849,2012,2548,971,270,229,1842,780,733,479,45,63,450,418,865,506,276,226,319,219,321,311,128,123,52,58,0,163,8801,1803,1920,879,312,286,1334,524,950,541,160,182,249,257,1454,679,518,377,1198,557,224,206,238,177,192,277,52,73,49025,4439,24483,2762,3873,1016,698,368,4113,1225,2364,751,625,351,1359,571,3548,1174,3383,940,1930,863,1013,433,956,495,335,289,286,199,24542,2966,5053,1437,536,305,4579,1114,1450,619,694,347,1203,609,2918,851,3163,953,1845,664,1095,501,1004,504,647,386,355,280,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,27752,3193,2509,924,1068,625,482,425,0,192,182,178,0,192,0,192,0,192,0,192,0,192,0,192,249,367,135,176,20,36,0,192,1441,668,135,160,136,133,346,314,10,20,0,192,0,192,110,135,102,133,53,84,77,136,112,179,164,217,196,265,25243,3066,12426,1989,908,560,121,197,1719,689,1112,485,324,268,455,337,1444,611,2257,998,1342,570,877,507,1191,616,562,357,114,138,12817,2404,998,578,283,294,1982,755,1833,600,755,581,727,419,1455,757,1124,501,1072,777,997,465,996,576,277,272,318,261,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,86539,5859,23658,3751,10033,1764,2032,927,543,279,2406,1031,940,500,235,185,264,200,835,583,1003,529,750,385,581,617,395,305,33,51,16,33,13625,2755,2060,1056,268,364,3366,1099,971,458,689,520,538,446,1909,841,1125,675,523,336,441,345,1156,546,511,290,68,79,62881,6114,33547,3995,3570,1027,248,224,4684,1256,2853,1150,1344,591,2154,920,4027,1088,3698,1087,2695,696,3472,1049,2637,883,1802,621,363,248,29334,3183,3608,1046,847,470,4422,1150,1958,802,705,495,1415,586,2506,1049,3324,1005,2776,880,3275,850,2082,802,1548,667,868,355,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,25337,3658,6065,1823,2601,982,721,542,169,240,487,326,212,237,87,144,0,200,148,180,380,371,244,282,127,128,26,46,0,200,0,200,3464,1310,386,358,0,200,343,287,310,241,173,190,0,200,941,716,298,279,150,213,641,529,154,241,68,90,0,200,19272,3298,10033,2077,635,379,145,189,1758,719,809,510,254,235,327,213,1356,671,2264,933,676,342,797,582,659,440,257,215,96,104,9239,2008,1276,791,125,157,2504,1017,552,379,278,281,240,190,1634,795,719,378,782,350,342,286,321,207,410,334,56,96,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,168444,8662,25680,3934,11110,2423,1675,724,153,134,2463,776,598,417,415,270,380,299,2257,834,1238,565,526,309,581,377,455,269,369,307,0,147,14570,2429,2137,847,627,453,2303,760,752,412,327,228,624,502,2801,906,2161,817,1136,526,1006,568,281,201,290,194,125,113,142764,8139,73786,5080,11364,1503,2405,733,13084,1658,6492,1388,1653,658,4079,985,8173,1515,10471,1820,6989,1360,4619,1134,2631,791,1319,479,507,256,68978,4764,10867,1703,2874,1060,11997,1785,4345,1003,1821,645,3880,1035,7600,1747,9392,1393,6461,1243,3699,924,3294,973,1872,550,876,374,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
