B10053_008E,B10053_008M,B10053_009E,B10053_009M,B10053_010E,B10053_010M,B10053_011E,B10053_011M,GEO_ID,B10053_001E,B10053_001M,B10053_002E,B10053_002M,B10053_003E,B10053_003M,B10053_004E,B10053_004M,B10053_005E,B10053_005M,B10053_006E,B10053_006M,B10053_007E,B10053_007M,B10053_008MA,B10053_008EA,B10053_009MA,B10053_009EA,B10053_010MA,B10053_010EA,B10053_011MA,B10053_011EA,NAME,B10053_001MA,B10053_001EA,B10053_002MA,B10053_002EA,B10053_003EA,B10053_003MA,B10053_004MA,B10053_004EA,B10053_005MA,B10053_005EA,B10053_006MA,B10053_006EA,B10053_007MA,B10053_007EA,state
5346,1671,3091,1321,2255,970,16764,2655,0400000US08,98651,6801,76541,5651,26706,3437,15415,2583,11291,1786,49835,4839,22110,3036,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
4576,1677,2548,1396,2028,829,10887,2081,0400000US18,126941,5932,111478,5849,55793,4041,33811,3231,21982,2366,55685,4823,15463,2349,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
850,669,139,141,711,641,3860,1200,0400000US21,106559,5979,101849,5857,57009,4183,31793,3089,25216,2946,44840,4168,4710,1314,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
827,512,284,240,543,456,4734,1455,0400000US22,106403,8195,100842,8155,49844,4833,26617,3374,23227,3332,50998,5399,5561,1498,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
17296,3173,11715,2874,5581,1441,70132,5396,0400000US17,245054,11087,157626,7523,59816,4811,32589,3441,27227,2999,97810,5650,87428,6243,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1705,807,1355,721,350,314,4720,1342,0400000US19,38781,3299,32356,3096,11965,1673,6872,1319,5093,1200,20391,2423,6425,1525,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
558,402,364,358,194,196,1457,592,0400000US33,21308,2626,19293,2494,6265,1596,3678,1243,2587,791,13028,2079,2015,646,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
3125,1444,1980,1288,1145,594,5401,1577,0400000US05,68089,5521,59563,4924,31119,3622,17398,2615,13721,2207,28444,3486,8526,1899,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1215,860,536,490,679,590,2180,992,0400000US10,20234,2794,16839,2548,7703,1749,3816,1191,3887,1204,9136,1989,3395,1217,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
3122,941,1982,745,1140,532,14974,2547,0400000US27,68023,4546,49927,4255,21064,2556,11150,1771,9914,1649,28863,2908,18096,2626,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
67,125,67,125,0,172,161,144,0400000US30,17323,2005,17095,2014,9520,1712,4075,1148,5445,1275,7575,1455,228,203,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
190,275,163,269,27,45,1093,458,0400000US23,19233,2422,17950,2363,5478,1426,2616,830,2862,925,12472,1987,1283,513,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
7666,1776,4637,1410,3029,1189,26947,4112,0400000US37,223877,9592,189264,9228,84003,5824,48578,4487,35425,3232,105261,6391,34613,4478,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
