B25079_003M,B25079_004E,B25079_004M,B25079_005E,B25079_005M,GEO_ID,B25079_001E,B25079_001M,B25079_002E,B25079_002M,B25079_003E,B25079_003MA,B25079_004MA,B25079_004EA,B25079_005MA,B25079_005EA,NAME,B25079_001MA,B25079_001EA,B25079_002MA,B25079_002EA,B25079_003EA,state
2128798334,376917015300,6221418571,170673709300,4753342193,0400000US08,603507556400,7884464233,3122332000,522076919,52794499900,null,null,null,null,null,Colorado,null,null,null,null,null,08
1709497023,195178643700,2927160047,95474597100,2617961041,0400000US18,326468208100,4291965505,3020979000,439113713,32793988200,null,null,null,null,null,Indiana,null,null,null,null,null,18
845476380,124815905200,2726209392,69711786200,2967393526,0400000US21,214668537900,4185858813,1695591300,267764293,18445255100,null,null,null,null,null,Kentucky,null,null,null,null,null,21
1375237463,134811048700,3616800634,72754142200,2922920940,0400000US22,231766147500,4519791681,1977680400,491332050,22223276300,null,null,null,null,null,Louisiana,null,null,null,null,null,22
2400772114,524096859700,7281093192,237289157300,4724878890,0400000US17,834262260900,8871685225,3808129900,499555967,69068114100,null,null,null,null,null,Illinois,null,null,null,null,null,17
761784396,96703205500,1834954275,48280453200,1234208843,0400000US19,164406957800,2382556966,2219096800,658245755,17204202300,null,null,null,null,null,Iowa,null,null,null,null,null,19
1467729901,69838844800,1834297339,35962217700,2502822470,0400000US33,114480362300,3821311782,444963000,170116284,8234336900,null,null,null,null,null,New Hampshire,null,null,null,null,null,33
732804974,72718843100,3228737377,47685905200,2897036207,0400000US05,131617342800,4596813251,1003167900,194939883,10209426600,null,null,null,null,null,Arkansas,null,null,null,null,null,05
427013668,44449359900,2599151237,29184118500,1846224060,0400000US10,78433348000,3094221924,255224000,116510743,4544645600,null,null,null,null,null,Delaware,null,null,null,null,null,10
1448140858,267996649500,4247906996,110773518900,1938315119,0400000US27,424824819700,4732313030,2828133000,364745906,43226518200,null,null,null,null,null,Minnesota,null,null,null,null,null,27
779441633,49126308000,1944232027,30765015700,1672304357,0400000US30,87754830900,2554628188,657244000,244015402,7206263200,null,null,null,null,null,Montana,null,null,null,null,null,30
758067253,53239468700,2088419248,35675294300,1474595916,0400000US23,96793084700,2598374243,594408500,221642469,7283913200,null,null,null,null,null,Maine,null,null,null,null,null,23
1880119063,361116504400,5340065278,191987076900,4175030128,0400000US37,603068869500,6638445889,2987460400,586768948,46977827800,null,null,null,null,null,North Carolina,null,null,null,null,null,37
1991438497,381734006800,7345785529,169173736500,4357390399,0400000US13,599806886800,7947418541,3139471500,647507258,45759671900,null,null,null,null,null,Georgia,null,null,null,null,null,13
797464143,31049704100,1435865885,12753448600,760591773,0400000US02,49267400800,1890643102,299496000,123308250,5164752100,null,null,null,null,null,Alaska,null,null,null,null,null,02
1073998880,130470161700,2929314067,80451280200,3234674037,0400000US01,231033812800,4121276099,1340971000,241295860,18771400000,null,null,null,null,null,Alabama,null,null,null,null,null,01
414505244,28940515800,1573579971,18865304600,1294371593,0400000US50,51992083500,2048391966,467233000,227037316,3719030100,null,null,null,null,null,Vermont,null,null,null,null,null,50
1428688854,125875024400,3034547090,67893465100,2361192897,0400000US32,214004173100,3351273663,1270275700,327407516,18965407900,null,null,null,null,null,Nevada,null,null,null,null,null,32
555060549,43508130300,1627068107,30889236900,2351191479,0400000US54,80962813800,2900847954,745261000,317482294,5820185600,null,null,null,null,null,West Virginia,null,null,null,null,null,54
1307185050,99559834700,2332925713,53893990700,1394820391,0400000US40,172010353600,2730595126,1479581300,215652725,17076946900,null,null,null,null,null,Oklahoma,null,null,null,null,null,40
1456233740,217343387500,2793729233,109451225500,2456181020,0400000US55,360079666000,3854470333,2133286900,274346694,31151766200,null,null,null,null,null,Wisconsin,null,null,null,null,null,55
1029878543,59014283500,2855723027,47117195500,2856917083,0400000US72,111133819500,4269452390,311430000,113988676,4690910400,null,null,null,null,null,Puerto Rico,null,null,null,null,null,72
1832847861,463932637800,6692332597,219592301900,4537052984,0400000US51,739703582900,8543040282,3725664400,1111096953,52452978800,null,null,null,null,null,Virginia,null,null,null,null,null,51
495922359,25925871700,1241962383,11197084800,747699958,0400000US38,43880089300,1756119692,651142000,221475022,6105990800,null,null,null,null,null,North Dakota,null,null,null,null,null,38
1607183832,162394083300,3031783211,113851136900,3402951845,0400000US45,301311134000,4972796215,1620926800,276169132,23444986900,null,null,null,null,null,South Carolina,null,null,null,null,null,45
1678428047,230514291900,5879705563,130300532400,4707714437,0400000US41,390870423200,8416006306,3319788900,2786880294,26735810100,null,null,null,null,null,Oregon,null,null,null,null,null,41
1537534985,28751421100,2955487519,17088972400,1999368358,0400000US56,50946053800,4039189709,266089000,123481022,4839571200,null,null,null,null,null,Wyoming,null,null,null,null,null,56
7178720921,3093079409300,27396091424,1681348431200,17927092897,0400000US06,5079763626400,33645087385,16584263600,2051850142,288751522300,null,null,null,null,null,California,null,null,null,null,null,06
773968532,66349152800,2266876561,39732810400,2019337885,0400000US28,116211624100,3397598435,894811500,239181884,9234849400,null,null,null,null,null,Mississippi,null,null,null,null,null,28
1371822134,218251298200,4459092256,109028949900,4032735461,0400000US09,347491030700,5419316426,1093260100,353190258,19117522600,null,null,null,null,null,Connecticut,null,null,null,null,null,09
