GEO_ID,B28005_001E,B28005_001M,B28005_002E,B28005_002M,B28005_003E,B28005_003M,B28005_004E,B28005_004M,B28005_005E,B28005_005M,B28005_006E,B28005_006M,B28005_007E,B28005_007M,B28005_008E,B28005_008M,B28005_009E,B28005_009M,B28005_010E,B28005_010M,B28005_011E,B28005_011M,B28005_012E,B28005_012M,B28005_013E,B28005_013M,B28005_014E,B28005_014M,B28005_015E,B28005_015M,B28005_016E,B28005_016M,B28005_017E,B28005_017M,B28005_018E,B28005_018M,B28005_019E,B28005_019M,NAME,B28005_001MA,B28005_001EA,B28005_002MA,B28005_002EA,B28005_003MA,B28005_003EA,B28005_004MA,B28005_004EA,B28005_005MA,B28005_005EA,B28005_006MA,B28005_006EA,B28005_007EA,B28005_007MA,B28005_008MA,B28005_008EA,B28005_009MA,B28005_009EA,B28005_010MA,B28005_010EA,B28005_011MA,B28005_011EA,B28005_012MA,B28005_012EA,B28005_013MA,B28005_013EA,B28005_014MA,B28005_014EA,B28005_015MA,B28005_015EA,B28005_016MA,B28005_016EA,B28005_017MA,B28005_017EA,B28005_018MA,B28005_018EA,B28005_019MA,B28005_019EA,state
0400000US08,5574416,-555555555,1263086,2738,1244450,4961,229,226,1189837,9356,54384,6665,18636,4026,3518775,3299,3443296,6945,2665,902,3281806,11391,158825,9288,75479,5938,792555,2140,697669,5598,5293,1356,648044,6546,44332,3912,94886,5202,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6504226,-555555555,1561110,3019,1505116,7063,916,712,1407022,10077,97178,7966,55994,6357,3930941,4230,3754171,10550,5634,1716,3473769,16719,274768,12512,176770,9984,1012175,3295,827281,8451,7636,1365,736493,9814,83152,5146,184894,7547,Indiana,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4336705,-555555555,1004473,2558,972194,5831,2003,1256,908311,9615,61880,7016,32279,5275,2625385,2874,2490130,8919,5696,1894,2312560,14122,171874,10349,135255,8342,706847,2610,554397,5921,5437,1222,493098,6682,55862,4138,152450,5455,Kentucky,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4530479,-555555555,1095456,1728,1047795,7099,1405,1025,946945,9463,99445,8217,47661,6902,2737383,3668,2561236,11460,2823,1249,2309143,15118,249270,11282,176147,10287,697640,3237,539491,7463,2608,886,476362,8149,60521,4390,158149,7153,Louisiana,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,12444301,-555555555,2851360,2356,2798360,6463,2068,1194,2657102,11762,139190,11411,53000,6015,7673776,4546,7441290,12050,8077,1757,7004860,21230,428353,18322,232486,10374,1919165,4100,1571843,9628,13981,2034,1415859,11632,142003,7481,347322,9564,Illinois,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,3057213,-555555555,729779,2386,716793,3633,184,182,681152,5490,35457,4364,12986,2863,1813441,2736,1748521,5718,3068,826,1640267,9255,105186,6768,64920,5686,513993,2142,415900,5832,5339,1098,372561,6456,38000,2646,98093,5403,Iowa,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1313916,-555555555,257660,1314,255183,1758,160,178,247714,2371,7309,1582,2477,1007,820585,1661,801620,3543,794,421,771378,5289,29448,3661,18965,3087,235671,1306,210641,2866,2558,854,194509,3681,13574,2056,25030,2577,New Hampshire,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2929598,-555555555,701077,2632,679149,4855,568,447,599945,6883,78636,6496,21928,4188,1738855,4102,1636894,8665,2147,701,1436613,13194,198134,11278,101961,7232,489666,2860,389397,5973,2704,879,330711,6702,55982,4385,100269,5259,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,942211,-555555555,202321,439,197044,2045,0,200,189471,2951,7573,2303,5277,2017,563263,1146,543601,3151,214,218,521806,4919,21581,3921,19662,3124,176627,1025,154451,2484,857,394,144483,2909,9111,1800,22176,2223,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5479901,-555555555,1298698,2172,1284996,3207,1036,716,1237679,5976,46281,4934,13702,2413,3327991,3108,3253611,5958,6521,1397,3094958,11382,152132,8947,74380,5121,853212,2608,710958,5902,8942,1192,637263,5918,64753,3735,142254,5415,Minnesota,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,1033340,-555555555,228409,1749,221212,2497,364,268,212028,3098,8820,2044,7197,1832,609756,1925,581300,3855,2295,810,547229,4674,31776,3527,28456,3369,195175,1358,162920,2492,1240,395,147577,2998,14103,1583,32255,2493,Montana,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1302568,-555555555,247386,1427,243881,2131,346,217,232632,3020,10903,2430,3505,1723,788691,1745,759511,3696,2260,762,716139,5298,41112,3839,29180,3410,266491,1255,222713,2838,3909,839,201271,3145,17533,1934,43778,2711,Maine,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,10108186,-555555555,2291790,3155,2248426,6798,976,600,2084610,14282,162840,12167,43364,5887,6170553,5088,5940966,11927,6754,1729,5484285,23097,449927,18959,229587,10732,1645843,4186,1354486,8977,9972,1675,1208990,9684,135524,6299,291357,9316,North Carolina,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,10254913,-555555555,2498444,4237,2431611,10321,2250,1665,2236511,17490,192850,13299,66833,8777,6332347,6964,6073346,13565,4417,1405,5593607,28483,475322,21845,259001,12729,1424122,5432,1193524,9830,6879,1380,1070159,11899,116486,7726,230598,7689,Georgia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,710666,-555555555,183022,473,180864,1011,43,73,167886,2284,12935,2080,2158,807,442525,1658,432700,2263,163,150,400716,4074,31821,3807,9825,1722,85119,1570,77969,1963,857,543,69118,1890,7994,1296,7150,1160,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
