GEO_ID,B27014_001E,B27014_001M,B27014_002E,B27014_002M,B27014_003E,B27014_003M,B27014_004E,B27014_004M,B27014_005E,B27014_005M,B27014_006E,B27014_006M,B27014_007E,B27014_007M,B27014_008E,B27014_008M,B27014_009E,B27014_009M,B27014_010E,B27014_010M,B27014_011E,B27014_011M,B27014_012E,B27014_012M,B27014_013E,B27014_013M,B27014_014E,B27014_014M,B27014_015E,B27014_015M,B27014_016E,B27014_016M,B27014_017E,B27014_017M,B27014_018E,B27014_018M,B27014_019E,B27014_019M,B27014_020E,B27014_020M,B27014_021E,B27014_021M,B27014_022E,B27014_022M,NAME,B27014_001MA,B27014_001EA,B27014_002MA,B27014_002EA,B27014_003MA,B27014_003EA,B27014_004EA,B27014_004MA,B27014_005EA,B27014_005MA,B27014_006EA,B27014_006MA,B27014_007EA,B27014_007MA,B27014_008MA,B27014_008EA,B27014_009EA,B27014_009MA,B27014_010EA,B27014_010MA,B27014_011MA,B27014_011EA,B27014_012MA,B27014_012EA,B27014_013MA,B27014_013EA,B27014_014MA,B27014_014EA,B27014_015MA,B27014_015EA,B27014_016EA,B27014_016MA,B27014_017EA,B27014_017MA,B27014_018EA,B27014_018MA,B27014_019MA,B27014_019EA,B27014_020EA,B27014_020MA,B27014_021EA,B27014_021MA,B27014_022EA,B27014_022MA,state
0400000US08,3465417,5675,2030155,18325,1178332,14041,107293,6430,1071039,12523,851823,10779,67820,4889,784003,11441,901913,15318,375893,10579,85023,4760,290870,9461,526020,11253,118063,5778,407957,11274,533349,12851,186593,8589,102490,5944,84103,6241,346756,9486,127747,5631,219009,7133,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,3916240,6251,2217883,17321,1274232,12186,79958,4970,1194274,12950,943651,11141,58722,4069,884929,11249,970175,12677,387086,9138,71685,4948,315401,8373,583089,8815,110209,5184,472880,8394,728182,14050,269802,8036,148478,5883,121324,6369,458380,10365,195362,8280,263018,7737,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,2612594,4493,1362539,13711,764030,7909,83975,5002,680055,9089,598509,9299,64077,3703,534432,9113,621033,10831,264792,6474,81484,5216,183308,5675,356241,8266,109575,4982,246666,6644,629022,12415,250673,7514,177770,6582,72903,4125,378349,9378,221980,6604,156369,6468,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2696699,5986,1403692,15891,765945,10029,73898,5600,692047,10812,637747,10552,89181,4872,548566,10040,599180,14004,251242,8305,69770,4752,181472,7757,347938,9313,119680,7166,228258,7452,693827,15998,274488,10009,166826,7621,107662,6280,419339,10509,215090,9249,204249,7837,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,7610628,6680,4278931,23604,2424723,14071,153134,6733,2271589,13494,1854208,16397,143557,6743,1710651,15131,1937109,20290,804224,12476,157572,6226,646652,11669,1132885,15444,256169,7916,876716,13417,1394588,18465,525574,11679,256324,9481,269250,8019,869014,11632,336461,8754,532553,10083,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1816562,4072,1099870,10650,623136,7133,42523,3298,580613,7725,476734,7826,36683,2853,440051,7514,462127,10073,186322,7071,45001,3502,141321,5921,275805,6520,64602,3697,211203,5652,254565,7432,98300,4878,56955,3848,41345,2914,156265,5561,71855,3681,84410,4471,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,822707,2808,481185,7636,275679,5460,15845,1987,259834,5741,205506,5101,10103,1485,195403,5115,215332,6170,86072,3951,16472,2253,69600,3926,129260,5451,24539,2483,104721,4689,126190,5190,47839,3353,25456,2580,22383,2356,78351,4226,30328,2962,48023,3177,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1722857,5112,933674,14446,521812,9815,50224,3969,471588,9662,411862,8900,40794,3186,371068,8933,369076,10950,151406,6378,39748,2954,111658,6000,217670,8504,61662,4477,156008,7160,420107,10042,167500,7309,105219,5488,62281,5092,252607,6400,138335,5607,114272,4670,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,560194,2051,308867,6798,164692,4643,15052,2416,149640,4935,144175,4993,13772,2250,130403,4988,136567,6063,58601,4479,14521,2197,44080,3771,77966,4298,22554,2719,55412,3680,114760,5862,45354,3793,27142,3169,18212,2184,69406,3899,32089,3358,37317,3314,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,3319098,4330,1990297,11704,1131160,8590,89275,4533,1041885,9016,859137,8584,67930,4279,791207,8765,898196,12042,358421,7338,90940,3741,267481,6749,539775,8524,131832,4596,407943,7087,430605,9057,173946,6448,92223,4959,81723,3790,256659,6319,106952,4397,149707,4438,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
