GEO_ID,B16005A_001E,B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,NAME,B16005A_001MA,B16005A_001EA,B16005A_002EA,B16005A_002MA,B16005A_003EA,B16005A_003MA,B16005A_004EA,B16005A_004MA,B16005A_005MA,B16005A_005EA,B16005A_006MA,B16005A_006EA,B16005A_007EA,B16005A_007MA,B16005A_008EA,B16005A_008MA,B16005A_009MA,B16005A_009EA,B16005A_010MA,B16005A_010EA,B16005A_011MA,B16005A_011EA,state
0400000US08,4524102,14876,4207563,14441,3872069,17990,335494,12164,285677,11269,49817,4492,316539,11414,61456,4547,255083,10942,118081,7152,137002,9241,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5221243,10811,5080035,10523,4892204,12988,187831,11043,154393,10026,33438,3961,141208,8095,36694,3886,104514,7347,49774,4437,54740,5545,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3652171,5428,3578038,5196,3513465,7005,64573,5373,50635,4639,13938,2420,74133,5223,16618,2320,57515,4834,27014,3280,30501,3696,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2709078,6691,2618689,7998,2498584,9511,120105,7438,100402,6595,19703,3487,90389,7614,17627,2706,72762,7550,30559,3861,42203,5530,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,8630135,24383,7741945,20472,6962750,18581,779195,19025,670386,18492,108809,7272,888190,19296,117652,5737,770538,18843,330938,11819,439600,14301,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2679762,4944,2610237,6595,2523187,8388,87050,5129,74505,4484,12545,2480,69525,5111,11268,1728,58257,4849,26145,3657,32112,3338,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1197584,3083,1155963,5040,1119425,5743,36538,3877,30882,3436,5656,1532,41621,4322,19144,2379,22477,3604,12475,2056,10002,2701,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2175028,6487,2107406,5266,2059757,5492,47649,4202,39879,3800,7770,1678,67622,4773,16510,2455,51112,4363,17172,2876,33940,3090,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,627180,4308,591538,3890,561882,4279,29656,3898,24111,2807,5545,1976,35642,3787,5850,1169,29792,3604,14683,2452,15109,2589,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4371339,7280,4244022,7615,4122733,8808,121289,7143,101332,6274,19957,2497,127317,7272,35243,2620,92074,6575,45625,3717,46449,4804,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
