GEO_ID,B25081_001E,B25081_001M,B25081_002E,B25081_002M,B25081_003E,B25081_003M,B25081_004E,B25081_004M,B25081_005E,B25081_005M,B25081_006E,B25081_006M,B25081_007E,B25081_007M,B25081_008E,B25081_008M,NAME,B25081_001MA,B25081_001EA,B25081_002MA,B25081_002EA,B25081_003MA,B25081_003EA,B25081_004MA,B25081_004EA,B25081_005MA,B25081_005EA,B25081_006MA,B25081_006EA,B25081_007MA,B25081_007EA,B25081_008MA,B25081_008EA,state
0400000US08,1417981,9500,994356,9931,128957,4922,25263,2267,103694,4810,2604,664,862795,9739,423625,8439,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1791749,12877,1166290,13091,135897,5072,20300,2436,115597,4508,4155,1036,1026238,12908,625459,8925,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1167729,12565,661520,10687,90322,4223,16996,2086,73326,3737,2748,891,568450,10341,506209,9323,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1137524,12385,593733,12573,47413,3871,13620,1948,33793,2904,1639,683,544681,11386,543791,9848,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3210113,17405,2002424,16877,241192,6883,40515,2995,200677,6042,7688,1600,1753544,15763,1207689,14489,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,903751,8439,543108,7724,70190,3905,17184,1747,53006,3551,3139,770,469779,7374,360643,6410,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,378742,6605,242076,6742,33029,2398,4171,842,28858,2403,731,499,208316,6944,136666,5000,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,760401,8395,410135,8138,27382,2461,8104,1537,19278,1950,489,295,382264,8189,350266,7304,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,261145,4466,165425,4301,20473,2065,3645,880,16828,1796,543,328,144409,4550,95720,3582,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1567939,9341,1024974,8815,149130,5127,34127,2419,115003,4091,4730,1030,871114,8553,542965,7124,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
