GEO_ID,C19201_001E,C19201_001M,C19201_002E,C19201_002M,C19201_003E,C19201_003M,C19201_004E,C19201_004M,C19201_005E,C19201_005M,C19201_006E,C19201_006M,C19201_007E,C19201_007M,C19201_008E,C19201_008M,C19201_009E,C19201_009M,C19201_010E,C19201_010M,C19201_011E,C19201_011M,NAME,C19201_001EA,C19201_001MA,C19201_002EA,C19201_002MA,C19201_003EA,C19201_003MA,C19201_004MA,C19201_004EA,C19201_005MA,C19201_005EA,C19201_006MA,C19201_006EA,C19201_007MA,C19201_007EA,C19201_008MA,C19201_008EA,C19201_009MA,C19201_009EA,C19201_010MA,C19201_010EA,C19201_011MA,C19201_011EA,state
0400000US08,804052,11317,75677,4692,50831,3647,103229,4472,87548,4688,118267,5633,152927,6558,81902,4516,85584,5171,26161,2586,21926,2268,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,915993,11777,108289,4807,78803,4351,161983,6149,133796,5445,152194,5971,146138,6325,66093,4532,48707,3806,10765,1607,9225,1550,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,593786,10422,92472,4864,63391,3361,102407,5245,80812,4171,88180,5093,86542,5151,37271,2933,27145,2605,7282,1172,8284,1460,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,632373,10923,111183,5359,67713,4309,113344,6065,79405,4818,85818,4648,83068,4579,41476,3076,32994,3003,8139,1685,9233,1946,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1745763,17387,223573,8204,124770,5222,257151,8021,207288,7473,234070,6817,294724,7992,161033,5387,146556,5235,46569,3110,50029,4302,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,467544,8556,51525,3358,40261,2682,75208,3649,66224,3726,79291,4480,83177,4024,35564,2395,24921,2214,5567,1178,5806,895,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,189460,5952,15796,2334,14213,1876,29525,2865,23907,2435,27494,2671,31492,3077,18537,2455,18019,2012,5234,1081,5243,1218,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,387213,9216,64003,5187,45801,2997,72987,3978,54508,3359,59910,3681,49765,3580,18871,2184,13326,2191,4222,1165,3820,912,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,129272,5606,16580,2370,10526,1517,17860,2107,16479,2068,19343,2338,20674,2438,12332,2109,9079,1381,3182,964,3217,786,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,797625,8679,73146,4037,64836,3494,108574,4373,97813,4364,129407,4225,145781,4765,74736,3759,67465,3027,20152,1877,15715,1671,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
