GEO_ID,C06007_001E,C06007_001M,C06007_002E,C06007_002M,C06007_003E,C06007_003M,C06007_004E,C06007_004M,C06007_005E,C06007_005M,C06007_006E,C06007_006M,C06007_007E,C06007_007M,C06007_008E,C06007_008M,C06007_009E,C06007_009M,C06007_010E,C06007_010M,C06007_011E,C06007_011M,C06007_012E,C06007_012M,C06007_013E,C06007_013M,C06007_014E,C06007_014M,C06007_015E,C06007_015M,C06007_016E,C06007_016M,C06007_017E,C06007_017M,C06007_018E,C06007_018M,C06007_019E,C06007_019M,C06007_020E,C06007_020M,C06007_021E,C06007_021M,C06007_022E,C06007_022M,C06007_023E,C06007_023M,C06007_024E,C06007_024M,C06007_025E,C06007_025M,NAME,C06007_001MA,C06007_001EA,C06007_002EA,C06007_002MA,C06007_003EA,C06007_003MA,C06007_004EA,C06007_004MA,C06007_005EA,C06007_005MA,C06007_006EA,C06007_006MA,C06007_007EA,C06007_007MA,C06007_008MA,C06007_008EA,C06007_009MA,C06007_009EA,C06007_010MA,C06007_010EA,C06007_011EA,C06007_011MA,C06007_012EA,C06007_012MA,C06007_013EA,C06007_013MA,C06007_014MA,C06007_014EA,C06007_015MA,C06007_015EA,C06007_016EA,C06007_016MA,C06007_017EA,C06007_017MA,C06007_018MA,C06007_018EA,C06007_019MA,C06007_019EA,C06007_020MA,C06007_020EA,C06007_021EA,C06007_021MA,C06007_022EA,C06007_022MA,C06007_023MA,C06007_023EA,C06007_024EA,C06007_024MA,C06007_025MA,C06007_025EA,state
0400000US08,5359922,2467,4462738,22506,897184,22264,591198,16397,305986,14205,2106709,24623,1836708,25487,270001,11536,233753,10975,36248,4019,2611671,21180,2453554,20489,158117,8279,134315,7023,23802,2740,96265,6621,72554,4751,23711,3742,18400,2838,5311,1552,545277,15245,99922,5658,445355,14349,204730,9681,240625,12713,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6274104,2647,5715809,16067,558295,15854,362528,13561,195767,10373,4166935,21351,3995424,20620,171511,10074,141738,9548,29773,4343,1710157,21281,1617121,21456,93036,6438,79416,6390,13620,2158,45205,4494,30227,3106,14978,2877,7896,1625,7082,1968,351807,11381,73037,5990,278770,10067,133478,7497,145292,7571,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4194913,2663,3958456,10241,236457,9767,138769,8076,97688,5851,2841693,19366,2794727,19679,46966,4352,37899,3943,9067,1738,1150937,17737,1108226,17092,42711,4021,34168,3679,8543,1692,34164,2992,23829,2135,10335,2248,6284,1499,4051,1367,168119,6690,31674,3521,136445,6267,60418,4759,76027,5203,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4358121,2840,4025232,11224,332889,11138,211681,9760,121208,6513,3359214,16774,3234556,16954,124658,5880,105933,5624,18725,2955,774574,15037,734841,14514,39733,4156,32658,3402,7075,1990,31794,4240,20849,2919,10945,3183,8231,2573,2714,1063,192539,8352,34986,4226,157553,8260,64859,4730,92694,6105,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,11981624,2046,9167587,22975,2814037,22372,1806718,25342,1007319,19891,7846813,25613,6844286,26004,1002527,15396,889849,16680,112678,7239,2206259,23119,2046890,21452,159369,7614,136077,7575,23292,2401,147812,8277,60241,4413,87571,6281,54767,5103,32804,3474,1780740,19248,216170,7682,1564570,19017,726025,15951,838545,17129,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2958262,2271,2696964,10614,261298,9876,161626,7292,99672,6402,2031871,13572,1968654,14127,63217,4587,56014,4323,7203,1493,734210,14060,690251,13757,43959,3290,37800,3154,6159,1511,18242,2262,12280,1588,5962,1799,3527,1220,2435,1146,173939,7562,25779,2842,148160,7711,64285,5931,83875,5612,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1293601,978,1193312,5820,100289,5749,67570,4544,32719,3899,501089,9075,484649,9267,16440,2132,14651,1945,1789,663,690724,9992,668492,9828,22232,2481,19856,2273,2376,744,19348,2865,12265,1858,7083,1788,4136,1172,2947,1300,82440,4732,27906,3144,54534,4189,28927,2730,25607,3709,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2825733,2697,2609015,8332,216718,8089,125469,6841,91249,5723,1696675,16071,1648570,16018,48105,3839,39422,3632,8683,2007,966301,16189,920150,16155,46151,4319,39555,3796,6596,1568,19658,2807,13096,1607,6562,2021,4143,1229,2419,1522,143099,6141,27199,3691,115900,6013,42349,4214,73551,5200,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,912836,334,793500,5694,119336,5645,77013,5654,42323,4686,389668,11756,365159,11148,24509,3841,20580,3144,3929,1935,418747,10814,402508,10695,16239,2840,14216,2379,2023,846,14587,2237,7327,1474,7260,1697,4303,1484,2957,908,89834,5510,18506,2983,71328,4682,37914,4357,33414,3988,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5256247,1722,4614367,14325,641880,14521,399998,11137,241882,10653,3464861,18415,3296828,19592,168033,8137,138880,7483,29153,3265,1265031,16707,1188084,16335,76947,5155,67279,5186,9668,1567,45414,3683,31682,2912,13732,2057,10198,1561,3534,1035,480941,12492,97773,5418,383168,11591,183641,6239,199527,9569,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
