GEO_ID,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,NAME,B16005I_001MA,B16005I_001EA,B16005I_002EA,B16005I_002MA,B16005I_003EA,B16005I_003MA,B16005I_004MA,B16005I_004EA,B16005I_005MA,B16005I_005EA,B16005I_006MA,B16005I_006EA,B16005I_007MA,B16005I_007EA,B16005I_008MA,B16005I_008EA,B16005I_009MA,B16005I_009EA,B16005I_010EA,B16005I_010MA,B16005I_011EA,B16005I_011MA,state
0400000US08,1131367,1664,858917,11283,541175,15832,317742,10729,273949,10113,43793,4318,272450,11137,17202,2865,255248,11262,91586,6454,163662,10361,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,426504,2386,284921,6586,151189,7875,133732,7211,112260,7340,21472,3447,141583,6135,13417,2752,128166,5680,48093,3892,80073,5338,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,144583,2651,80491,4125,41150,4057,39341,3175,30166,3190,9175,2005,64092,3815,5358,1728,58734,3775,18834,2192,39900,3199,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,215922,2673,120327,5142,73670,5159,46657,4054,36678,3494,9979,2467,95595,5344,9473,2516,86122,5510,28855,3291,57267,4870,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2024122,1753,1284605,15145,433453,13727,851152,13278,733777,14553,117375,7584,739517,15335,32957,3480,706560,15116,239379,8267,467181,14822,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,172105,1209,117901,3956,59888,5437,58013,3897,49751,3894,8262,2256,54204,3499,3460,1165,50744,3535,16076,2259,34668,2971,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,48221,755,36272,2088,21149,2223,15123,2333,11793,2050,3330,1356,11949,1887,1579,593,10370,1811,3738,1070,6632,1560,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,207694,2442,121904,5000,57822,5650,64082,4383,52384,4454,11698,2352,85790,4374,9803,2128,75987,4399,24412,3967,51575,3565,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,82784,-555555555,49731,3079,19364,3042,30367,3037,24707,2700,5660,1456,33053,3078,1821,930,31232,3021,13079,2645,18153,2521,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,277789,1407,175595,5476,89337,5465,86258,4660,72735,4608,13523,2187,102194,5304,8572,1336,93622,5315,32977,3066,60645,5019,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,37045,1412,31795,2007,25860,2770,5935,1506,4804,1363,1131,656,5250,1587,1207,864,4043,1272,3142,1140,901,453,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,20830,622,17802,890,13975,1234,3827,931,3407,918,420,307,3028,734,562,328,2466,730,1432,491,1034,549,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,891189,2946,504384,10276,186247,11231,318137,11361,266767,10400,51370,4223,386805,9795,19929,2341,366876,10041,126872,8063,240004,8156,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,921969,4174,522232,11960,185560,11720,336672,9851,273643,9918,63029,5872,399737,11477,23756,3173,375981,11961,120332,7920,255649,10431,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,47831,810,37238,2161,23201,3095,14037,2662,12106,2401,1931,1215,10593,2150,1376,715,9217,2208,4798,1377,4419,1265,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,186854,3133,119260,4196,54250,4606,65010,4889,52734,4374,12276,2371,67594,3770,6049,1589,61545,3664,18244,2330,43301,3620,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,11454,707,8833,1123,5884,1195,2949,943,2635,850,314,230,2621,826,612,305,2009,690,1171,479,838,483,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
