GEO_ID,B24041_001E,B24041_001M,B24041_002E,B24041_002M,B24041_003E,B24041_003M,B24041_004E,B24041_004M,B24041_005E,B24041_005M,B24041_006E,B24041_006M,B24041_007E,B24041_007M,B24041_008E,B24041_008M,B24041_009E,B24041_009M,B24041_010E,B24041_010M,B24041_011E,B24041_011M,B24041_012E,B24041_012M,B24041_013E,B24041_013M,B24041_014E,B24041_014M,B24041_015E,B24041_015M,B24041_016E,B24041_016M,B24041_017E,B24041_017M,B24041_018E,B24041_018M,B24041_019E,B24041_019M,B24041_020E,B24041_020M,B24041_021E,B24041_021M,B24041_022E,B24041_022M,B24041_023E,B24041_023M,B24041_024E,B24041_024M,B24041_025E,B24041_025M,B24041_026E,B24041_026M,B24041_027E,B24041_027M,NAME,B24041_001EA,B24041_001MA,B24041_002EA,B24041_002MA,B24041_003EA,B24041_003MA,B24041_004EA,B24041_004MA,B24041_005EA,B24041_005MA,B24041_006EA,B24041_006MA,B24041_007EA,B24041_007MA,B24041_008EA,B24041_008MA,B24041_009EA,B24041_009MA,B24041_010EA,B24041_010MA,B24041_011EA,B24041_011MA,B24041_012MA,B24041_012EA,B24041_013EA,B24041_013MA,B24041_014EA,B24041_014MA,B24041_015EA,B24041_015MA,B24041_016EA,B24041_016MA,B24041_017EA,B24041_017MA,B24041_018EA,B24041_018MA,B24041_019EA,B24041_019MA,B24041_020EA,B24041_020MA,B24041_021EA,B24041_021MA,B24041_022EA,B24041_022MA,B24041_023MA,B24041_023EA,B24041_024EA,B24041_024MA,B24041_025EA,B24041_025MA,B24041_026EA,B24041_026MA,B24041_027EA,B24041_027MA,state
0400000US08,51543,276,58115,4903,34759,2504,76306,6334,49685,2365,62167,2381,56777,2574,36705,741,52654,1972,50158,1982,80203,5558,70231,4560,62432,2363,65306,2408,60110,4747,70061,2593,81667,1260,69767,27295,38944,2451,50237,716,50213,831,50262,1320,32113,998,37635,2568,30709,1114,41489,996,62137,1980,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,44945,538,45151,3989,41728,1419,66354,7573,49784,1800,49281,1114,46753,1754,34577,1358,50740,714,49037,1945,69888,7188,50682,2205,51071,1144,52140,1901,44511,3442,50474,1341,60110,2582,57909,18213,37820,2073,43070,998,45499,1110,41748,698,26714,1052,37258,3468,23425,1909,39676,2564,47564,1676,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,42354,323,49662,5943,32420,3556,66651,4459,42359,1476,46530,732,50325,2324,32337,846,47960,2931,46316,1624,58990,6313,42206,4878,50667,1107,51673,1182,41999,4332,46435,2067,61434,2126,67071,11474,31575,876,43340,1229,45859,1076,41598,1032,26513,769,35890,7566,25463,932,35993,1419,44578,1583,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,43070,890,56738,4342,35020,5995,65689,7852,46323,1799,61332,1004,47210,3279,30517,1012,52258,2175,51270,1244,60608,7598,50448,5373,50538,2940,53949,4719,41200,2901,52325,2187,62336,4246,50411,13522,38528,5314,41657,734,45345,981,37559,2321,24624,1351,29914,2662,22722,1183,33740,3028,46373,1297,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,51543,185,51071,1029,47316,3620,68376,6969,53150,2501,51024,541,53928,3316,37166,769,53008,2196,51369,511,81024,2860,65626,3326,70403,1255,73355,2859,55400,4329,66946,1257,80708,799,73432,6395,37363,1394,50292,368,53847,1562,45864,903,31596,573,43320,2703,30064,1216,40412,795,69923,1973,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,46831,501,45247,2469,44653,3147,55164,9347,47302,1882,48535,1185,52107,2022,36766,869,54815,2677,51603,841,75267,5328,50750,2388,52675,1751,55197,2642,50071,11121,52602,1902,63911,4130,52971,12476,38295,3504,44504,1453,50584,851,40450,972,27118,981,37203,2863,25639,982,37490,2457,61345,1012,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,52428,1079,31547,1773,30979,1469,72674,44522,53616,3857,57008,2579,53292,3009,40692,2173,62461,2911,60668,1863,87133,10757,69465,4706,75827,2390,79364,5501,50857,8921,68722,4407,86914,11513,100077,90879,43070,4477,50027,1880,53987,3877,46421,2254,32304,2182,43272,5209,31283,1260,40615,2151,62827,6584,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,40213,448,40201,3594,34625,3916,61943,4790,40175,2285,40453,852,44261,2549,33633,2319,48882,3067,48182,3287,52074,7035,45184,5407,46519,2919,46764,3693,46155,4986,43691,3332,56580,5876,65865,25480,31123,1008,41052,748,43571,1426,39584,2236,22524,1297,34008,2874,21257,817,34223,2540,41377,1273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,48670,1645,41153,4977,40654,5092,60983,47775,45518,4902,54917,6210,46684,14009,32370,2428,54076,7401,50466,7596,70942,18309,60016,11986,61475,4336,63922,8039,51540,4303,63593,5569,77495,6809,75763,16614,35140,11250,50573,1891,55894,3551,43676,4982,26242,1779,32298,10438,25080,2341,40685,2422,55303,3441,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,51834,220,41141,914,39451,1409,88109,5712,56196,1381,51622,606,57325,2387,40787,624,55566,2088,51237,818,81703,2256,61173,1740,67264,2418,71338,1770,52048,2319,66053,1296,76621,1008,75510,10153,41297,1460,49897,784,53342,1221,46669,738,33688,1732,41741,1786,30992,942,43543,1645,62138,875,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
