GEO_ID,B05014_001E,B05014_001M,B05014_002E,B05014_002M,B05014_003E,B05014_003M,B05014_004E,B05014_004M,B05014_005E,B05014_005M,B05014_006E,B05014_006M,B05014_007E,B05014_007M,B05014_008E,B05014_008M,B05014_009E,B05014_009M,B05014_010E,B05014_010M,B05014_011E,B05014_011M,B05014_012E,B05014_012M,B05014_013E,B05014_013M,B05014_014E,B05014_014M,B05014_015E,B05014_015M,B05014_016E,B05014_016M,B05014_017E,B05014_017M,B05014_018E,B05014_018M,B05014_019E,B05014_019M,NAME,B05014_001EA,B05014_001MA,B05014_002EA,B05014_002MA,B05014_003EA,B05014_003MA,B05014_004EA,B05014_004MA,B05014_005EA,B05014_005MA,B05014_006EA,B05014_006MA,B05014_007EA,B05014_007MA,B05014_008MA,B05014_008EA,B05014_009EA,B05014_009MA,B05014_010EA,B05014_010MA,B05014_011EA,B05014_011MA,B05014_012EA,B05014_012MA,B05014_013EA,B05014_013MA,B05014_014EA,B05014_014MA,B05014_015EA,B05014_015MA,B05014_016EA,B05014_016MA,B05014_017EA,B05014_017MA,B05014_018EA,B05014_018MA,B05014_019EA,B05014_019MA,state
0400000US08,549181,15539,267965,10130,5944,1453,16873,2946,42447,3750,60379,4705,65160,4197,38621,2822,21980,2167,16561,2000,281216,8770,8115,1655,14472,2197,36915,2742,60052,4533,63009,3797,45355,3180,27574,2800,25724,2179,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,354348,11369,179305,7131,5235,1384,14822,2394,32268,3440,41749,3514,36479,3004,25686,2700,13426,1879,9640,1648,175043,6166,6016,1481,11761,1796,30167,3417,38422,3565,35557,3791,24163,2504,15028,1798,13929,1735,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,169346,6623,85659,4219,3064,876,6624,1317,16319,1967,21242,2362,18890,2316,10423,1197,6067,1394,3030,838,83687,3772,2272,666,8130,1575,14913,2214,17182,1679,18652,2104,9397,1409,6857,1318,6284,1297,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,195027,8647,103349,6145,3775,1315,7835,1516,18721,2608,22769,2276,19718,2158,13433,1953,10697,2013,6401,1082,91678,4470,3725,1238,6296,1597,12803,2000,19258,2414,16446,2339,13028,1724,11773,1769,8349,1155,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1791313,19750,883112,13980,14251,1803,34597,3339,103856,6622,180925,6828,196335,6473,155814,4743,109374,4811,87960,3302,908201,11675,14095,1978,40786,3556,99522,5391,176145,6082,192645,5967,152882,5046,121293,4984,110833,4174,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,175137,7654,88108,4517,3134,1046,8413,1702,17169,2028,21206,2221,19066,1908,12172,1676,4013,856,2935,655,87029,4666,1971,823,6809,1558,18518,2638,20158,2398,18714,2022,10599,1732,5203,1119,5057,1065,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,83002,4796,38420,2968,730,474,2182,921,7099,1281,5691,1037,7533,1460,6214,1296,4625,815,4346,1042,44582,3553,1366,656,3202,997,5099,910,7862,1546,7019,1183,6585,1096,6425,1260,7024,1321,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,143709,6235,71847,3963,1232,530,4204,1327,13384,2003,17226,2431,16345,2211,11542,2047,5267,1121,2647,718,71862,4068,1413,646,5736,1354,12351,2238,17641,2386,14416,1926,7802,1526,7928,1544,4575,1045,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,91230,5598,44761,3215,2273,945,2998,1059,6574,1459,10016,1358,8462,1284,6810,1345,4410,981,3218,695,46469,3133,880,470,2551,857,5563,1089,11776,1749,9592,1698,6658,1189,4684,907,4765,880,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,484192,12617,233987,7540,7191,1373,22261,2502,39919,3512,57747,3315,49497,3148,30164,1851,16208,1513,11000,1494,250205,7566,6936,1246,24445,3297,42094,3230,62278,3040,45422,3054,30170,2259,20168,2079,18692,1666,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,23366,3093,8616,1720,489,492,313,201,1753,706,1908,971,1404,604,541,259,1443,569,765,320,14750,2270,80,112,1195,679,1980,945,2090,753,2835,805,2005,902,1622,525,2943,697,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,47418,3701,21695,2404,1158,704,2333,845,2424,781,3809,1063,3564,990,2935,794,2755,804,2717,745,25723,2345,675,387,2392,1064,2480,753,3362,919,4216,1059,3555,1124,4203,1124,4840,1083,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,824177,16876,413978,10591,10896,2494,25657,3215,63202,5563,100919,4805,101080,5011,57846,3702,34307,2832,20071,2110,410199,9783,10351,2436,24909,3376,57819,3638,95078,5362,92420,4524,64703,4177,31860,2880,33059,2785,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
