GEO_ID,B24082_001E,B24082_001M,B24082_002E,B24082_002M,B24082_003E,B24082_003M,B24082_004E,B24082_004M,B24082_005E,B24082_005M,B24082_006E,B24082_006M,B24082_007E,B24082_007M,B24082_008E,B24082_008M,B24082_009E,B24082_009M,B24082_010E,B24082_010M,B24082_011E,B24082_011M,B24082_012E,B24082_012M,B24082_013E,B24082_013M,B24082_014E,B24082_014M,B24082_015E,B24082_015M,B24082_016E,B24082_016M,B24082_017E,B24082_017M,B24082_018E,B24082_018M,NAME,B24082_001EA,B24082_001MA,B24082_002EA,B24082_002MA,B24082_003EA,B24082_003MA,B24082_004EA,B24082_004MA,B24082_005MA,B24082_005EA,B24082_006MA,B24082_006EA,B24082_007MA,B24082_007EA,B24082_008EA,B24082_008MA,B24082_009EA,B24082_009MA,B24082_010MA,B24082_010EA,B24082_011MA,B24082_011EA,B24082_012MA,B24082_012EA,B24082_013EA,B24082_013MA,B24082_014EA,B24082_014MA,B24082_015MA,B24082_015EA,B24082_016MA,B24082_016EA,B24082_017MA,B24082_017EA,B24082_018EA,B24082_018MA,state
0400000US08,48223,999,47247,806,46395,729,60953,2014,50578,1914,56058,1973,48490,2882,65465,4435,36043,1695,35160,413,32294,321,32118,320,38506,3796,41321,1207,41858,1385,45935,2424,61202,3083,21516,1064,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,43010,927,43378,1050,42514,888,56535,4916,43777,2815,44532,2474,43734,2448,62716,4305,31624,1010,29894,478,28398,646,28408,650,27662,4511,31988,729,32584,1555,37290,1698,52017,2606,15752,1333,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,40216,394,40209,526,39619,1117,52311,4827,41804,3659,41713,1358,41750,1395,57291,3380,25861,1882,29085,679,26720,460,26650,475,31248,4999,35619,1767,32567,1985,37105,1164,50531,4315,16016,1107,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,43605,1396,43575,1730,42689,1466,52307,8576,45104,6399,45477,1802,48635,2937,62250,4312,31098,1663,26943,415,25358,532,25198,574,32300,4380,34229,2631,32943,2453,38446,3341,43551,5613,15000,1871,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,47711,627,46963,438,46212,453,61390,1089,46353,2149,61092,855,57415,4673,64777,3415,32478,2381,32914,566,31449,231,31357,237,36646,2369,39852,1111,43882,2439,43562,2152,58246,3973,18236,1403,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,44968,835,44656,1221,43694,1317,52453,6383,40660,3652,49564,3192,53617,3961,61011,3683,35592,2299,30725,333,29472,755,29539,771,26982,4381,32873,1742,34171,3312,45361,2764,51853,3743,18743,3211,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,51102,765,51262,921,51192,951,52066,6955,50587,4908,55738,6103,51112,9675,70424,7019,40471,3276,34112,1545,32043,979,31925,951,40973,10331,39418,2431,41677,2087,37631,5083,54983,10217,21657,2422,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,36974,572,36954,679,36347,681,53497,8236,40716,4673,35948,2665,41888,2341,54353,7353,29008,3838,28174,847,26436,515,26295,522,31198,3292,33719,2827,33192,3167,38711,2774,48116,6398,15806,1336,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,42447,2327,42337,2543,41960,1456,55498,10555,41591,3746,51440,11080,49302,3209,65350,12242,25108,6375,32722,1253,30240,1175,29959,1454,41499,7479,39018,2294,61210,9607,48640,2505,42350,28752,20296,3985,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,48480,855,47896,1032,46985,567,61083,1122,47307,2291,56084,1855,54267,2471,60426,2126,36462,1543,35520,347,32740,624,32549,552,40584,2851,41074,786,43249,2128,49153,2351,51182,2286,17587,1866,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
