GEO_ID,C16007_001E,C16007_001M,C16007_002E,C16007_002M,C16007_003E,C16007_003M,C16007_004E,C16007_004M,C16007_005E,C16007_005M,C16007_006E,C16007_006M,C16007_007E,C16007_007M,C16007_008E,C16007_008M,C16007_009E,C16007_009M,C16007_010E,C16007_010M,C16007_011E,C16007_011M,C16007_012E,C16007_012M,C16007_013E,C16007_013M,NAME,C16007_001MA,C16007_001EA,C16007_002MA,C16007_002EA,C16007_003EA,C16007_003MA,C16007_004EA,C16007_004MA,C16007_005EA,C16007_005MA,C16007_006EA,C16007_006MA,C16007_007EA,C16007_007MA,C16007_008MA,C16007_008EA,C16007_009EA,C16007_009MA,C16007_010EA,C16007_010MA,C16007_011EA,C16007_011MA,C16007_012EA,C16007_012MA,C16007_013MA,C16007_013EA,state
0400000US08,5359922,2467,931096,3657,746037,8826,143668,7343,41391,4436,3620971,3204,2995976,17297,427124,14061,197871,7694,807855,1906,720725,4657,52223,2706,34907,3229,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6274104,2647,1149283,3228,1029452,6668,74663,3947,45168,5282,4073675,3841,3679843,11756,207305,6327,186527,8765,1051146,2952,1006514,4252,15220,1683,29412,3247,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4194913,2663,734292,3217,684729,4635,27295,2460,22268,3394,2729229,2851,2559673,7362,83096,3695,86460,6053,731392,2338,714054,2519,6323,1240,11015,1891,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4358121,2840,795728,3119,744587,4717,32675,3453,18466,3035,2841783,3394,2623544,8777,109286,4799,108953,7078,720610,2987,657101,3741,13269,1589,50240,3311,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,11981624,2046,2096346,2661,1574607,10110,367862,8533,153877,6762,7894730,3660,5918608,17488,1147956,11069,828166,13250,1990548,2970,1674372,6705,124409,3217,191767,5975,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2958262,2271,535506,2395,477111,4315,34331,2886,24064,3585,1884938,2594,1697589,7049,84803,3651,102546,5804,537818,2027,522264,1700,4695,1032,10859,1384,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1293601,978,195271,1568,181974,2484,5892,1483,7405,1611,853174,1571,784304,4364,22581,1979,46289,3617,245156,1267,227034,2027,2619,726,15503,1854,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2825733,2697,515868,3625,467517,4024,40195,3066,8156,1858,1802189,3740,1646987,7432,108758,4778,46444,4292,507676,2520,494511,2174,5993,1368,7172,1228,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,912836,334,148815,375,123114,2655,18019,1406,7682,1938,583265,952,501250,3985,43829,2662,38186,3017,180756,919,169136,1357,3588,790,8032,1008,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5256247,1722,947115,2151,801598,6046,60102,3759,85415,5765,3420498,2828,2974036,9489,142655,4715,303807,8140,888634,2323,838733,2828,8814,1320,41087,2635,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
