GEO_ID,C16005_001E,C16005_001M,C16005_002E,C16005_002M,C16005_003E,C16005_003M,C16005_004E,C16005_004M,C16005_005E,C16005_005M,C16005_006E,C16005_006M,C16005_007E,C16005_007M,C16005_008E,C16005_008M,C16005_009E,C16005_009M,C16005_010E,C16005_010M,C16005_011E,C16005_011M,C16005_012E,C16005_012M,C16005_013E,C16005_013M,C16005_014E,C16005_014M,C16005_015E,C16005_015M,C16005_016E,C16005_016M,C16005_017E,C16005_017M,C16005_018E,C16005_018M,C16005_019E,C16005_019M,C16005_020E,C16005_020M,C16005_021E,C16005_021M,C16005_022E,C16005_022M,C16005_023E,C16005_023M,C16005_024E,C16005_024M,C16005_025E,C16005_025M,C16005_026E,C16005_026M,C16005_027E,C16005_027M,C16005_028E,C16005_028M,C16005_029E,C16005_029M,NAME,C16005_001EA,C16005_001MA,C16005_002EA,C16005_002MA,C16005_003MA,C16005_003EA,C16005_004MA,C16005_004EA,C16005_005EA,C16005_005MA,C16005_006EA,C16005_006MA,C16005_007EA,C16005_007MA,C16005_008EA,C16005_008MA,C16005_009EA,C16005_009MA,C16005_010EA,C16005_010MA,C16005_011EA,C16005_011MA,C16005_012EA,C16005_012MA,C16005_013MA,C16005_013EA,C16005_014MA,C16005_014EA,C16005_015EA,C16005_015MA,C16005_016EA,C16005_016MA,C16005_017EA,C16005_017MA,C16005_018EA,C16005_018MA,C16005_019EA,C16005_019MA,C16005_020EA,C16005_020MA,C16005_021MA,C16005_021EA,C16005_022EA,C16005_022MA,C16005_023EA,C16005_023MA,C16005_024EA,C16005_024MA,C16005_025MA,C16005_025EA,C16005_026MA,C16005_026EA,C16005_027MA,C16005_027EA,C16005_028EA,C16005_028MA,C16005_029EA,C16005_029MA,state
0400000US08,5359922,2467,4814645,15848,4362816,22787,366031,12617,312636,11496,53395,4464,46886,4140,41307,3859,5579,1639,26336,2444,21699,2298,4637,1070,12576,2251,10826,2378,1750,746,545277,15245,99922,5658,256984,11352,91991,6463,164993,10423,80417,6356,55650,4886,24767,3656,73508,4276,36448,3476,37060,3361,34446,4862,20641,3583,13805,2454,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6274104,2647,5922297,12025,5642772,15925,167460,7567,138865,7487,28595,3570,86472,8570,70389,7815,16083,2563,16575,2678,11741,2353,4834,1381,9018,2464,8055,2259,963,636,351807,11381,73037,5990,129728,5729,49065,3962,80663,5286,53134,5907,36664,4196,16470,3513,73483,5662,34078,4001,39405,4293,22425,4143,13671,3119,8754,2560,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4194913,2663,4026794,7233,3926782,10310,58358,4342,45973,4290,12385,2113,27760,3990,21250,3263,6510,1788,9180,1836,7473,1561,1707,772,4714,2271,3655,2151,1059,781,168119,6690,31674,3521,58356,3567,18836,2125,39520,3050,30900,3709,18351,2636,12549,2392,31150,3294,14305,2608,16845,2529,16039,3745,8926,2265,7113,2026,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4358121,2840,4165582,8289,3990246,11423,67144,4803,52615,3917,14529,2807,85425,5342,74547,5503,10878,1921,15138,2549,12247,2077,2891,1415,7629,3425,7413,3389,216,178,192539,8352,34986,4226,88086,5781,29986,3283,58100,5040,18316,3243,11893,2082,6423,1965,38270,2974,15415,2169,22855,2639,12881,3548,7565,2267,5316,2120,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,11981624,2046,10200884,19908,8951417,21872,928707,15015,798034,16253,130673,8114,209736,9787,185687,8813,24049,3002,69216,5221,58737,4642,10479,2000,41808,4530,38235,4298,3573,1108,1780740,19248,216170,7682,711520,15290,240987,8271,470533,14846,465548,13206,265936,9880,199612,8786,295932,8561,162806,7149,133126,6496,91570,7363,56296,5873,35274,4179,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2958262,2271,2784323,8183,2671185,10383,72682,4416,63137,4171,9545,2329,25638,3756,22050,3618,3588,1017,9089,2034,7677,1916,1412,741,5729,1368,4477,1180,1252,725,173939,7562,25779,2842,51147,3602,16384,2269,34763,3004,33563,4515,20067,3028,13496,2770,43252,3524,18563,2786,24689,2854,20198,4122,9271,2455,10927,2939,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1293601,978,1211161,4681,1165406,5836,20726,2883,16352,2463,4374,1424,19445,2264,17987,2312,1458,500,3306,1122,2732,966,574,366,2278,1076,1572,842,706,492,82440,4732,27906,3144,10366,1843,3636,1048,6730,1584,24289,3644,14551,2076,9738,2563,16050,2385,8440,1485,7610,2077,3829,1063,2300,786,1529,743,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2825733,2697,2682634,6842,2581816,7988,77887,4626,64042,4685,13845,2357,9874,2195,9161,2167,713,393,11535,2664,8530,1962,3005,1502,1522,683,1387,666,135,129,143099,6141,27199,3691,77059,4534,24843,3991,52216,3630,9744,2533,6276,1611,3468,1597,26767,3017,9583,1445,17184,2891,2330,1094,1647,829,683,528,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,912836,334,823002,5527,774994,6230,33906,3226,27726,2791,6180,1542,9948,3001,7903,1970,2045,1599,3156,1037,2472,860,684,601,998,614,998,614,0,200,89834,5510,18506,2983,31530,3091,13259,2681,18271,2529,17671,3481,11591,2704,6080,2026,17293,2531,9245,2046,8048,1800,4834,1590,3819,1490,1015,800,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5256247,1722,4775306,12340,4516594,14764,117339,6191,98842,5760,18497,2267,44251,3703,38181,3459,6070,975,59761,4103,46235,4126,13526,2569,37361,5085,33099,4799,4262,1211,480941,12492,97773,5418,94232,5341,33926,3139,60306,4924,63912,5908,43169,4614,20743,3233,117278,5563,52820,3812,64458,4108,107746,7527,53726,4612,54020,5781,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
