GEO_ID,B20017A_001E,B20017A_001M,B20017A_002E,B20017A_002M,B20017A_003E,B20017A_003M,B20017A_004E,B20017A_004M,B20017A_005E,B20017A_005M,B20017A_006E,B20017A_006M,B20017A_007E,B20017A_007M,NAME,B20017A_001MA,B20017A_001EA,B20017A_002EA,B20017A_002MA,B20017A_003EA,B20017A_003MA,B20017A_004EA,B20017A_004MA,B20017A_005MA,B20017A_005EA,B20017A_006MA,B20017A_006EA,B20017A_007MA,B20017A_007EA,state
0400000US08,40182,329,46403,630,58607,1529,15131,689,32816,628,47546,741,12684,543,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,34960,447,42100,307,51673,296,11379,279,27472,495,39015,690,10770,193,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,31975,264,38385,835,49380,1097,11197,327,26832,352,38113,806,10527,255,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,37943,1059,46973,904,56986,1062,14680,1198,29303,967,41617,577,10671,326,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,40479,202,48757,609,61032,298,12395,295,31773,252,48526,775,11698,149,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,35687,336,42440,683,51892,318,10214,401,28871,729,40894,437,10818,336,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,40064,858,48547,2180,61569,1246,13600,2124,31855,642,45557,1018,12173,534,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,32357,460,37650,983,46004,789,11337,493,27139,557,37420,912,10088,435,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,37207,1179,42422,2446,55583,2209,10444,749,31825,1165,46346,1483,10821,743,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,41106,221,47692,742,60426,340,13078,660,34943,531,49068,783,12883,472,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,30633,462,36007,863,49336,1776,13263,1884,25942,697,37873,1479,11509,492,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,33468,728,38441,1534,48938,1480,11944,541,30117,731,40490,907,11364,438,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,35608,238,40950,346,50985,312,11999,268,30362,275,41725,325,11222,207,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,37051,324,44681,867,53988,1374,12014,309,30405,334,43307,859,10894,252,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
