GEO_ID,C01001G_001E,C01001G_001M,C01001G_002E,C01001G_002M,C01001G_003E,C01001G_003M,C01001G_004E,C01001G_004M,C01001G_005E,C01001G_005M,C01001G_006E,C01001G_006M,C01001G_007E,C01001G_007M,C01001G_008E,C01001G_008M,C01001G_009E,C01001G_009M,NAME,C01001G_001EA,C01001G_001MA,C01001G_002EA,C01001G_002MA,C01001G_003MA,C01001G_003EA,C01001G_004EA,C01001G_004MA,C01001G_005MA,C01001G_005EA,C01001G_006MA,C01001G_006EA,C01001G_007MA,C01001G_007EA,C01001G_008EA,C01001G_008MA,C01001G_009EA,C01001G_009MA,state
0400000US08,227470,10949,114978,7326,53249,4527,57836,4803,3893,795,112492,6145,48321,3991,58953,3921,5218,1121,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,180641,10300,90432,6022,47836,4193,40583,3579,2013,703,90209,6569,44170,3977,42240,3583,3799,924,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,108018,7125,54289,5019,30562,3659,21251,3045,2476,975,53729,4327,26803,2759,24626,3056,2300,779,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,105045,7750,54002,4792,29357,3690,22266,2791,2379,824,51043,4499,24998,2902,22677,2889,3368,930,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,340977,12577,173665,7514,88283,4879,78490,5122,6892,1079,167312,7429,76486,5553,82406,4725,8420,1309,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,69268,5586,34591,3479,19943,2713,13975,2228,673,328,34677,3411,18755,2439,14606,1724,1316,485,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,29957,3259,14995,2229,5809,1408,8408,1621,778,388,14962,2432,7205,1703,6725,1468,1032,574,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,88201,5889,44706,4249,21737,3004,20707,2364,2262,713,43495,3090,21180,2270,19320,1898,2995,780,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,25828,3640,12955,2276,5641,1582,6961,1511,353,232,12873,2115,6263,1636,6063,1345,547,354,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,174832,8688,88523,5638,46776,3240,39552,3741,2195,603,86309,5180,44309,3591,38837,3480,3163,709,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
