GEO_ID,C08528_001E,C08528_001M,C08528_002E,C08528_002M,C08528_003E,C08528_003M,C08528_004E,C08528_004M,C08528_005E,C08528_005M,C08528_006E,C08528_006M,C08528_007E,C08528_007M,C08528_008E,C08528_008M,C08528_009E,C08528_009M,C08528_010E,C08528_010M,C08528_011E,C08528_011M,C08528_012E,C08528_012M,C08528_013E,C08528_013M,C08528_014E,C08528_014M,C08528_015E,C08528_015M,C08528_016E,C08528_016M,C08528_017E,C08528_017M,C08528_018E,C08528_018M,C08528_019E,C08528_019M,C08528_020E,C08528_020M,C08528_021E,C08528_021M,C08528_022E,C08528_022M,C08528_023E,C08528_023M,C08528_024E,C08528_024M,C08528_025E,C08528_025M,C08528_026E,C08528_026M,C08528_027E,C08528_027M,C08528_028E,C08528_028M,C08528_029E,C08528_029M,C08528_030E,C08528_030M,NAME,C08528_001EA,C08528_001MA,C08528_002EA,C08528_002MA,C08528_003MA,C08528_003EA,C08528_004MA,C08528_004EA,C08528_005EA,C08528_005MA,C08528_006EA,C08528_006MA,C08528_007MA,C08528_007EA,C08528_008EA,C08528_008MA,C08528_009EA,C08528_009MA,C08528_010MA,C08528_010EA,C08528_011MA,C08528_011EA,C08528_012MA,C08528_012EA,C08528_013EA,C08528_013MA,C08528_014EA,C08528_014MA,C08528_015MA,C08528_015EA,C08528_016MA,C08528_016EA,C08528_017MA,C08528_017EA,C08528_018MA,C08528_018EA,C08528_019EA,C08528_019MA,C08528_020MA,C08528_020EA,C08528_021MA,C08528_021EA,C08528_022MA,C08528_022EA,C08528_023EA,C08528_023MA,C08528_024EA,C08528_024MA,C08528_025MA,C08528_025EA,C08528_026MA,C08528_026EA,C08528_027MA,C08528_027EA,C08528_028EA,C08528_028MA,C08528_029MA,C08528_029EA,C08528_030MA,C08528_030EA,state
0400000US08,2957533,19044,2361805,19284,419532,10988,169576,6645,6620,1345,2217788,20053,1792563,19491,328406,10647,93261,4586,3558,912,251916,10548,202177,10320,34654,2848,14182,2241,903,391,81493,5074,67134,4640,12486,2085,1873,1019,0,198,152816,6397,113456,5517,31458,2761,7285,1435,617,509,253520,8712,186475,7824,12528,1878,52975,3719,1542,595,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,3110716,18136,2643631,17909,324909,10019,138092,6342,4084,1117,2575963,19050,2201640,18646,281601,9351,89886,5079,2836,927,279617,9259,242742,8215,25022,2692,11280,1812,573,594,23092,2619,19413,2451,3231,881,437,285,11,20,109759,5575,92635,5221,9992,1631,7049,1172,83,75,122285,5492,87201,4690,5063,1041,29440,2974,581,349,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1980353,16709,1582992,15677,293093,7701,100551,5469,3717,1000,1633433,18870,1319240,17178,245870,7565,65753,4213,2570,826,187344,8488,146200,7418,30552,2940,10235,1526,357,247,18696,2570,16351,2409,2136,789,209,200,0,198,61116,3904,47086,3594,9554,1112,4395,1362,81,111,79764,4166,54115,3751,4981,1201,19959,2039,709,385,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2002142,18569,1576834,15936,300263,9847,121481,6410,3564,876,1656149,17739,1313117,16396,260879,8923,80058,4926,2095,630,181399,8891,145849,8262,22701,2579,12411,2054,438,486,23661,2959,21020,2895,2289,814,333,232,19,32,74001,5691,56729,4587,9766,2155,7283,1959,223,226,66932,4870,40119,3589,4628,1495,21396,3293,789,516,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,6175357,24033,5155802,27363,730857,14925,277481,8369,11217,1620,4480777,24809,3736557,22248,577114,13537,160008,6805,7098,1277,507467,14824,434195,13047,51125,4185,20956,2333,1191,605,587614,14545,521602,13629,53730,3978,11862,1728,420,263,280906,8796,233917,8323,31747,2635,14580,2387,662,343,318593,9126,229531,7796,17141,2167,70075,4748,1846,658,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1584558,11154,1278593,11434,207663,6400,94870,4464,3432,822,1292215,12295,1066872,13002,170261,5708,53425,3260,1657,585,129495,5754,105441,5352,16973,2037,6719,1129,362,218,16120,2446,10257,2127,5390,1332,462,410,11,21,65422,3803,49259,3307,10716,1489,5167,867,280,192,81306,3953,46764,3007,4323,932,29097,2370,1122,540,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,678998,8606,554642,8267,80229,3914,43333,2978,794,415,544813,8403,449018,8061,69200,3722,25900,2500,695,402,53999,4733,46094,4232,5141,1380,2724,776,40,78,3702,1320,3308,1369,142,123,252,240,0,198,27498,2904,22017,2551,2941,803,2517,1035,23,35,48986,3627,34205,2928,2805,863,11940,1490,36,60,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1296811,13164,1018060,14098,190777,8665,85096,5116,2878,1072,1072570,13291,855745,13390,159366,7836,56260,4327,1199,570,134607,6887,101556,5965,22916,2542,9170,1458,965,753,4620,1307,3102,994,936,517,549,763,33,55,36248,3928,27591,3552,4654,1093,3726,891,277,252,48766,4552,30066,3435,2905,865,15391,2086,404,321,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,445816,9167,361302,8597,65105,3908,19203,2104,206,189,358429,8760,289313,8613,55814,3612,13113,1657,189,179,39415,4133,33165,3780,4934,1344,1299,652,17,28,7636,1401,6739,1376,897,419,0,198,0,198,14597,2233,12276,1943,1900,747,421,277,0,198,25739,2523,19809,2111,1560,693,4370,1074,0,198,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2939577,12818,2448004,13055,337727,8020,148904,4268,4942,816,2287243,14490,1924879,13722,273636,7087,85738,3296,2990,667,245736,7117,209500,6644,25879,2051,9837,1254,520,277,103468,5425,88187,5259,13879,1942,1291,491,111,134,125425,4812,101088,3921,16025,1909,8053,916,259,177,177705,5568,124350,5239,8308,1148,43985,2444,1062,401,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
