GEO_ID,B22001_001E,B22001_001M,B22001_002E,B22001_002M,B22001_003E,B22001_003M,B22001_004E,B22001_004M,B22001_005E,B22001_005M,B22001_006E,B22001_006M,B22001_007E,B22001_007M,NAME,B22001_001MA,B22001_001EA,B22001_002MA,B22001_002EA,B22001_003MA,B22001_003EA,B22001_004MA,B22001_004EA,B22001_005MA,B22001_005EA,B22001_006MA,B22001_006EA,B22001_007MA,B22001_007EA,state
0400000US41,1639970,6988,241059,8801,90159,4436,150900,6947,1398911,10738,591314,6330,807597,8937,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,230252,3746,11545,1850,3208,772,8337,1802,218707,3940,90384,2672,128323,4051,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,13072122,21485,1114465,18430,336819,9232,777646,14511,11957657,25183,4886186,19510,7071471,26515,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,1108630,9460,164100,7024,51894,3781,112206,6086,944530,8806,401239,5892,543291,7887,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,1378091,6923,154161,6626,59887,3787,94274,5827,1223930,9399,525169,6372,698761,9446,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,9776083,21679,1166233,20236,362718,9770,803515,17883,8609850,25032,3050745,14970,5559105,21447,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,2215935,9432,208654,7163,79904,4410,128750,6757,2007281,10685,813914,7858,1193367,11400,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,7809358,20825,1077869,17206,475117,10767,602752,13352,6731489,27144,3218340,16258,3513149,23093,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,2624294,8879,301025,8559,128425,5853,172600,7043,2323269,11859,950954,8028,1372315,9794,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,287476,2752,40353,2804,15847,1867,24506,2397,247123,3466,69673,2212,177450,3450,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,998891,5079,64722,4087,21858,2645,42864,3315,934169,6381,305050,4602,629119,6241,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,7367015,16617,1072330,15005,499993,12075,572337,12277,6294685,19970,2597283,18828,3697402,21178,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,3249567,9867,265127,8665,111625,5340,153502,7035,2984440,14038,1264434,10132,1720006,12798,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,4685447,12486,574291,10900,191217,6580,383074,8934,4111156,15328,1707548,10526,2403608,14790,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,2434806,10407,260185,7096,78403,4013,181782,6024,2174621,11256,895284,7700,1279337,10715,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,5070931,12151,679656,11501,253514,6794,426142,10199,4391275,15155,1938408,10702,2452867,13632,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,3957466,12369,498793,8957,172535,5813,326258,8611,3458673,13952,1480115,8728,1978558,14906,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,765490,3878,64082,3574,17369,1789,46713,3447,701408,4762,271425,3486,429983,5117,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,640270,5214,56753,3995,14937,1991,41816,3645,583517,6207,235748,4116,347769,6475,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,794093,5137,137059,5970,44135,3085,92924,4857,657034,7577,297159,4459,359875,6572,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,455309,4541,45590,3301,20806,2207,24784,2555,409719,5399,199176,4303,210543,4706,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,345449,3406,28102,2079,7757,1171,20345,2035,317347,3883,126896,2637,190451,4410,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,2895575,9139,320915,9377,115695,5129,205220,8010,2574660,12198,987635,8981,1587025,12648,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,406573,4965,62734,4312,26763,2815,35971,3503,343839,5655,147403,3642,196436,5010,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,2614298,11305,271775,7947,95379,4710,176396,6405,2342523,14773,1025932,8843,1316591,12626,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,2603140,11640,337798,9385,112281,5243,225517,7486,2265342,14852,924731,8727,1340611,12975,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,1133408,7193,82465,3854,24461,2181,58004,3220,1050943,7487,409801,5122,641142,7347,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
