GEO_ID,B19326_001E,B19326_001M,B19326_002E,B19326_002M,B19326_003E,B19326_003M,B19326_004E,B19326_004M,B19326_005E,B19326_005M,B19326_006E,B19326_006M,B19326_007E,B19326_007M,NAME,B19326_001EA,B19326_001MA,B19326_002EA,B19326_002MA,B19326_003EA,B19326_003MA,B19326_004MA,B19326_004EA,B19326_005EA,B19326_005MA,B19326_006EA,B19326_006MA,B19326_007EA,B19326_007MA,state
0400000US08,35913,248,42491,639,58141,1401,21629,474,29583,523,47538,706,15938,257,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,30099,191,37403,448,51593,293,18701,421,22938,346,39423,675,13474,228,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,26533,267,32171,368,49435,980,16983,391,21502,269,38908,728,12589,259,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,25761,319,33168,1405,52389,858,17050,387,20965,297,36811,595,11959,161,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,32431,202,41039,245,59308,1072,19988,293,26174,197,46994,454,14529,180,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,31586,290,40110,435,52232,332,19599,479,25117,362,41088,424,14269,271,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,34841,855,43991,1632,62177,1660,21218,696,26952,509,46414,1208,15877,456,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,25558,359,31104,378,44460,1417,16455,407,20997,342,37024,539,12299,196,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,32371,674,39584,1835,53926,2886,21492,928,26639,878,45605,1653,15813,742,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,35751,203,42460,381,58967,1135,21397,332,29348,443,47983,713,15942,238,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,28206,660,34112,1200,50083,1107,20471,748,22762,940,37810,1419,14176,550,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,29922,570,35319,791,50364,592,19414,680,24536,656,41589,738,14365,424,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,28662,297,34799,495,48572,692,17541,360,23608,288,40205,337,13802,183,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,30111,167,36195,350,50851,332,16893,249,24385,288,40971,314,13257,219,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,33262,1382,40595,1365,62870,2641,18370,1724,26775,1062,50857,946,13255,578,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,25796,272,32840,945,50515,421,16442,350,20545,262,36741,461,12305,158,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,31034,582,35622,935,51613,851,18148,849,27158,924,44405,1687,15770,741,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,31294,279,35995,480,47563,1065,20846,548,26325,493,40627,505,15073,435,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,24616,381,31206,521,48380,1908,18438,576,19899,409,34033,871,12430,270,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,27099,238,34275,692,49338,864,16540,302,21848,266,36498,360,12446,185,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
