GEO_ID,B24091_001E,B24091_001M,B24091_002E,B24091_002M,B24091_003E,B24091_003M,B24091_004E,B24091_004M,B24091_005E,B24091_005M,B24091_006E,B24091_006M,B24091_007E,B24091_007M,B24091_008E,B24091_008M,B24091_009E,B24091_009M,NAME,B24091_001EA,B24091_001MA,B24091_002EA,B24091_002MA,B24091_003EA,B24091_003MA,B24091_004MA,B24091_004EA,B24091_005MA,B24091_005EA,B24091_006EA,B24091_006MA,B24091_007EA,B24091_007MA,B24091_008EA,B24091_008MA,B24091_009MA,B24091_009EA,state
0400000US08,51543,276,50966,326,50539,349,66202,3959,52809,2182,53855,1935,52151,1416,68061,3346,45622,3118,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,44945,538,44609,737,44178,740,56632,4241,46010,1369,44586,1721,45301,1445,61946,1817,36751,2028,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,42354,323,41924,368,41657,385,56233,9593,47724,1907,42219,938,42924,1373,58699,3084,32403,3262,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,43070,890,42247,463,41953,472,58460,8027,48757,2514,41883,884,45989,1518,57612,3221,39103,5102,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,51543,185,50843,227,50526,239,65129,4599,52410,974,60893,643,58427,3050,64284,2362,40107,2931,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,46831,501,46043,590,45686,599,52725,5109,45657,1734,50335,1126,57033,2108,61331,1940,38009,3351,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,52428,1079,52456,1513,52329,1095,62804,8676,51417,1574,53844,3003,56372,8221,66263,3495,44538,5117,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,40213,448,39207,1195,38379,1174,53409,7313,43055,3254,38950,1833,44273,1377,54284,5248,32269,2013,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,48670,1645,46672,1114,46249,1058,56515,8885,50075,4804,65913,9066,52872,3006,64094,8814,32389,4763,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,51834,220,51355,259,51047,267,61723,897,53696,1576,56712,1429,57177,1678,61251,1411,40408,1092,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,42094,632,40913,774,40561,787,47288,4700,43372,5138,41956,2280,50051,2736,56771,3668,37316,4432,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,44830,1038,42538,1156,42063,544,52410,4724,46244,1952,50461,1572,46791,3485,62198,4210,35528,2688,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,42726,483,41925,248,41534,247,56415,4767,50525,756,42565,814,45324,790,59086,2944,32191,1365,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,45295,341,44078,877,42852,834,60958,1236,51973,872,45076,1252,45187,1408,66503,1676,36108,1315,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,55637,1853,52079,1303,51586,942,71914,27146,54287,4937,61421,2328,65059,5645,63308,4027,43662,4866,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,41937,348,40818,372,40410,407,56117,4660,44373,2548,43031,1319,46974,1765,71308,3035,35241,3464,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,47260,1213,44213,1566,43775,1518,50280,5344,51901,2396,54513,3822,55514,2238,75820,7352,31534,1265,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,42335,502,40952,438,40709,468,60426,9794,49413,4867,59568,2850,52249,2109,60452,4727,40219,3037,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
