GEO_ID,B17018_001E,B17018_001M,B17018_002E,B17018_002M,B17018_003E,B17018_003M,B17018_004E,B17018_004M,B17018_005E,B17018_005M,B17018_006E,B17018_006M,B17018_007E,B17018_007M,B17018_008E,B17018_008M,B17018_009E,B17018_009M,B17018_010E,B17018_010M,B17018_011E,B17018_011M,B17018_012E,B17018_012M,B17018_013E,B17018_013M,B17018_014E,B17018_014M,B17018_015E,B17018_015M,B17018_016E,B17018_016M,B17018_017E,B17018_017M,B17018_018E,B17018_018M,B17018_019E,B17018_019M,B17018_020E,B17018_020M,B17018_021E,B17018_021M,B17018_022E,B17018_022M,B17018_023E,B17018_023M,B17018_024E,B17018_024M,B17018_025E,B17018_025M,B17018_026E,B17018_026M,B17018_027E,B17018_027M,B17018_028E,B17018_028M,B17018_029E,B17018_029M,B17018_030E,B17018_030M,B17018_031E,B17018_031M,B17018_032E,B17018_032M,B17018_033E,B17018_033M,B17018_034E,B17018_034M,B17018_035E,B17018_035M,NAME,B17018_001MA,B17018_001EA,B17018_002MA,B17018_002EA,B17018_003MA,B17018_003EA,B17018_004EA,B17018_004MA,B17018_005EA,B17018_005MA,B17018_006MA,B17018_006EA,B17018_007EA,B17018_007MA,B17018_008MA,B17018_008EA,B17018_009EA,B17018_009MA,B17018_010EA,B17018_010MA,B17018_011MA,B17018_011EA,B17018_012MA,B17018_012EA,B17018_013MA,B17018_013EA,B17018_014EA,B17018_014MA,B17018_015EA,B17018_015MA,B17018_016MA,B17018_016EA,B17018_017MA,B17018_017EA,B17018_018EA,B17018_018MA,B17018_019EA,B17018_019MA,B17018_020EA,B17018_020MA,B17018_021MA,B17018_021EA,B17018_022MA,B17018_022EA,B17018_023MA,B17018_023EA,B17018_024MA,B17018_024EA,B17018_025MA,B17018_025EA,B17018_026EA,B17018_026MA,B17018_027EA,B17018_027MA,B17018_028EA,B17018_028MA,B17018_029EA,B17018_029MA,B17018_030MA,B17018_030EA,B17018_031EA,B17018_031MA,B17018_032EA,B17018_032MA,B17018_033EA,B17018_033MA,B17018_034MA,B17018_034EA,B17018_035MA,B17018_035EA,state
0400000US08,1372705,11369,85547,4645,33505,2957,6880,1584,7890,1390,10955,1628,7780,1327,52042,3833,9781,1619,2396,892,1524,520,4364,1060,1497,689,42261,3590,10303,2144,11672,2152,14051,2019,6235,1243,1287158,12066,1034680,11425,53029,3299,159025,6152,292839,8953,529787,10141,252478,7778,88954,4188,8827,1505,25042,2824,29031,2695,26054,2678,163524,6574,15156,2496,38275,3099,58575,3959,51518,3414,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1683176,12254,156585,6413,54921,4024,13258,2144,19702,2364,15561,2135,6400,1084,101664,5687,17619,2467,5014,1439,7030,1452,4524,1034,1051,584,84045,5207,17118,2362,29414,2998,32627,3418,4886,1096,1526591,12372,1193356,14682,77000,3601,331402,9209,351405,9518,433549,10777,333235,9913,112408,5718,16640,2250,45255,3926,31608,3059,18905,2459,220827,7451,22379,2644,68164,4245,81477,4978,48807,3527,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1138927,12100,143499,6052,55171,3642,14829,1853,20431,2004,14948,1965,4963,1087,88328,5350,13980,1967,5582,1461,4598,1065,3382,855,418,238,74348,4793,15740,2451,27079,2627,27234,2844,4295,1107,995428,11461,782808,10652,57919,3225,217114,6906,239875,7547,267900,7226,212620,7320,69704,4330,9341,1657,25935,2656,22232,2569,12196,1595,142916,6010,15228,1954,42115,3310,55772,4329,29801,2626,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1104847,12302,150690,6789,40845,3593,11026,1942,14431,1866,11673,1848,3715,866,109845,5963,18642,2556,5820,1410,8331,1995,3683,1309,808,621,91203,5519,22760,3213,35530,3444,26649,2688,6264,1284,954157,12371,707759,11650,50747,4001,209120,7445,209919,6620,237973,5556,246398,8481,69647,4560,12319,2130,28423,3127,18486,2401,10419,1814,176751,6439,20104,2594,58674,4398,59582,4703,38391,3134,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3119101,17843,264678,8286,87199,4895,21721,2557,29142,2985,21880,2771,14456,1673,177479,7404,27547,2604,5954,1160,11082,1677,7360,1349,3151,1012,149932,7200,31404,3248,49920,4586,57076,3977,11532,1454,2854423,16905,2205892,15963,149578,6561,444820,9783,622871,11986,988623,12395,648531,10751,199653,6299,27841,2554,65802,4467,64432,4027,41578,3291,448878,8558,42521,3345,108940,4810,176711,6649,120706,5474,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,800329,8263,57311,3654,19142,2117,3164,704,6434,1019,6460,1380,3084,805,38169,3292,5738,1309,999,492,2160,605,2283,879,296,299,32431,2670,6752,1352,10277,1693,13252,1843,2150,646,743018,8166,603000,8814,29571,2363,145545,4374,204022,6224,223862,6746,140018,5254,51405,3386,4541,1280,18743,2051,19394,1910,8727,1577,88613,4043,6805,1222,24588,2150,34935,2437,22285,2660,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,341752,6363,16178,1948,5014,998,1130,574,1531,498,1096,505,1257,517,11164,1824,1628,708,405,325,725,517,445,305,53,87,9536,1739,1515,668,3817,1194,2742,998,1462,585,325574,5975,269295,5998,9673,1333,53346,3086,80724,4455,125552,3945,56279,3710,20561,2285,2278,870,6869,1649,6401,1110,5013,1078,35718,2833,3168,876,8908,1543,13163,1754,10479,1388,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,769134,11117,97453,5721,33387,3343,5795,1353,14544,2354,9546,1636,3502,844,64066,4417,10347,1934,2194,1021,4512,1331,3171,1149,470,319,53719,4100,11555,2100,18944,2306,20040,3031,3180,1121,671681,9873,520074,8925,43669,2932,147733,6089,161331,6652,167341,5329,151607,6598,47299,3860,8222,1604,18522,2463,14996,2285,5559,1129,104308,4843,12404,1846,29886,3077,41612,3219,20406,2464,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,238399,6155,20026,2424,7164,1520,1657,737,2505,962,1805,739,1197,471,12862,1831,2133,702,640,388,542,367,827,474,124,135,10729,1770,1901,877,4954,1198,3136,940,738,410,218373,5852,166670,4828,10123,1514,42267,2883,44354,3307,69926,3395,51703,3861,16090,2287,1590,701,7602,1554,3796,1032,3102,925,35613,3033,2628,797,12690,2320,11006,1662,9289,1670,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1396827,9648,79752,4368,29644,2266,6474,1159,7748,1135,9817,1468,5605,879,50108,3748,8104,1274,1600,591,2649,671,3355,856,500,258,42004,3165,10199,1480,11858,1787,15811,1803,4136,1213,1317075,9514,1073467,10241,38068,2482,197370,5445,347140,7522,490889,7727,243608,5880,88196,4329,7943,1345,24167,2050,34824,2576,21262,2047,155412,5083,11462,1551,34538,2495,65453,4042,43959,3191,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
