GEO_ID,C23002H_001E,C23002H_001M,C23002H_002E,C23002H_002M,C23002H_003E,C23002H_003M,C23002H_004E,C23002H_004M,C23002H_005E,C23002H_005M,C23002H_006E,C23002H_006M,C23002H_007E,C23002H_007M,C23002H_008E,C23002H_008M,C23002H_009E,C23002H_009M,C23002H_010E,C23002H_010M,C23002H_011E,C23002H_011M,C23002H_012E,C23002H_012M,C23002H_013E,C23002H_013M,C23002H_014E,C23002H_014M,C23002H_015E,C23002H_015M,C23002H_016E,C23002H_016M,C23002H_017E,C23002H_017M,C23002H_018E,C23002H_018M,C23002H_019E,C23002H_019M,C23002H_020E,C23002H_020M,C23002H_021E,C23002H_021M,C23002H_022E,C23002H_022M,C23002H_023E,C23002H_023M,C23002H_024E,C23002H_024M,C23002H_025E,C23002H_025M,C23002H_026E,C23002H_026M,C23002H_027E,C23002H_027M,NAME,C23002H_001EA,C23002H_001MA,C23002H_002EA,C23002H_002MA,C23002H_003EA,C23002H_003MA,C23002H_004MA,C23002H_004EA,C23002H_005MA,C23002H_005EA,C23002H_006EA,C23002H_006MA,C23002H_007EA,C23002H_007MA,C23002H_008MA,C23002H_008EA,C23002H_009MA,C23002H_009EA,C23002H_010MA,C23002H_010EA,C23002H_011EA,C23002H_011MA,C23002H_012EA,C23002H_012MA,C23002H_013MA,C23002H_013EA,C23002H_014EA,C23002H_014MA,C23002H_015MA,C23002H_015EA,C23002H_016EA,C23002H_016MA,C23002H_017EA,C23002H_017MA,C23002H_018MA,C23002H_018EA,C23002H_019MA,C23002H_019EA,C23002H_020MA,C23002H_020EA,C23002H_021EA,C23002H_021MA,C23002H_022EA,C23002H_022MA,C23002H_023MA,C23002H_023EA,C23002H_024MA,C23002H_024EA,C23002H_025EA,C23002H_025MA,C23002H_026MA,C23002H_026EA,C23002H_027MA,C23002H_027EA,state
0400000US08,3231639,3505,1617291,2335,1307590,2206,1097797,7147,18375,1846,1079422,7187,1036964,7318,42458,3588,209793,7413,309701,377,81698,3743,79897,3710,1801,638,228003,3761,1614348,2475,1251930,2394,959783,8237,2843,922,956940,8179,928228,8296,28712,2670,292147,8056,362418,366,65450,3352,62721,3084,2729,1443,296968,3394,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,4290168,4247,2090518,3205,1671729,3102,1347436,8090,2621,895,1344815,8170,1293802,9065,51013,3777,324293,8649,418789,821,92128,3808,88765,3576,3363,896,326661,3846,2199650,2899,1671377,2858,1206364,8829,311,247,1206053,8863,1162020,8921,44033,3447,465013,8194,528273,202,78702,3771,76358,3836,2344,1111,449571,3741,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3075912,3140,1493889,2522,1194869,2454,886232,6665,7467,1042,878765,6724,834144,6955,44621,3901,308637,6755,299020,353,58827,2635,56978,2701,1849,586,240193,2642,1582023,2465,1208147,2475,801443,7759,213,169,801230,7744,764921,8466,36309,3304,406704,8281,373876,432,48730,2934,47622,2867,1108,448,325146,2934,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2230864,2570,1088476,2061,862531,2022,662030,6761,9494,1682,652536,6852,620279,8099,32257,4130,200501,6796,225945,309,52734,2870,51103,2854,1631,607,173211,2920,1142388,2405,864224,2431,574076,6845,1028,586,573048,6754,548710,7300,24338,3117,290148,7022,278164,408,35933,2644,35405,2632,528,299,242231,2597,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,6476152,4315,3157158,3436,2487032,3376,2047265,9883,7461,1316,2039804,9965,1954636,10383,85168,4714,439767,9551,670126,304,155206,4617,151580,4675,3626,787,514920,4602,3318994,3196,2470597,3119,1850272,8307,657,441,1849615,8365,1782081,9111,67534,3848,620325,8429,848397,377,130047,4258,125433,4279,4614,1012,718350,4390,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2195486,2441,1076286,1680,844331,1669,702109,4349,1125,492,700984,4181,678100,4371,22884,2180,142222,4445,231955,154,57492,2570,56796,2555,696,287,174463,2559,1119200,1667,833247,1651,655252,5076,113,112,655139,5060,635061,5605,20078,1954,177995,4859,285953,263,42411,2059,41716,2060,695,349,243542,2126,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1026837,1646,502557,1537,394388,1542,329804,3646,1123,666,328681,3663,315420,4111,13261,2118,64584,3921,108169,198,30119,1730,29686,1725,433,255,78050,1747,524280,975,396198,943,304381,4149,0,192,304381,4149,295956,4438,8425,1316,91817,4083,128082,184,23212,2039,22948,1996,264,214,104870,2047,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1782959,2088,866228,1957,669865,1956,496073,6677,2342,702,493731,6808,473668,6780,20063,2396,173792,6560,196363,13,39489,2573,38777,2618,712,422,156874,2573,916731,1496,674939,1484,441644,5803,233,288,441411,5815,424598,6068,16813,2171,233295,5886,241792,74,31287,2561,30895,2538,392,236,210505,2562,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,511752,904,245731,647,180529,647,143218,2683,2075,714,141143,2661,133698,2843,7445,1626,37311,2648,65202,200,14592,1494,13915,1523,677,501,50610,1494,266021,667,187252,672,136059,3402,80,119,135979,3393,130567,3256,5412,1259,51193,3402,78769,59,13637,1519,13060,1568,577,343,65132,1514,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,3664737,2828,1806574,2129,1428345,2032,1217766,5664,1708,681,1216058,5616,1176202,5909,39856,2551,210579,5317,378229,256,85901,3341,84061,3218,1840,453,292328,3364,1858163,1723,1404628,1779,1139134,6474,164,122,1138970,6477,1112248,6734,26722,2579,265494,6373,453535,193,68579,2887,67837,2843,742,292,384956,2878,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
