GEO_ID,C18104_001E,C18104_001M,C18104_002E,C18104_002M,C18104_003E,C18104_003M,C18104_004E,C18104_004M,C18104_005E,C18104_005M,C18104_006E,C18104_006M,C18104_007E,C18104_007M,C18104_008E,C18104_008M,C18104_009E,C18104_009M,C18104_010E,C18104_010M,C18104_011E,C18104_011M,C18104_012E,C18104_012M,C18104_013E,C18104_013M,C18104_014E,C18104_014M,C18104_015E,C18104_015M,C18104_016E,C18104_016M,C18104_017E,C18104_017M,C18104_018E,C18104_018M,C18104_019E,C18104_019M,C18104_020E,C18104_020M,C18104_021E,C18104_021M,NAME,C18104_001MA,C18104_001EA,C18104_002MA,C18104_002EA,C18104_003EA,C18104_003MA,C18104_004EA,C18104_004MA,C18104_005MA,C18104_005EA,C18104_006MA,C18104_006EA,C18104_007MA,C18104_007EA,C18104_008MA,C18104_008EA,C18104_009MA,C18104_009EA,C18104_010MA,C18104_010EA,C18104_011MA,C18104_011EA,C18104_012MA,C18104_012EA,C18104_013EA,C18104_013MA,C18104_014EA,C18104_014MA,C18104_015MA,C18104_015EA,C18104_016MA,C18104_016EA,C18104_017MA,C18104_017EA,C18104_018EA,C18104_018MA,C18104_019MA,C18104_019EA,C18104_020MA,C18104_020EA,C18104_021MA,C18104_021EA,state
0400000US08,5268463,3285,2621629,5311,474747,3755,20680,2541,454067,4582,1782326,3924,67425,4838,1714901,6085,364556,1466,22017,2391,342539,2787,2646834,4148,454739,3372,10427,1745,444312,3748,1763021,3248,66840,4360,1696181,4995,429074,1808,29787,2825,399287,3416,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6174730,2963,3015987,5618,584220,3958,33574,3309,550646,4588,1982096,4104,97543,4943,1884553,6263,449671,2582,33759,2961,415912,3708,3158743,5142,561189,3611,19733,2553,541456,4354,2031337,3429,107130,5767,1924207,6990,566217,2122,45339,3141,520878,3870,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4114715,2846,2002846,4901,376250,4129,30768,3049,345482,5077,1310960,3442,88598,4500,1222362,6023,315636,1680,26877,2240,288759,2884,2111869,4838,355847,3529,17084,2734,338763,4358,1362142,3601,94994,5685,1267148,6471,393880,2043,46038,2801,347842,3460,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4254221,3494,2041702,5857,409189,4346,29206,3677,379983,4900,1325886,3709,83162,6309,1242724,7039,306627,2448,27201,2498,279426,2976,2212519,5887,384790,4099,14340,2218,370450,4319,1435471,4030,76701,4998,1358770,6643,392258,2581,37233,2968,355025,4121,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,11804483,2510,5757672,4614,1070379,2941,49219,3577,1021160,4353,3841568,4091,147245,7492,3694323,7486,845725,2427,51733,3291,793992,4030,6046811,4913,1022127,2950,22542,2431,999585,3722,3944873,3698,140173,6225,3804700,7178,1079811,3233,84283,4455,995528,5562,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2915146,2277,1439605,3646,273970,2547,15324,1618,258646,2988,933168,2756,40211,2936,892957,3825,232467,1499,12960,1446,219507,1969,1475541,3570,259395,2241,6944,1237,252451,2595,932908,2421,42058,3274,890850,3857,283238,1719,18629,2124,264609,2566,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1276692,1118,627186,2232,97727,1336,5632,1054,92095,1525,420384,1780,21445,2276,398939,2551,109075,974,6584,1287,102491,1463,649506,2279,97330,1621,3461,855,93869,1595,424316,1501,21418,2695,402898,3190,127860,1097,8164,1199,119696,1572,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2772411,2901,1345150,4441,260523,3340,21602,2656,238921,4040,862769,3611,56585,4383,806184,4864,221858,1991,21617,2069,200241,2763,1427261,3870,253730,2963,10529,1388,243201,3253,904497,3141,61150,4460,843347,5084,269034,1977,26455,2651,242579,2692,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,897876,1169,428808,1733,74794,791,4823,1383,69971,1601,274255,1542,14803,2165,259452,2483,79759,817,4882,1232,74877,1476,469068,954,73605,654,2844,918,70761,1164,298335,724,15075,2093,283260,2115,97128,703,7565,1287,89563,1430,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5198632,1833,2580376,3342,484216,2312,24691,2217,459525,3359,1702533,2858,70865,4277,1631668,4442,393627,1810,24529,1835,369098,2652,2618256,3286,460984,2228,10748,1533,450236,2414,1692547,2916,69594,3690,1622953,4416,464725,2044,28111,2272,436614,2883,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
