GEO_ID,C01001I_001E,C01001I_001M,C01001I_002E,C01001I_002M,C01001I_003E,C01001I_003M,C01001I_004E,C01001I_004M,C01001I_005E,C01001I_005M,C01001I_006E,C01001I_006M,C01001I_007E,C01001I_007M,C01001I_008E,C01001I_008M,C01001I_009E,C01001I_009M,NAME,C01001I_001EA,C01001I_001MA,C01001I_002EA,C01001I_002MA,C01001I_003EA,C01001I_003MA,C01001I_004EA,C01001I_004MA,C01001I_005EA,C01001I_005MA,C01001I_006EA,C01001I_006MA,C01001I_007EA,C01001I_007MA,C01001I_008EA,C01001I_008MA,C01001I_009MA,C01001I_009EA,state
0400000US08,1235127,-555555555,632094,3614,206317,3049,387441,1963,38336,994,603033,3612,191262,3082,364987,1681,46784,1193,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,472419,1664,242976,2873,88514,2338,144706,1802,9756,1075,229443,3186,86983,2666,132218,1747,10242,799,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,161506,2471,86177,2541,31106,2098,51825,2056,3246,821,75329,2476,28877,1751,42292,1582,4160,1033,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,239954,2568,127039,3385,38473,2409,79693,2668,8873,1374,112915,3057,36984,2368,65762,2085,10169,1225,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2208868,1158,1130521,2776,361323,2215,705307,1766,63891,994,1078347,2499,347410,2270,657332,1844,73605,1033,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,191473,901,96817,2250,38377,1814,55397,1495,3043,786,94656,2221,36664,1774,54708,1611,3284,920,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,52648,687,26945,931,7964,897,17689,746,1292,421,25703,1008,8301,941,15694,677,1708,444,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,230300,2006,118213,2323,44409,1851,69795,2055,4009,924,112087,2155,43934,1954,64616,1352,3537,708,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,91975,-555555555,47200,607,16676,399,28515,635,2009,407,44775,607,16164,400,26426,428,2185,411,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,308013,760,157712,2163,57505,1466,95394,1327,4813,694,150301,2055,58182,1595,86349,1462,5770,744,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
