GEO_ID,C27001C_001E,C27001C_001M,C27001C_002E,C27001C_002M,C27001C_003E,C27001C_003M,C27001C_004E,C27001C_004M,C27001C_005E,C27001C_005M,C27001C_006E,C27001C_006M,C27001C_007E,C27001C_007M,C27001C_008E,C27001C_008M,C27001C_009E,C27001C_009M,C27001C_010E,C27001C_010M,NAME,C27001C_001EA,C27001C_001MA,C27001C_002EA,C27001C_002MA,C27001C_003EA,C27001C_003MA,C27001C_004EA,C27001C_004MA,C27001C_005EA,C27001C_005MA,C27001C_006EA,C27001C_006MA,C27001C_007MA,C27001C_007EA,C27001C_008EA,C27001C_008MA,C27001C_009EA,C27001C_009MA,C27001C_010EA,C27001C_010MA,state
0400000US08,53014,4435,12594,2437,11420,2423,1174,646,34715,3268,30546,2961,4169,1069,5705,1094,5670,1080,35,62,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,13203,2072,3181,856,2882,747,299,372,8641,1548,6770,1345,1871,805,1381,527,1334,527,47,74,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,7823,1939,2072,1010,2014,1010,58,92,4834,1398,4312,1249,522,457,917,474,917,474,0,197,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,25246,3323,6596,1622,5853,1350,743,704,15130,2230,12528,1941,2602,1219,3520,925,3520,925,0,217,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,35131,4550,8605,2113,8239,2036,366,382,23327,3049,19356,2269,3971,1995,3199,720,3130,728,69,112,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,10632,1279,3123,607,2768,703,355,373,6300,969,5333,915,967,419,1209,448,1195,446,14,20,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,3541,1389,910,540,649,471,261,334,2168,968,1661,922,507,306,463,329,463,329,0,192,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,19953,2524,5420,1576,4888,1500,532,409,12474,1844,10455,1465,2019,896,2059,740,2005,736,54,96,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,4315,1384,339,339,339,339,0,200,2763,1376,2277,1086,486,476,1213,614,1213,614,0,200,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,59275,3623,20572,1899,17816,1979,2756,849,34369,2310,26463,2023,7906,1374,4334,632,4324,630,10,18,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,65815,2894,25501,1573,21113,1707,4388,1011,34480,2027,23685,2019,10795,1510,5834,834,5635,843,199,124,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,8522,1174,2777,810,2274,795,503,248,5036,690,3716,608,1320,417,709,378,709,378,0,170,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,117358,4418,30228,2392,27836,2189,2392,859,71549,3088,52567,3039,18982,2214,15581,977,15184,1018,397,374,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,33553,5744,11000,3453,9897,3239,1103,583,19523,2963,13656,2693,5867,1544,3030,1066,3030,1066,0,226,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,108884,3739,37744,2132,32053,2205,5691,1157,60608,2670,41680,2592,18928,1508,10532,722,10210,715,322,142,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,21456,2622,4731,1218,4681,1214,50,71,13904,1991,10900,1907,3004,1189,2821,907,2821,907,0,201,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
