GEO_ID,C01001D_001E,C01001D_001M,C01001D_002E,C01001D_002M,C01001D_003E,C01001D_003M,C01001D_004E,C01001D_004M,C01001D_005E,C01001D_005M,C01001D_006E,C01001D_006M,C01001D_007E,C01001D_007M,C01001D_008E,C01001D_008M,C01001D_009E,C01001D_009M,NAME,C01001D_001EA,C01001D_001MA,C01001D_002EA,C01001D_002MA,C01001D_003EA,C01001D_003MA,C01001D_004EA,C01001D_004MA,C01001D_005EA,C01001D_005MA,C01001D_006EA,C01001D_006MA,C01001D_007EA,C01001D_007MA,C01001D_008EA,C01001D_008MA,C01001D_009EA,C01001D_009MA,state
0400000US08,180277,5175,80387,3347,16923,2079,55910,2143,7554,450,99890,3123,19426,1889,69048,2108,11416,719,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,154220,5521,75733,3490,16407,1775,55144,2395,4182,811,78487,3602,16152,1905,54931,2411,7404,1173,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,65300,3463,29921,1963,7204,1189,20805,1322,1912,617,35379,2516,8182,1340,24168,2010,3029,741,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,76255,3102,37271,2197,7879,1363,26075,1638,3317,643,38984,1918,7002,1071,27465,1603,4517,833,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,717938,6617,344244,3961,69419,2356,235115,2825,39710,1007,373694,4724,69708,2762,253270,2970,50716,1313,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,79971,3082,38009,2184,8157,1072,28713,1834,1139,515,41962,2145,8815,1312,29310,1588,3837,888,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,36048,2303,15215,1353,2707,736,11730,1041,778,444,20833,1699,5217,1029,14195,1123,1421,362,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,47548,2631,21885,2175,4112,1025,16638,1951,1135,524,25663,1958,5745,1033,17817,1684,2101,798,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,39023,1595,18072,987,3830,397,12419,798,1823,200,20951,923,4493,671,13862,462,2596,317,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,273126,4461,133879,3039,37412,1708,89279,2284,7188,570,139247,2902,35218,1774,94056,1971,9973,936,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,8517,1308,3301,907,508,354,2284,699,509,406,5216,1089,1233,639,3209,808,774,394,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,15683,1312,6067,932,1266,481,4464,656,337,246,9616,1060,1824,501,6307,968,1485,639,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,306682,5178,146308,3855,35737,2414,99654,2392,10917,1017,160374,3425,35442,2129,110187,2504,14745,1155,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,436051,6106,211019,4115,50380,2474,143858,3498,16781,1269,225032,3414,45728,1861,156581,2784,22723,1188,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
