B24090_008E,B24090_008M,B24090_009E,B24090_009M,B24090_010E,B24090_010M,B24090_011E,B24090_011M,B24090_012E,B24090_012M,B24090_013E,B24090_013M,B24090_014E,B24090_014M,B24090_015E,B24090_015M,B24090_016E,B24090_016M,B24090_017E,B24090_017M,B24090_018E,B24090_018M,B24090_019E,B24090_019M,B24090_020E,B24090_020M,B24090_021E,B24090_021M,GEO_ID,B24090_001E,B24090_001M,B24090_002E,B24090_002M,B24090_003E,B24090_003M,B24090_004E,B24090_004M,B24090_005E,B24090_005M,B24090_006E,B24090_006M,B24090_007E,B24090_007M,B24090_008MA,B24090_008EA,B24090_009MA,B24090_009EA,B24090_010MA,B24090_010EA,B24090_011MA,B24090_011EA,B24090_012EA,B24090_012MA,B24090_013EA,B24090_013MA,B24090_014MA,B24090_014EA,B24090_015MA,B24090_015EA,B24090_016MA,B24090_016EA,B24090_017EA,B24090_017MA,B24090_018EA,B24090_018MA,B24090_019EA,B24090_019MA,B24090_020MA,B24090_020EA,B24090_021MA,B24090_021EA,NAME,B24090_001EA,B24090_001MA,B24090_002MA,B24090_002EA,B24090_003MA,B24090_003EA,B24090_004MA,B24090_004EA,B24090_005EA,B24090_005MA,B24090_006EA,B24090_006MA,B24090_007MA,B24090_007EA,state
40757,3233,43655,3743,57645,3939,2675,736,884988,11392,599989,10370,568308,10335,31681,2879,105532,4500,78193,4126,46602,3395,27097,2775,26094,2592,1481,676,0400000US08,2109163,18698,1224175,13914,948766,13708,874521,13249,74245,4684,60336,3882,70341,4377,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
34796,3001,24053,2264,54475,4350,1290,572,976738,11857,700855,12143,685253,12409,15602,1977,126109,5446,57207,4137,48226,3468,19816,2506,23015,2440,1510,773,0400000US18,2302647,18037,1325909,12517,1084573,11872,1034376,11860,50197,3459,66678,4061,60044,4065,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
38642,3216,20050,2496,38672,3417,1298,520,617592,9507,411911,9357,402809,9440,9102,1380,71812,4408,40022,3207,61717,3870,16296,1781,15450,1631,384,261,0400000US21,1410641,14617,793049,8727,624299,8861,594588,9055,29711,2463,34102,3182,35986,3134,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
29645,3100,20288,2337,46267,4119,673,343,661972,11054,450076,9292,435984,9322,14092,2234,56053,4178,60542,4572,58344,4758,18049,1858,18063,2373,845,588,0400000US22,1466692,17184,804720,11030,631082,11241,593998,11244,37084,3477,28536,2688,48229,3834,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
71252,4131,48745,4058,100669,4818,3497,749,1917555,16906,1352416,15075,1311579,14225,40837,3267,239199,6731,141456,5502,90662,5109,40146,3464,51430,3339,2246,766,0400000US17,4446948,23770,2529393,13883,2034133,15524,1899444,15627,134689,5329,131826,6015,139271,6037,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
26637,2153,13158,1817,41899,2714,1345,551,491164,8077,329704,7117,321019,7339,8685,1200,62040,3445,35926,3112,36857,2622,8881,1221,17430,1873,326,180,0400000US19,1144012,11209,652848,7534,511947,7525,476166,7504,35781,2347,28007,2194,29855,2293,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
6752,1200,10060,1611,17479,1881,231,205,214849,5037,139162,5017,134170,5013,4992,1153,37171,3427,17052,1926,8466,1336,5054,1044,7647,1486,297,226,0400000US33,506596,8260,291747,5905,223321,5373,210765,5257,12556,1361,20098,2617,13806,1880,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
27642,2874,13311,2097,39319,3556,1350,809,427660,9554,287233,8893,276195,8917,11038,1752,44130,3851,27389,3041,45498,3705,9436,1583,13342,2100,632,397,0400000US05,974039,15169,546379,10283,414678,9772,389182,9433,25496,2517,25068,2594,25011,2676,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
14265,2208,6365,1254,7798,1441,136,128,150303,5091,101659,4657,97768,4425,3891,1167,16104,1775,4380,1113,21697,2219,2808,679,3567,800,88,106,0400000US10,324415,6956,174112,4885,130609,4661,119154,4650,11455,2021,9621,1585,5318,1352,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
36849,2471,18383,1842,61047,3134,1858,509,885155,8961,587926,8908,567761,9307,20165,1856,140750,4323,68471,3348,45445,2753,13805,1631,27793,1912,965,296,0400000US27,2057638,12119,1172483,8648,915241,9389,853349,9858,61892,3299,77919,3612,61186,3310,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
