GEO_ID,C17014_001E,C17014_001M,C17014_002E,C17014_002M,C17014_003E,C17014_003M,C17014_004E,C17014_004M,C17014_005E,C17014_005M,C17014_006E,C17014_006M,C17014_007E,C17014_007M,C17014_008E,C17014_008M,C17014_009E,C17014_009M,C17014_010E,C17014_010M,C17014_011E,C17014_011M,NAME,C17014_001EA,C17014_001MA,C17014_002EA,C17014_002MA,C17014_003EA,C17014_003MA,C17014_004EA,C17014_004MA,C17014_005EA,C17014_005MA,C17014_006EA,C17014_006MA,C17014_007MA,C17014_007EA,C17014_008MA,C17014_008EA,C17014_009EA,C17014_009MA,C17014_010EA,C17014_010MA,C17014_011EA,C17014_011MA,state
0400000US08,1372705,11369,85547,4645,26506,2664,47477,3467,10205,1573,1359,523,1287158,12066,136357,5106,364785,9066,628621,9133,157395,5818,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1683176,12254,156585,6413,51272,4073,83011,4481,20096,2486,2206,730,1526591,12372,194245,5464,457033,10098,701597,10812,173716,6501,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1138927,12100,143499,6052,60029,4046,68728,4557,12711,1808,2031,767,995428,11461,156406,4561,308548,8623,433721,7589,96753,4595,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1104847,12302,150690,6789,63603,3849,72365,5556,13140,2086,1582,620,954157,12371,137081,5431,323135,8199,408571,8386,85370,4828,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3119101,17843,264678,8286,89473,5440,141538,6693,29996,2856,3671,784,2854423,16905,328018,6311,831588,13521,1296604,14030,398213,9048,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,800329,8263,57311,3654,16928,1829,31370,2948,7783,1160,1230,518,743018,8166,91697,3349,199988,5729,369649,7476,81684,4038,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,341752,6363,16178,1948,7410,1385,6910,1394,1572,657,286,228,325574,5975,38290,2030,89397,4307,148470,5198,49417,3160,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,769134,11117,97453,5721,35946,3126,50340,3715,10597,2121,570,254,671681,9873,106899,4524,218974,6570,288246,7378,57562,4060,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,238399,6155,20026,2424,5192,1137,12230,2105,2458,1008,146,148,218373,5852,35330,2314,66549,4355,88768,4145,27726,2737,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1396827,9648,79752,4368,22794,2299,42418,3196,12327,1648,2213,615,1317075,9514,156110,3696,326512,6845,663155,9141,171298,4870,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,265643,5250,20411,2093,7173,1377,10229,1439,2805,727,204,113,245232,5528,36280,2200,69657,4426,115948,4116,23347,2198,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,342542,6065,25166,2433,9698,1666,11569,1509,3743,1139,156,134,317376,5824,48615,2475,84618,3501,149635,4990,34508,2645,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2622295,20703,266430,10873,92406,5444,136314,7543,34072,3396,3638,964,2355865,20602,329659,7801,736793,13464,1054068,14723,235345,9661,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,2537406,21205,275202,8546,93817,4935,144168,7174,32704,3258,4513,1268,2262204,21079,268600,7665,717458,16393,1011045,15618,265101,9459,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,167527,4191,12621,1743,4347,933,5985,1264,1796,507,493,258,154906,4331,14242,1492,45035,3170,76710,3438,18919,1959,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
