B17014_002M,B17014_003E,B17014_003M,B17014_004E,B17014_004M,B17014_005E,B17014_005M,B17014_006E,B17014_006M,B17014_007E,B17014_007M,B17014_008E,B17014_008M,B17014_009E,B17014_009M,B17014_010E,B17014_010M,B17014_011E,B17014_011M,B17014_012E,B17014_012M,B17014_013E,B17014_013M,B17014_014E,B17014_014M,B17014_015E,B17014_015M,B17014_016E,B17014_016M,B17014_017E,B17014_017M,B17014_018E,B17014_018M,B17014_019E,B17014_019M,B17014_020E,B17014_020M,B17014_021E,B17014_021M,B17014_022E,B17014_022M,B17014_023E,B17014_023M,B17014_024E,B17014_024M,B17014_025E,B17014_025M,B17014_026E,B17014_026M,B17014_027E,B17014_027M,B17014_028E,B17014_028M,B17014_029E,B17014_029M,B17014_030E,B17014_030M,B17014_031E,B17014_031M,B17014_032E,B17014_032M,B17014_033E,B17014_033M,B17014_034E,B17014_034M,B17014_035E,B17014_035M,GEO_ID,B17014_001E,B17014_001M,B17014_002E,B17014_002MA,B17014_003EA,B17014_003MA,B17014_004MA,B17014_004EA,B17014_005MA,B17014_005EA,B17014_006MA,B17014_006EA,B17014_007MA,B17014_007EA,B17014_008EA,B17014_008MA,B17014_009MA,B17014_009EA,B17014_010MA,B17014_010EA,B17014_011MA,B17014_011EA,B17014_012MA,B17014_012EA,B17014_013MA,B17014_013EA,B17014_014EA,B17014_014MA,B17014_015EA,B17014_015MA,B17014_016EA,B17014_016MA,B17014_017MA,B17014_017EA,B17014_018MA,B17014_018EA,B17014_019EA,B17014_019MA,B17014_020MA,B17014_020EA,B17014_021MA,B17014_021EA,B17014_022MA,B17014_022EA,B17014_023MA,B17014_023EA,B17014_024EA,B17014_024MA,B17014_025EA,B17014_025MA,B17014_026EA,B17014_026MA,B17014_027MA,B17014_027EA,B17014_028MA,B17014_028EA,B17014_029MA,B17014_029EA,B17014_030EA,B17014_030MA,B17014_031MA,B17014_031EA,B17014_032MA,B17014_032EA,B17014_033MA,B17014_033EA,B17014_034EA,B17014_034MA,B17014_035EA,B17014_035MA,NAME,B17014_001MA,B17014_001EA,B17014_002EA,state
4645,33505,2957,11482,1528,15126,2101,6031,1262,866,425,52042,3833,9781,1619,3175,977,5494,1234,985,526,127,160,42261,3590,11849,2036,26857,2633,3189,977,366,294,1287158,12066,1034680,11425,124294,4551,231679,7926,547033,8577,131674,4805,252478,7778,88954,4188,4302,1008,46818,3495,29112,2713,8722,1714,163524,6574,7761,1178,86288,5150,52476,3483,16999,2169,0400000US08,1372705,11369,85547,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,08
6413,54921,4024,19457,2144,22518,2859,11406,1900,1540,537,101664,5687,17619,2467,5424,1396,10732,1929,1254,552,209,221,84045,5207,26391,3133,49761,3205,7436,1626,457,362,1526591,12372,1193356,14682,168796,5295,267462,8201,604921,10238,152177,6548,333235,9913,112408,5718,7573,1667,68054,3702,29392,3244,7389,1530,220827,7451,17876,2218,121517,6976,67284,4541,14150,2008,0400000US18,1683176,12254,156585,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,18
6052,55171,3642,24147,2701,22119,2434,8214,1443,691,449,88328,5350,13980,1967,5572,1432,6825,1528,1298,767,285,305,74348,4793,30310,3050,39784,3219,3199,869,1055,575,995428,11461,782808,10652,130877,4209,191429,6896,375555,7540,84947,4274,212620,7320,69704,4330,6948,1094,39665,3302,19770,2585,3321,853,142916,6010,18581,2025,77454,4905,38396,3169,8485,1404,0400000US21,1138927,12100,143499,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,21
6789,40845,3593,17134,2177,16150,2456,6767,1525,794,399,109845,5963,18642,2556,9188,1799,8785,1763,669,418,0,217,91203,5519,37281,3009,47430,4464,5704,1331,788,445,954157,12371,707759,11650,110977,4753,185632,6856,339770,8505,71380,4271,246398,8481,69647,4560,6896,1446,39617,3471,18838,2598,4296,1406,176751,6439,19208,2341,97886,5473,49963,3700,9694,1571,0400000US22,1104847,12302,150690,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,22
8286,87199,4895,28899,2930,39263,2973,17031,2259,2006,512,177479,7404,27547,2604,10713,1805,15418,1989,1238,566,178,216,149932,7200,49861,4031,86857,5680,11727,1675,1487,592,2854423,16905,2205892,15963,283905,5700,493786,9957,1098389,12746,329812,8733,648531,10751,199653,6299,10978,1751,105502,4894,61540,4376,21633,2718,448878,8558,33135,2542,232300,7996,136675,5650,46768,3660,0400000US17,3119101,17843,264678,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,17
3654,19142,2117,7035,1230,6809,1318,4329,993,969,447,38169,3292,5738,1309,1603,568,3559,1067,576,334,0,163,32431,2670,8290,1359,21002,2161,2878,831,261,245,743018,8166,603000,8814,84636,3116,118372,4419,327470,7239,72522,3602,140018,5254,51405,3386,2079,504,31775,2788,14784,2158,2767,869,88613,4043,4982,899,49841,3046,27395,2347,6395,1237,0400000US19,800329,8263,57311,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,19
1948,5014,998,2411,724,1296,525,1068,476,239,212,11164,1824,1628,708,606,321,1022,577,0,192,0,192,9536,1739,4393,1176,4592,1212,504,531,47,78,325574,5975,269295,5998,35247,2082,58715,3649,131545,5326,43788,2750,56279,3710,20561,2285,1126,603,10999,1784,6714,1460,1722,727,35718,2833,1917,593,19683,2388,10211,1431,3907,1079,0400000US33,341752,6363,16178,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,33
5721,33387,3343,12431,1756,13559,2107,7044,1535,353,219,64066,4417,10347,1934,4023,1113,4984,1730,1340,714,0,201,53719,4100,19492,2472,31797,3110,2213,845,217,225,671681,9873,520074,8925,89716,4014,133664,5050,246794,6886,49900,3584,151607,6598,47299,3860,4391,1026,28937,2998,12033,2105,1938,807,104308,4843,12792,1764,56373,3872,29419,2774,5724,1035,0400000US05,769134,11117,97453,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,05
2424,7164,1520,2149,607,3577,1008,1382,817,56,89,12862,1831,2133,702,443,354,1503,575,151,183,36,65,10729,1770,2600,844,7150,1641,925,512,54,95,218373,5852,166670,4828,31665,2135,38801,3153,72757,4050,23447,2377,51703,3861,16090,2287,767,451,9872,1631,4197,922,1254,598,35613,3033,2898,1018,17876,2193,11814,1798,3025,840,0400000US10,238399,6155,20026,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,10
4368,29644,2266,9199,1154,12374,1609,6721,1255,1350,505,50108,3748,8104,1274,1962,560,4433,987,1702,740,7,12,42004,3165,11633,1784,25611,2551,3904,1014,856,450,1317075,9514,1073467,10241,146578,3542,193146,5663,582350,8682,151393,4224,243608,5880,88196,4329,3326,749,48194,3133,30079,2636,6597,1038,155412,5083,6206,880,85172,4038,50726,3253,13308,1850,0400000US27,1396827,9648,79752,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,27
