GEO_ID,B13012_001E,B13012_001M,B13012_002E,B13012_002M,B13012_003E,B13012_003M,B13012_004E,B13012_004M,B13012_005E,B13012_005M,B13012_006E,B13012_006M,B13012_007E,B13012_007M,B13012_008E,B13012_008M,B13012_009E,B13012_009M,B13012_010E,B13012_010M,B13012_011E,B13012_011M,B13012_012E,B13012_012M,B13012_013E,B13012_013M,B13012_014E,B13012_014M,B13012_015E,B13012_015M,NAME,B13012_001EA,B13012_001MA,B13012_002MA,B13012_002EA,B13012_003MA,B13012_003EA,B13012_004MA,B13012_004EA,B13012_005EA,B13012_005MA,B13012_006EA,B13012_006MA,B13012_007EA,B13012_007MA,B13012_008EA,B13012_008MA,B13012_009EA,B13012_009MA,B13012_010MA,B13012_010EA,B13012_011MA,B13012_011EA,B13012_012MA,B13012_012EA,B13012_013MA,B13012_013EA,B13012_014MA,B13012_014EA,B13012_015MA,B13012_015EA,state
0400000US08,1338087,4656,70964,4776,53050,4449,31436,3255,21614,3054,17914,2860,13411,2506,4503,1121,1267123,6180,594420,8819,451521,7827,142899,5829,672703,8283,529278,8305,143425,7367,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1507161,6177,89575,5438,54009,4164,35294,3196,18715,2245,35566,3818,25984,3251,9582,1552,1417586,8325,632546,10486,483986,8883,148560,6396,785040,12617,578117,10464,206923,7421,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,994441,5226,56947,3842,37122,2979,23792,2250,13330,1961,19825,2493,12755,2202,7070,1638,937494,6110,444714,7568,333390,6831,111324,5260,492780,7926,341092,7716,151688,6291,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1069543,5886,62127,4354,34695,3371,22777,2301,11918,2427,27432,3168,15396,2569,12036,2100,1007416,7233,388626,8282,289117,8430,99509,5085,618790,9866,423158,10103,195632,7953,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2929080,6144,158354,6498,105374,5443,72862,4309,32512,2562,52980,3631,37151,2993,15829,2198,2770726,8292,1171704,11434,914690,11199,257014,6944,1599022,11807,1193338,11839,405684,9248,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,691369,3840,40898,2952,28971,2315,22474,2142,6497,1204,11927,1682,8880,1445,3047,833,650471,4200,299358,6272,248250,6154,51108,3313,351113,6428,271229,5853,79884,3728,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,291574,2181,13925,2032,8950,1360,6217,1149,2733,777,4975,1327,3496,1055,1479,758,277649,2836,122598,4113,100168,3965,22430,2260,155051,4214,120369,4206,34682,2725,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,673910,4219,39677,2789,22471,2192,14914,1769,7557,1384,17206,2202,11344,2119,5862,1381,634233,4631,290367,7305,214734,6526,75633,3965,343866,6790,224590,6501,119276,5851,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,211733,1939,10138,1945,6499,1520,3847,1064,2652,1009,3639,1124,2967,1144,672,336,201595,2608,79392,3625,63183,3650,16209,2040,122203,4379,91054,4620,31149,3031,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1240245,3643,76157,3919,55845,3400,41526,2857,14319,1931,20312,2209,14799,1766,5513,1197,1164088,4943,534251,7739,455367,7584,78884,3922,629837,8358,514557,8603,115280,4383,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
