GEO_ID,B10051_001E,B10051_001M,B10051_002E,B10051_002M,B10051_003E,B10051_003M,B10051_004E,B10051_004M,B10051_005E,B10051_005M,B10051_006E,B10051_006M,B10051_007E,B10051_007M,B10051_008E,B10051_008M,B10051_009E,B10051_009M,B10051_010E,B10051_010M,B10051_011E,B10051_011M,NAME,B10051_001MA,B10051_001EA,B10051_002MA,B10051_002EA,B10051_003MA,B10051_003EA,B10051_004MA,B10051_004EA,B10051_005MA,B10051_005EA,B10051_006MA,B10051_006EA,B10051_007MA,B10051_007EA,B10051_008MA,B10051_008EA,B10051_009MA,B10051_009EA,B10051_010EA,B10051_010MA,B10051_011EA,B10051_011MA,state
0400000US08,98651,6801,32052,3862,11547,2398,5906,1493,5641,1503,20505,3082,12600,2591,7905,1565,66599,5685,27632,3530,38967,4161,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,126806,5938,60234,4143,29525,3365,15585,2534,13940,1992,30709,2841,20774,2616,9935,1701,66572,5351,31178,4374,35394,3512,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,106502,5988,57802,4299,32759,3493,16510,2167,16249,2423,25043,2874,15365,2411,9678,1596,48700,4257,23533,3407,25167,2462,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,106403,8195,50671,4740,23477,3633,9612,2167,13865,2619,27194,3021,17289,2654,9905,1857,55732,5582,24293,3706,31439,3822,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,244607,11055,77112,5709,23821,3036,12247,2039,11574,1966,53291,4781,32057,4014,21234,2926,167495,8263,70884,5083,96611,5925,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,38781,3299,13670,1883,6692,1355,3700,924,2992,853,6978,1537,4527,1351,2451,900,25111,2701,12272,2034,12839,1774,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,21308,2626,6823,1731,1881,809,1148,552,733,435,4942,1400,2894,1160,2048,695,14485,2147,5144,1280,9341,1774,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,68089,5521,34244,3801,15023,2219,6730,1499,8293,1427,19221,3136,12648,2560,6573,1770,33845,3742,18178,2995,15667,2701,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,20234,2794,8918,1978,3373,1262,1101,615,2272,969,5545,1473,3251,1123,2294,941,11316,2001,4060,1138,7256,1587,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,68023,4546,24186,2829,10515,1751,5029,1185,5486,1268,13671,1957,8103,1412,5568,1174,43837,3445,17253,2687,26584,2393,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,17323,2005,9587,1718,5181,1417,1940,863,3241,947,4406,1150,2202,869,2204,847,7736,1443,2905,855,4831,1167,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,19233,2422,5668,1425,3458,1037,1425,568,2033,816,2210,843,1354,660,856,382,13565,2013,5794,1487,7771,1460,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,223877,9592,91669,6014,41428,4413,20821,2867,20607,2729,50241,4722,32394,3852,17847,2448,132208,7357,57711,4870,74497,5036,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
