GEO_ID,C17025_001E,C17025_001M,C17025_002E,C17025_002M,C17025_003E,C17025_003M,C17025_004E,C17025_004M,C17025_005E,C17025_005M,C17025_006E,C17025_006M,C17025_007E,C17025_007M,C17025_008E,C17025_008M,C17025_009E,C17025_009M,C17025_010E,C17025_010M,C17025_011E,C17025_011M,NAME,C17025_001EA,C17025_001MA,C17025_002MA,C17025_002EA,C17025_003MA,C17025_003EA,C17025_004MA,C17025_004EA,C17025_005MA,C17025_005EA,C17025_006MA,C17025_006EA,C17025_007EA,C17025_007MA,C17025_008EA,C17025_008MA,C17025_009EA,C17025_009MA,C17025_010MA,C17025_010EA,C17025_011MA,C17025_011EA,state
0400000US08,5577020,2234,537492,18885,470206,17152,67286,5845,21327,3021,45959,5165,5039528,18975,4564853,20749,474675,14527,223128,10533,251547,11322,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6489261,4578,852638,24677,789247,23461,63391,6978,16938,2582,46453,6708,5636623,25565,5354186,26027,282437,11885,125996,6654,156441,9658,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4326305,3844,730408,22182,699862,21419,30546,4981,5587,1667,24959,4786,3595897,21367,3461699,21231,134198,5282,61599,4781,72599,4120,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4529028,2896,843626,23603,805452,22721,38174,5195,10400,3110,27774,4073,3685402,23781,3534520,25293,150882,8166,66381,4736,84501,6373,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,12447271,3849,1509247,32779,1294417,28441,214830,11599,82481,6951,132349,9021,10938024,33365,9381159,34306,1556865,19125,837331,14759,719534,18991,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,3055939,1516,343504,13910,311830,12710,31674,4558,6568,1644,25106,4444,2712435,13890,2571838,14594,140597,6198,60925,4595,79672,5437,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1312006,1622,100220,6538,91802,6306,8418,1964,3265,1062,5153,1503,1211786,6376,1140892,6577,70894,4627,46108,3612,24786,3106,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2925448,2347,504504,19795,481666,19033,22838,3289,5481,1568,17357,3199,2420944,19685,2302466,20291,118478,5645,44399,4286,74079,6230,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,940786,1409,117242,9236,104452,8764,12790,3080,3306,1041,9484,2906,823544,9454,745930,9221,77614,5011,38863,3995,38751,4036,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5488344,2504,529077,16528,446011,14151,83066,7285,38119,4906,44947,5453,4959267,16706,4566584,17733,392683,12622,213828,9766,178855,9856,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
