GEO_ID,B14006_001E,B14006_001M,B14006_002E,B14006_002M,B14006_003E,B14006_003M,B14006_004E,B14006_004M,B14006_005E,B14006_005M,B14006_006E,B14006_006M,B14006_007E,B14006_007M,B14006_008E,B14006_008M,B14006_009E,B14006_009M,B14006_010E,B14006_010M,B14006_011E,B14006_011M,B14006_012E,B14006_012M,B14006_013E,B14006_013M,B14006_014E,B14006_014M,B14006_015E,B14006_015M,B14006_016E,B14006_016M,B14006_017E,B14006_017M,B14006_018E,B14006_018M,B14006_019E,B14006_019M,B14006_020E,B14006_020M,B14006_021E,B14006_021M,NAME,B14006_001MA,B14006_001EA,B14006_002MA,B14006_002EA,B14006_003MA,B14006_003EA,B14006_004EA,B14006_004MA,B14006_005MA,B14006_005EA,B14006_006MA,B14006_006EA,B14006_007MA,B14006_007EA,B14006_008MA,B14006_008EA,B14006_009MA,B14006_009EA,B14006_010MA,B14006_010EA,B14006_011MA,B14006_011EA,B14006_012MA,B14006_012EA,B14006_013MA,B14006_013EA,B14006_014MA,B14006_014EA,B14006_015MA,B14006_015EA,B14006_016MA,B14006_016EA,B14006_017MA,B14006_017EA,B14006_018MA,B14006_018EA,B14006_019MA,B14006_019EA,B14006_020MA,B14006_020EA,B14006_021MA,B14006_021EA,state
0400000US08,5386005,5926,514900,17637,188022,9964,8307,1575,9080,2271,38902,4047,29781,3985,33505,3867,57137,4880,11310,2430,326878,11094,4871105,18327,1160121,14725,85185,4013,58022,3608,237926,7931,256706,5669,257510,5350,194122,8649,70650,4367,3710984,15548,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6246084,5875,802001,23001,293424,12671,14834,2107,12926,1693,60923,4694,61197,4744,56704,4635,72826,5497,14014,2477,508577,14692,5444083,24189,1259482,15801,81105,4339,69894,4778,272228,6085,288799,7717,298940,7041,191625,7226,56891,4526,4184601,16908,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4164163,5495,688964,20601,216246,9347,13535,2064,13225,2208,53923,4805,47767,4404,39265,3294,41987,3837,6544,1547,472718,14378,3475199,20272,768611,12521,49468,3187,37201,2883,162567,5483,176323,6391,178874,5239,122544,6119,41634,3670,2706588,17011,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4351936,5849,791898,22305,276093,13163,19002,2812,14984,2738,61948,5478,64570,5460,54783,4819,50658,4722,10148,2223,515805,15986,3560038,22054,835338,16151,58795,3737,40463,4440,177620,7843,185424,6920,189662,6689,144566,7901,38808,3532,2724700,18604,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,12004128,7391,1430516,29703,513835,15327,31437,3280,23504,3062,98218,6793,101383,6920,97700,6064,125219,7296,36374,4208,916681,19371,10573612,31659,2533910,21867,182881,6571,123195,6230,500058,10534,547104,11305,583369,8618,440821,10314,156482,7788,8039702,22079,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2941451,3597,326642,13152,123416,7458,6475,1238,6508,1280,18950,2237,21701,3068,21337,2495,42812,4135,5633,1259,203226,8946,2614809,13487,609031,10015,45391,2961,33939,2543,132104,4995,146990,4674,140416,3852,80970,5498,29221,2692,2005778,10664,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1276157,2321,96019,6029,31275,3465,1960,764,1440,580,6281,1725,5869,1235,5400,1192,7402,1688,2923,1089,64744,4085,1180138,5721,244076,5255,16736,1990,10766,1853,47867,3146,54589,2993,60323,2559,40487,2809,13308,1653,936062,5332,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2814728,4233,471178,18233,161925,9786,10865,1797,10343,1877,36944,3591,36083,3389,30869,4077,30932,3644,5889,1821,309253,12455,2343550,18806,522745,10737,35861,3221,26109,2587,114703,4846,120215,6196,122355,4602,80816,5630,22686,2871,1820805,13319,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,911921,2476,111545,8719,37216,4344,2299,1152,2862,1186,7120,1366,8925,1856,8692,1664,6167,1389,1151,614,74329,6122,800376,9266,173028,5431,10957,1735,6603,1367,36626,2696,40904,3101,36518,2326,32928,3027,8492,1481,627348,6588,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5276804,4718,503257,15968,184755,10055,8343,1538,8989,1387,34998,3531,30620,3187,32141,3224,58279,4556,11385,1841,318502,9117,4773547,16461,1152549,12391,91025,3734,57928,2827,246008,5592,256279,5708,256813,4291,181471,6312,63025,3975,3620998,13778,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
