GEO_ID,C15010H_001E,C15010H_001M,C15010H_002E,C15010H_002M,C15010H_003E,C15010H_003M,C15010H_004E,C15010H_004M,C15010H_005E,C15010H_005M,C15010H_006E,C15010H_006M,NAME,C15010H_001EA,C15010H_001MA,C15010H_002EA,C15010H_002MA,C15010H_003EA,C15010H_003MA,C15010H_004MA,C15010H_004EA,C15010H_005EA,C15010H_005MA,C15010H_006EA,C15010H_006MA,state
0400000US08,1359475,13470,517803,9865,112522,4448,265982,7346,131439,5523,331729,7453,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1028613,17209,283536,8597,131289,5325,211526,7052,174001,5683,228261,7730,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,667915,12072,189906,7505,76969,3908,129542,5956,118220,5851,153278,5735,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,554210,11461,152421,5443,70937,4779,110106,5846,88008,5057,132738,6706,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2235134,18339,702378,13534,199298,6812,480618,10714,312644,9331,540196,10504,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,556530,9867,161103,6019,55125,2783,117144,4938,107913,4830,115245,4577,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,329677,6850,121427,4727,28802,2774,63900,3385,38791,2878,76757,4114,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,392909,9520,114338,5655,47469,3668,78287,3801,73531,4430,79284,5241,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,156087,5776,52893,3853,14764,2189,31968,2758,25041,2770,31421,2284,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1223220,10869,395903,8378,120369,4347,247873,7210,174196,4593,284879,6551,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,214902,5766,73336,3392,24972,2391,33113,2646,36839,2373,46642,3517,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,294318,6972,97935,4426,31153,2696,41963,3687,42604,2750,80663,4074,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,1702083,17288,557776,11627,156320,6052,340961,10353,228182,7612,418844,9397,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,1410312,14799,429030,10270,131846,6750,333048,9282,197091,7565,319297,8563,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,116327,5200,47204,3800,10970,1462,16699,1929,15926,1878,25528,2253,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,647753,12799,186434,6518,72303,4735,152779,6092,108455,5257,127782,5805,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
