GEO_ID,B25055_001E,B25055_001M,B25055_002E,B25055_002M,B25055_003E,B25055_003M,B25055_004E,B25055_004M,B25055_005E,B25055_005M,B25055_006E,B25055_006M,B25055_007E,B25055_007M,B25055_008E,B25055_008M,B25055_009E,B25055_009M,B25055_010E,B25055_010M,B25055_011E,B25055_011M,B25055_012E,B25055_012M,B25055_013E,B25055_013M,NAME,B25055_001MA,B25055_001EA,B25055_002MA,B25055_002EA,B25055_003MA,B25055_003EA,B25055_004MA,B25055_004EA,B25055_005MA,B25055_005EA,B25055_006MA,B25055_006EA,B25055_007MA,B25055_007EA,B25055_008MA,B25055_008EA,B25055_009MA,B25055_009EA,B25055_010MA,B25055_010EA,B25055_011MA,B25055_011EA,B25055_012MA,B25055_012EA,B25055_013MA,B25055_013EA,state
0400000US72,234840,6354,165087,6311,946,578,164141,6219,30491,2972,304,322,30187,2989,24062,2417,139,145,23923,2435,15200,1585,235,183,14965,1585,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,1028053,13699,763266,11442,2565,1117,760701,11253,128799,6396,718,458,128081,6480,77318,4226,2451,774,74867,4125,58670,3199,17311,2013,41359,2909,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,113486,4810,87108,4011,154,132,86954,4021,10046,1558,19,31,10027,1557,6617,1084,307,369,6310,1025,9715,1463,2742,840,6973,1158,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,538418,12001,390305,10246,1712,752,388593,10216,78510,4934,642,455,77868,4994,42032,2844,578,442,41454,2840,27571,2906,9137,2112,18434,1903,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,592023,9590,425077,8051,2210,882,422867,8099,71929,4182,1073,643,70856,4304,50141,3259,2928,897,47213,3317,44876,3203,17414,2029,27462,2737,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,62536,4121,45124,3451,120,128,45004,3441,8371,1621,101,172,8270,1636,5713,1048,78,99,5635,1036,3328,698,675,456,2653,653,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,5731188,35763,4150981,30372,21194,2979,4129787,29856,765651,14241,6606,1512,759045,14051,468570,9490,8843,1670,459727,9436,345986,8427,63435,4132,282551,7678,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,313104,8667,236952,7849,1283,628,235669,7920,41834,3261,269,231,41565,3287,22867,2643,443,369,22424,2650,11451,1603,2387,746,9064,1671,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,453547,9092,303563,8081,874,539,302689,8065,66874,3774,293,285,66581,3799,42428,3011,634,447,41794,3038,40682,2528,9335,1528,31347,2230,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,3553379,25095,2766300,22298,12118,2112,2754182,22482,409120,11702,3578,1443,405542,11497,218652,8851,6095,1479,212557,8559,159307,6866,39606,3238,119701,5847,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
