GEO_ID,B19101A_001E,B19101A_001M,B19101A_002E,B19101A_002M,B19101A_003E,B19101A_003M,B19101A_004E,B19101A_004M,B19101A_005E,B19101A_005M,B19101A_006E,B19101A_006M,B19101A_007E,B19101A_007M,B19101A_008E,B19101A_008M,B19101A_009E,B19101A_009M,B19101A_010E,B19101A_010M,B19101A_011E,B19101A_011M,B19101A_012E,B19101A_012M,B19101A_013E,B19101A_013M,B19101A_014E,B19101A_014M,B19101A_015E,B19101A_015M,B19101A_016E,B19101A_016M,B19101A_017E,B19101A_017M,NAME,B19101A_001EA,B19101A_001MA,B19101A_002EA,B19101A_002MA,B19101A_003MA,B19101A_003EA,B19101A_004MA,B19101A_004EA,B19101A_005MA,B19101A_005EA,B19101A_006EA,B19101A_006MA,B19101A_007MA,B19101A_007EA,B19101A_008MA,B19101A_008EA,B19101A_009MA,B19101A_009EA,B19101A_010MA,B19101A_010EA,B19101A_011EA,B19101A_011MA,B19101A_012EA,B19101A_012MA,B19101A_013MA,B19101A_013EA,B19101A_014MA,B19101A_014EA,B19101A_015MA,B19101A_015EA,B19101A_016EA,B19101A_016MA,B19101A_017EA,B19101A_017MA,state
0400000US08,1193536,11931,26943,3000,16615,2238,20636,2588,25338,2490,28252,2943,35114,3132,37828,3259,39435,3310,40609,3642,76942,3771,118515,4611,183104,6155,152281,4608,106859,4967,134729,5127,150336,5575,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1454676,11619,42773,3711,29420,2676,33901,3241,44958,3684,48363,3133,56578,3314,55624,3447,66150,3788,60282,3463,128743,5653,178440,6878,251190,8045,171617,6400,104466,4880,99301,4116,82870,4462,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1020510,10522,51490,3472,30513,3210,36539,3107,40980,3413,45518,3402,48526,3470,45115,3590,46780,3217,41310,3576,81766,4608,115808,5470,148830,6503,105602,4243,67279,3918,58983,3693,55471,3480,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,741234,8827,26555,2746,17420,2350,21981,2358,28903,3452,29330,2887,29353,2891,29706,2685,27612,2907,27708,3152,53006,3810,75914,4336,107554,5396,88929,5312,55339,3450,62440,3901,59484,3629,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2356391,14647,53912,3277,39834,3454,47325,3033,62785,3947,65609,4125,80065,4268,76600,4903,83191,3960,72502,3849,161397,5388,238728,6808,342943,8214,288713,8446,202018,6402,247474,7203,293295,6063,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,746218,7759,17474,1799,13324,1780,16052,1957,21229,1885,22053,2046,28289,2673,26896,2454,29633,2128,29273,2008,60223,3279,91376,4025,134814,4808,90943,3736,61046,3366,53114,3305,50479,3048,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,323168,5907,6844,1362,2996,927,4776,1068,6197,1474,8743,1645,9412,1405,7287,1156,12518,1903,9229,1390,21116,2364,31551,2279,50706,3242,43437,3430,32631,2397,36746,2394,38979,2973,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,617232,9777,20956,2796,16529,2082,21772,2658,30974,2770,27396,2649,30157,2572,28607,2634,28735,2372,31221,3007,53832,3513,71008,3745,85864,4584,65121,3443,35780,2422,35662,3433,33618,3009,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,173776,4375,3126,1089,2624,678,2892,782,4212,1100,5397,1361,5847,1033,6687,1320,5242,998,5879,1443,13111,1697,20032,2175,29078,2492,22228,2109,14871,1838,16337,1750,16213,1868,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1214434,8409,19343,1831,13511,1395,17097,1628,24939,2344,29084,2167,32323,2604,37338,2402,40333,2335,38163,2064,81679,3382,125169,3836,200522,4906,165535,4296,123165,4409,128518,4172,137715,4351,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
