GEO_ID,C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,NAME,C23002A_001MA,C23002A_001EA,C23002A_002EA,C23002A_002MA,C23002A_003EA,C23002A_003MA,C23002A_004EA,C23002A_004MA,C23002A_005EA,C23002A_005MA,C23002A_006MA,C23002A_006EA,C23002A_007EA,C23002A_007MA,C23002A_008EA,C23002A_008MA,C23002A_009EA,C23002A_009MA,C23002A_010MA,C23002A_010EA,C23002A_011MA,C23002A_011EA,C23002A_012EA,C23002A_012MA,C23002A_013EA,C23002A_013MA,C23002A_014EA,C23002A_014MA,C23002A_015EA,C23002A_015MA,C23002A_016EA,C23002A_016MA,C23002A_017MA,C23002A_017EA,C23002A_018MA,C23002A_018EA,C23002A_019MA,C23002A_019EA,C23002A_020EA,C23002A_020MA,C23002A_021EA,C23002A_021MA,C23002A_022MA,C23002A_022EA,C23002A_023MA,C23002A_023EA,C23002A_024MA,C23002A_024EA,C23002A_025EA,C23002A_025MA,C23002A_026EA,C23002A_026MA,C23002A_027EA,C23002A_027MA,state
0400000US08,3893299,12332,1953931,7269,1614496,6769,1353062,10432,22076,1881,1330986,10532,1275777,10836,55209,4514,261434,8216,339435,1587,88282,3722,86308,3676,1974,652,251153,4348,1939368,7482,1541139,7301,1154670,11927,3300,949,1151370,11857,1111624,11677,39746,3335,386469,10536,398229,2126,71033,3612,68185,3367,2848,1440,327196,4194,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,4473599,8483,2185138,5788,1760477,5794,1421650,9039,2776,907,1418874,9035,1365800,9856,53074,3880,338827,8695,424661,1304,93363,3731,90000,3510,3363,896,331298,3930,2288461,4646,1753973,4580,1261612,9230,618,342,1260994,9251,1214255,9125,46739,3684,492361,8848,534488,1027,79730,3704,77374,3769,2356,1111,454758,3553,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3143387,4276,1527373,3207,1225764,2903,912368,7112,8497,1113,903871,7197,858175,7420,45696,3969,313396,6648,301609,780,59744,2625,57866,2676,1878,593,241865,2654,1616014,3197,1238795,3348,821085,8525,242,188,820843,8502,783095,9266,37748,3328,417710,8326,377219,996,49140,2967,48032,2918,1108,448,328079,3199,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2344078,4582,1148082,3382,915057,3482,704616,7252,10163,1613,694453,7206,659971,8563,34482,4269,210441,7067,233025,1063,55260,2915,53499,2881,1761,671,177765,3123,1195996,3709,910179,3978,601469,7506,1103,692,600366,7422,573822,7845,26544,3252,308710,7351,285817,1332,37548,2835,37008,2820,540,303,248269,2801,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,7459351,18945,3661541,10541,2947661,10210,2428464,13685,9161,1663,2419303,13593,2310999,14510,108304,5021,519197,10159,713880,2193,162523,4762,158640,4777,3883,840,551357,4752,3797810,11581,2900455,11072,2147571,13126,1270,646,2146301,13217,2053161,13112,93140,4585,752884,10431,897355,2144,136169,4391,131483,4406,4686,1012,761186,4900,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2292611,4119,1124321,2952,890139,3043,740783,5147,1217,510,739566,5056,714012,5045,25554,2457,149356,4643,234182,643,58100,2617,57285,2590,815,302,176082,2569,1168290,2918,879392,2826,687129,5667,113,112,687016,5657,665060,6229,21956,2071,192263,5121,288898,893,42936,2148,42241,2144,695,349,245962,2220,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1053646,2670,516578,1931,407362,1913,339833,3841,1123,666,338710,3876,324305,4187,14405,2219,67529,4046,109216,424,30423,1685,29990,1675,433,255,78793,1790,537068,1630,407692,1606,312118,4341,178,272,311940,4313,303435,4599,8505,1309,95574,4167,129376,417,23600,2097,23336,2055,264,214,105776,2048,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1870045,5151,911501,3479,712432,3376,531631,7766,2404,712,529227,7830,508835,7831,20392,2452,180801,6792,199069,746,40244,2548,39508,2578,736,423,158825,2654,958544,3200,714056,3251,467016,6685,294,304,466722,6688,449043,6910,17679,2240,247040,6551,244488,669,31367,2541,30975,2519,392,236,213121,2695,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,554570,3537,268177,2387,201537,2261,161128,3411,2214,723,158914,3447,151084,3517,7830,1576,40409,2760,66640,544,15093,1604,14416,1625,677,501,51547,1541,286393,1856,206147,1786,148259,3629,80,119,148179,3620,141281,3375,6898,1453,57888,3305,80246,443,13676,1520,13099,1569,577,343,66570,1555,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,3780713,5700,1866327,3954,1484685,3854,1264438,6413,1784,687,1262654,6399,1220725,6678,41929,2608,220247,5704,381642,750,86514,3377,84530,3271,1984,451,295128,3412,1914386,3241,1456924,3304,1178197,7068,164,122,1178033,7065,1148524,7316,29509,2736,278727,6413,457462,801,69072,2823,68330,2780,742,292,388390,2790,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,773545,2288,386873,1773,295604,1812,240596,3686,2277,590,238319,3665,229483,3728,8836,1621,55008,3622,91269,561,21845,1648,21196,1651,649,299,69424,1795,386672,1789,288712,1688,216284,4015,559,358,215725,4097,210370,4307,5355,1085,72428,3595,97960,522,16417,1547,15714,1498,703,400,81543,1642,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
