GEO_ID,B16005G_001E,B16005G_001M,B16005G_002E,B16005G_002M,B16005G_003E,B16005G_003M,B16005G_004E,B16005G_004M,B16005G_005E,B16005G_005M,B16005G_006E,B16005G_006M,B16005G_007E,B16005G_007M,B16005G_008E,B16005G_008M,B16005G_009E,B16005G_009M,B16005G_010E,B16005G_010M,B16005G_011E,B16005G_011M,NAME,B16005G_001EA,B16005G_001MA,B16005G_002EA,B16005G_002MA,B16005G_003EA,B16005G_003MA,B16005G_004EA,B16005G_004MA,B16005G_005EA,B16005G_005MA,B16005G_006MA,B16005G_006EA,B16005G_007MA,B16005G_007EA,B16005G_008MA,B16005G_008EA,B16005G_009MA,B16005G_009EA,B16005G_010EA,B16005G_010MA,B16005G_011MA,B16005G_011EA,state
0400000US08,197703,9766,180334,8614,162014,7977,18320,3934,15684,3249,2636,1208,17369,4851,3117,836,14252,4892,5850,1741,8402,3607,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,152247,8613,142930,7985,131936,7218,10994,2910,9684,2581,1310,782,9317,2109,1873,1010,7444,2102,4087,1262,3357,1495,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,90704,6715,85905,6538,80273,6150,5632,1611,4849,1390,783,638,4799,1370,870,517,3929,1250,2378,875,1551,732,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,89260,6766,83905,6856,76041,6401,7864,2063,7093,1940,771,417,5355,1621,1017,635,4338,1491,3044,1262,1294,560,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,290830,11312,258476,10091,221206,9362,37270,4144,31261,3817,6009,1427,32354,4451,5293,1352,27061,4078,12732,2186,14329,2935,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,55460,4589,53192,4399,49929,4197,3263,1029,3012,997,251,193,2268,821,702,478,1566,802,999,661,567,366,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,27239,3130,25314,2892,23976,2816,1338,796,1290,790,48,85,1925,827,756,401,1169,713,671,480,498,540,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,76844,5817,73427,5557,70260,5312,3167,1464,3050,1392,117,185,3417,1463,911,685,2506,1183,1127,646,1379,870,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,22764,3312,20259,2699,17640,2185,2619,1216,1608,842,1011,718,2505,1643,567,373,1938,1593,1063,1012,875,704,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,147992,7817,139550,7066,125887,6150,13663,2870,11432,2676,2231,653,8442,1929,2795,1115,5647,1506,3114,874,2533,936,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,28788,3064,28019,2875,26198,2675,1821,798,1523,753,298,295,769,551,454,436,315,309,181,259,134,161,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,26116,2230,25410,2187,23029,2195,2381,927,2074,907,307,222,706,391,268,251,438,303,300,248,138,214,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,248918,11736,229332,10455,208900,10273,20432,3402,17037,3127,3395,967,19586,3577,4598,1130,14988,3254,7686,1821,7302,2193,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,244148,12537,221760,12006,197457,11242,24303,3873,20503,3367,3800,1496,22388,3102,6228,1398,16160,2755,7882,1881,8278,2162,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,53750,4353,52171,4137,47090,3974,5081,1209,3995,1007,1086,700,1579,630,821,523,758,420,276,218,482,314,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,87043,7072,81676,6755,76375,6814,5301,1562,4690,1514,611,398,5367,2166,2121,1152,3246,1661,1233,910,2013,1036,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,11603,1637,10539,1605,9931,1554,608,290,595,291,13,27,1064,659,193,199,871,655,153,164,718,639,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
