GEO_ID,C17009_001E,C17009_001M,C17009_002E,C17009_002M,C17009_003E,C17009_003M,C17009_004E,C17009_004M,C17009_005E,C17009_005M,C17009_006E,C17009_006M,C17009_007E,C17009_007M,C17009_008E,C17009_008M,C17009_009E,C17009_009M,NAME,C17009_001MA,C17009_001EA,C17009_002EA,C17009_002MA,C17009_003EA,C17009_003MA,C17009_004EA,C17009_004MA,C17009_005EA,C17009_005MA,C17009_006EA,C17009_006MA,C17009_007EA,C17009_007MA,C17009_008EA,C17009_008MA,C17009_009EA,C17009_009MA,state
0400000US08,1238639,18602,242910,7984,14376,2271,98147,5592,130387,6528,995729,17342,609504,15360,199302,8175,186923,6387,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1294197,17757,323776,9513,16847,2291,115699,5594,191230,8274,970421,15289,549242,11852,159365,6854,261814,7892,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,846243,14953,252184,10751,14055,2400,73508,4889,164621,7999,594059,12051,312238,10063,103848,5534,177973,6719,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,884152,16985,273853,10602,18786,3040,71748,5265,183319,8720,610299,12128,343672,11659,98990,5825,167637,5452,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2435330,26325,578642,11989,30110,2530,189461,7537,359071,10813,1856688,25332,1064130,17117,313130,9064,479428,10841,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,662587,12175,156741,6529,12041,1795,66169,4197,78531,4649,505846,10281,278654,7378,93528,5347,133664,5545,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,278164,8853,48196,3754,1672,771,15749,2314,30775,2965,229968,7329,127234,6165,44065,3594,58669,3374,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,544045,13395,164012,7991,11627,2145,49215,4188,103170,5749,380033,11152,201049,7907,60974,4925,118010,4895,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,184854,8660,44222,4108,2751,858,13180,1879,28291,3584,140632,7343,78639,5286,22952,2783,39041,2453,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1173442,14455,248817,8433,13832,1738,98308,5392,136677,5870,924625,12440,518555,9301,193705,6978,212365,5317,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
