GEO_ID,B05003A_001E,B05003A_001M,B05003A_002E,B05003A_002M,B05003A_003E,B05003A_003M,B05003A_004E,B05003A_004M,B05003A_005E,B05003A_005M,B05003A_006E,B05003A_006M,B05003A_007E,B05003A_007M,B05003A_008E,B05003A_008M,B05003A_009E,B05003A_009M,B05003A_010E,B05003A_010M,B05003A_011E,B05003A_011M,B05003A_012E,B05003A_012M,B05003A_013E,B05003A_013M,B05003A_014E,B05003A_014M,B05003A_015E,B05003A_015M,B05003A_016E,B05003A_016M,B05003A_017E,B05003A_017M,B05003A_018E,B05003A_018M,B05003A_019E,B05003A_019M,B05003A_020E,B05003A_020M,B05003A_021E,B05003A_021M,B05003A_022E,B05003A_022M,B05003A_023E,B05003A_023M,NAME,B05003A_001EA,B05003A_001MA,B05003A_002EA,B05003A_002MA,B05003A_003MA,B05003A_003EA,B05003A_004EA,B05003A_004MA,B05003A_005EA,B05003A_005MA,B05003A_006EA,B05003A_006MA,B05003A_007EA,B05003A_007MA,B05003A_008EA,B05003A_008MA,B05003A_009MA,B05003A_009EA,B05003A_010MA,B05003A_010EA,B05003A_011MA,B05003A_011EA,B05003A_012EA,B05003A_012MA,B05003A_013EA,B05003A_013MA,B05003A_014MA,B05003A_014EA,B05003A_015MA,B05003A_015EA,B05003A_016MA,B05003A_016EA,B05003A_017EA,B05003A_017MA,B05003A_018EA,B05003A_018MA,B05003A_019MA,B05003A_019EA,B05003A_020MA,B05003A_020EA,B05003A_021MA,B05003A_021EA,B05003A_022EA,B05003A_022MA,B05003A_023EA,B05003A_023MA,state
0400000US08,4790677,16307,2413545,9729,519751,5039,511423,4834,8328,1922,1986,805,6342,1717,1893794,7352,1745296,8119,148498,6213,62593,4683,85905,5178,2377132,9523,490540,4988,482375,5026,8165,1854,1790,850,6375,1709,1886592,7017,1733205,7791,153387,6960,71843,5011,81544,5952,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5539927,11682,2731594,7224,618568,4350,613328,4228,5240,1363,1105,481,4135,1285,2113026,4711,2046243,5471,66783,5091,30496,2661,36287,4458,2808333,6406,587872,3990,583832,4116,4040,1186,1063,621,2977,1098,2220461,3573,2154603,4642,65858,3915,31621,3116,34237,3044,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3875023,6230,1903037,4464,424486,3165,421398,3342,3088,988,1006,585,2082,763,1478551,2565,1444984,2572,33567,2594,13164,1676,20403,2529,1971986,4016,399905,3023,397376,2957,2529,840,494,438,2035,700,1572081,2615,1536603,3041,35478,2850,15122,1955,20356,2203,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2877115,7740,1418935,5079,306433,3734,302123,3794,4310,1350,879,669,3431,1232,1112502,3149,1066663,4140,45839,4454,17433,2484,28406,3411,1458180,5761,293935,3894,289597,3906,4338,1473,1092,711,3246,1209,1164245,3071,1126797,3476,37448,3258,16077,2077,21371,3090,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,9135145,26772,4520295,15801,975606,7974,961326,7952,14280,2240,4195,1180,10085,1614,3544689,9749,3115731,10946,428958,10638,222281,7076,206677,7850,4614850,14546,923655,6681,907814,7022,15841,2179,3789,903,12052,2012,3691195,9972,3258334,8786,432861,11011,246025,7487,186836,8283,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2846099,5629,1408853,3664,322465,2795,320399,2946,2066,851,750,493,1316,674,1086388,2228,1053638,2955,32750,2838,14511,2044,18239,2081,1437246,4148,304214,2747,302514,2830,1700,933,355,321,1345,863,1133032,2621,1099936,3217,33096,2672,15937,2180,17159,1892,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1253931,3132,619519,2268,116857,1387,116146,1519,711,639,105,133,606,648,502662,1416,483945,2726,18717,2383,12627,1979,6090,1298,634412,1746,111356,1270,110580,1351,776,516,593,447,183,304,523056,1216,501329,3080,21727,3050,15144,2336,6583,1551,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2306096,6922,1135450,4450,252062,2452,249870,2482,2192,1025,587,514,1605,958,883388,3003,850524,2820,32864,3058,10757,2112,22107,2624,1170646,4421,239768,2969,237607,2809,2161,755,362,292,1799,693,930878,2532,900252,2767,30626,2490,11358,1648,19268,2223,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,659781,4626,321770,2821,61816,1323,59756,1249,2060,725,578,435,1482,640,259954,2037,244679,2161,15275,2071,6811,1638,8464,1725,338011,2448,58613,1510,57591,1558,1022,693,0,200,1022,693,279398,1840,261708,2180,17690,1895,8736,1390,8954,1468,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4629375,8116,2301035,4800,490577,2540,485743,2611,4834,1617,1557,762,3277,1328,1810458,3418,1751426,4077,59032,3964,27857,2703,31175,2900,2328340,4792,466492,2810,462482,3029,4010,1022,1334,574,2676,853,1861848,2845,1802008,3848,59840,4120,31314,2747,28526,3199,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,941438,2221,473519,1869,97285,1233,96907,1164,378,446,58,80,320,408,376234,1563,371833,1894,4401,1173,2634,723,1767,859,467919,1790,91622,1258,91622,1258,0,172,0,172,0,172,376297,1270,367151,2076,9146,1772,6028,1296,3118,917,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1261453,1633,617264,1163,116004,780,114805,827,1199,589,331,317,868,517,501260,857,491058,1613,10202,1547,6163,1210,4039,1082,644189,1250,108628,737,108202,833,426,365,90,153,336,326,535561,935,522082,2062,13479,1807,7965,1319,5514,1098,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,7098569,17927,3488458,10377,726638,7387,716146,7467,10492,2238,2193,745,8299,2152,2761820,6001,2589831,6147,171989,6980,59279,4137,112710,7020,3610111,9880,684072,6288,674060,6443,10012,2500,1924,807,8088,2373,2926039,5950,2756949,6836,169090,6837,70227,4320,98863,5571,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
