GEO_ID,B19001G_001E,B19001G_001M,B19001G_002E,B19001G_002M,B19001G_003E,B19001G_003M,B19001G_004E,B19001G_004M,B19001G_005E,B19001G_005M,B19001G_006E,B19001G_006M,B19001G_007E,B19001G_007M,B19001G_008E,B19001G_008M,B19001G_009E,B19001G_009M,B19001G_010E,B19001G_010M,B19001G_011E,B19001G_011M,B19001G_012E,B19001G_012M,B19001G_013E,B19001G_013M,B19001G_014E,B19001G_014M,B19001G_015E,B19001G_015M,B19001G_016E,B19001G_016M,B19001G_017E,B19001G_017M,NAME,B19001G_001EA,B19001G_001MA,B19001G_002EA,B19001G_002MA,B19001G_003EA,B19001G_003MA,B19001G_004EA,B19001G_004MA,B19001G_005EA,B19001G_005MA,B19001G_006EA,B19001G_006MA,B19001G_007EA,B19001G_007MA,B19001G_008EA,B19001G_008MA,B19001G_009EA,B19001G_009MA,B19001G_010EA,B19001G_010MA,B19001G_011EA,B19001G_011MA,B19001G_012EA,B19001G_012MA,B19001G_013MA,B19001G_013EA,B19001G_014EA,B19001G_014MA,B19001G_015EA,B19001G_015MA,B19001G_016EA,B19001G_016MA,B19001G_017EA,B19001G_017MA,state
0400000US08,56303,3635,3845,1139,1988,708,1404,679,2317,791,2496,806,2582,759,2262,782,2414,794,1335,482,4471,1086,6497,1538,8234,1682,5120,1069,3277,859,3553,801,4508,1039,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,40570,3739,3426,1035,3273,985,2678,911,2776,867,2077,707,2103,891,1768,762,2854,1075,1597,756,4205,1493,3079,1000,4589,1048,2344,836,1760,694,941,656,1100,426,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,23010,2834,2526,990,1394,571,905,479,1537,889,1505,1033,1143,696,1195,663,2259,1155,1534,687,1873,664,1386,536,2906,1056,1356,551,321,320,847,469,323,287,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23518,2654,2699,937,1824,645,1196,610,1773,735,749,448,1146,569,844,472,745,424,1488,887,2023,724,2182,1061,2853,856,842,377,1002,551,1322,537,830,468,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,78888,4372,6130,1312,4098,1196,2853,792,5037,1203,3267,977,3348,863,3037,867,3465,917,3320,913,5944,1228,7599,1534,9417,1622,8636,1824,3965,891,4328,1205,4444,1032,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,12718,1903,1260,532,1141,526,1181,604,416,287,225,175,1177,658,1118,569,471,348,473,303,1021,549,1036,604,1085,431,1218,613,230,239,485,329,181,177,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,7465,1501,300,267,277,281,529,443,562,575,252,259,324,244,767,551,268,241,212,241,342,270,541,453,937,520,714,415,526,397,533,405,381,307,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,22292,2471,2570,901,1430,623,1690,657,1073,378,2625,993,1297,669,966,481,879,486,429,354,1896,686,2001,754,1935,643,1650,672,821,515,254,168,776,495,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,6074,1419,792,548,401,398,395,317,15,26,221,242,812,624,116,131,368,278,110,137,260,226,1256,788,276,281,459,396,54,96,463,311,76,101,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,37458,3190,2580,697,2126,791,1124,450,1582,637,1422,498,2320,813,1833,715,1654,733,1966,678,3336,1067,3548,1022,4210,935,3661,1010,1771,590,2688,892,1637,537,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,10149,1405,890,553,907,520,690,454,702,409,555,339,347,224,194,171,696,387,346,250,1294,670,947,554,753,394,533,443,269,241,737,508,289,238,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,8145,1433,533,338,403,337,230,145,600,389,341,258,403,359,906,614,552,314,419,547,574,374,884,444,999,471,492,416,456,325,297,249,56,73,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,65281,5029,5942,1420,2737,883,3229,1004,5086,1223,3875,1028,3556,993,4616,1181,3512,1040,2077,918,4252,962,5993,1371,7293,1625,5367,1185,2900,1031,2228,669,2618,745,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,62802,4940,5259,1432,2935,1084,2907,884,3280,1157,3142,1008,2116,757,2322,866,2097,1122,3487,1129,4705,1356,7417,1682,7035,1713,4535,1108,3605,1035,4591,1535,3369,1128,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,15010,2067,630,357,421,384,683,400,601,332,426,270,470,339,739,394,711,419,301,223,1290,697,2561,1015,2250,915,1743,581,764,383,888,344,532,363,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,25436,2945,3446,1245,1849,648,2506,976,1209,590,2024,868,1473,740,913,459,542,357,794,687,1978,942,2810,757,1692,582,1728,778,771,477,685,451,1016,701,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,4698,1009,408,403,161,198,402,263,431,472,290,265,408,416,270,320,278,278,251,316,234,223,291,234,523,392,407,298,60,109,270,229,14,29,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
