GEO_ID,B10058_001E,B10058_001M,B10058_002E,B10058_002M,B10058_003E,B10058_003M,B10058_004E,B10058_004M,B10058_005E,B10058_005M,B10058_006E,B10058_006M,B10058_007E,B10058_007M,B10058_008E,B10058_008M,B10058_009E,B10058_009M,B10058_010E,B10058_010M,B10058_011E,B10058_011M,NAME,B10058_001MA,B10058_001EA,B10058_002MA,B10058_002EA,B10058_003MA,B10058_003EA,B10058_004MA,B10058_004EA,B10058_005MA,B10058_005EA,B10058_006MA,B10058_006EA,B10058_007MA,B10058_007EA,B10058_008EA,B10058_008MA,B10058_009MA,B10058_009EA,B10058_010MA,B10058_010EA,B10058_011MA,B10058_011EA,state
0400000US08,98651,6801,49344,4735,18849,2935,13890,2385,4959,1191,30495,3656,49307,4299,13203,2145,4616,1340,8587,1643,36104,4058,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,126941,5932,68445,4822,36008,3325,26136,3256,9872,1784,32437,4120,58496,4245,24361,2404,10223,1425,14138,1948,34135,3460,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,106559,5979,47811,4079,26912,2840,18758,2372,8154,1647,20899,2707,58748,3555,30947,2894,13174,1849,17773,2190,27801,2704,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,106403,8195,51533,5475,25842,3177,18620,2563,7222,1665,25691,3836,54870,4780,24829,2824,8281,1748,16548,2513,30041,3451,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,245054,11087,120569,6642,45137,4075,33372,3628,11765,1708,75432,4828,124485,7064,31975,2939,10932,1802,21043,2736,92510,6067,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,38781,3299,21848,2611,8342,1429,5931,1325,2411,770,13506,2205,16933,1942,5328,1096,2296,818,3032,865,11605,1585,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,21308,2626,11628,1904,4549,1329,3038,1078,1511,688,7079,1376,9680,1682,2274,817,1004,582,1270,530,7406,1550,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,68089,5521,33238,3493,17518,2325,11966,2110,5552,1123,15720,2231,34851,3629,16726,2608,7412,1713,9314,1925,18125,2728,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,20234,2794,9777,2022,5252,1453,3179,1073,2073,879,4525,1297,10457,1734,3666,1118,1173,621,2493,964,6791,1452,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,68023,4546,36331,3984,15236,2288,10029,1680,5207,1084,21095,2725,31692,2346,8950,1457,3103,859,5847,1277,22742,2074,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
