GEO_ID,C25055_001E,C25055_001M,C25055_002E,C25055_002M,C25055_003E,C25055_003M,C25055_004E,C25055_004M,C25055_005E,C25055_005M,NAME,C25055_001MA,C25055_001EA,C25055_002MA,C25055_002EA,C25055_003MA,C25055_003EA,C25055_004MA,C25055_004EA,C25055_005MA,C25055_005EA,state
0400000US08,735732,10009,558729,9827,84884,4324,49547,3196,42572,3234,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US18,763759,10953,548649,9398,101265,4976,61030,2860,52815,3062,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US21,512797,11104,366069,8625,76007,4352,41650,2921,29071,2700,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,541268,10534,403820,8985,72297,4131,40278,2419,24873,2375,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1586781,16765,1120471,15693,219818,6707,131687,5540,114805,5592,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US19,340900,7628,239510,6254,43153,3630,24271,2071,33966,2420,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US33,148143,5014,96544,4279,24171,2334,13194,1767,14234,1623,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US05,362008,7467,266465,7730,49241,3341,25364,2519,20938,2059,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US10,102132,4701,73707,4120,13897,2452,9187,1324,5341,1018,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US27,600671,8255,412526,7389,75599,3646,46238,3112,66308,3319,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US30,127412,5145,89531,4519,17870,1945,10458,1638,9553,1270,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US23,152962,5612,95391,4514,22231,2720,17432,2029,17908,1973,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US37,1310250,16094,964306,13426,175303,7104,97860,4307,72781,4040,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US13,1300101,16001,983309,13757,164584,6903,94661,5931,57547,4225,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US02,79691,3403,61186,3142,10768,1563,5480,1013,2257,529,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US01,528763,11878,380130,10297,74874,4398,46100,3147,27659,2205,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US50,68404,3468,45692,3048,9279,1614,7723,1261,5710,888,Vermont,null,null,null,null,null,null,null,null,null,null,50
0400000US32,476140,7958,340057,7248,65704,3634,44591,2883,25788,2104,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US54,169267,5931,119937,4458,25185,2820,14933,1715,9212,1425,West Virginia,null,null,null,null,null,null,null,null,null,null,54
0400000US40,469593,7508,343112,6869,63497,3139,35572,2210,27412,2164,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
0400000US55,747782,9481,519715,7818,98475,4898,61702,3218,67890,3323,Wisconsin,null,null,null,null,null,null,null,null,null,null,55
0400000US72,234840,6354,165087,6311,30491,2972,24062,2417,15200,1585,Puerto Rico,null,null,null,null,null,null,null,null,null,null,72
