GEO_ID,C27001H_001E,C27001H_001M,C27001H_002E,C27001H_002M,C27001H_003E,C27001H_003M,C27001H_004E,C27001H_004M,C27001H_005E,C27001H_005M,C27001H_006E,C27001H_006M,C27001H_007E,C27001H_007M,C27001H_008E,C27001H_008M,C27001H_009E,C27001H_009M,C27001H_010E,C27001H_010M,NAME,C27001H_001EA,C27001H_001MA,C27001H_002EA,C27001H_002MA,C27001H_003EA,C27001H_003MA,C27001H_004EA,C27001H_004MA,C27001H_005EA,C27001H_005MA,C27001H_006EA,C27001H_006MA,C27001H_007EA,C27001H_007MA,C27001H_008EA,C27001H_008MA,C27001H_009EA,C27001H_009MA,C27001H_010EA,C27001H_010MA,state
0400000US08,3806245,3705,752464,3172,724872,5053,27592,3691,2392060,4467,2221686,7933,170374,7149,661721,1058,659846,1218,1875,676,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5195562,4715,1173482,4289,1101555,7318,71927,6114,3106132,4554,2824198,11876,281934,11030,915948,1488,911292,2071,4656,1499,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3714922,2666,836709,3340,806744,4881,29965,4179,2225054,3544,2077327,8696,147727,7346,653159,1158,651830,1504,1329,704,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2676030,3424,586094,3147,570677,3492,15417,2809,1600513,3915,1450990,8782,149523,8297,489423,1298,488045,1683,1378,952,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,7664249,5044,1546556,3623,1505907,6307,40649,4763,4650476,5467,4366778,11084,283698,10119,1467217,2177,1460592,2658,6625,1867,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2659848,2365,605202,3254,590047,3997,15155,2895,1558292,3414,1476012,6042,82280,5158,496354,917,495288,1133,1066,540,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1204308,1160,235895,2217,230859,2281,5036,1329,740171,2486,683154,4599,57017,3817,228242,475,227975,497,267,219,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2137285,1659,467685,2905,452496,3488,15189,2432,1246211,3230,1127152,6539,119059,5953,423389,1156,422619,1256,770,426,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,590563,1235,106177,1064,102677,1924,3500,1582,343423,1399,322175,3528,21248,3467,140963,513,140950,518,13,22,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4413780,2486,947493,2400,923452,3669,24041,3033,2663065,3009,2550159,6107,112906,5255,803222,942,801840,984,1382,626,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,900421,1258,189521,1427,180002,2129,9519,1897,527971,1904,473474,4836,54497,4307,182929,460,182398,516,531,293,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1231495,1245,233749,1525,221234,2320,12515,1810,737381,1897,655561,6016,81820,5876,260365,483,260024,522,341,204,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,6395695,5618,1266581,4870,1211559,7152,55022,5434,3840534,5744,3387809,14776,452725,13177,1288580,1831,1285898,2125,2682,995,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,5414229,5449,1159360,5024,1083361,6637,75999,6438,3254134,6106,2769604,16544,484530,15912,1000735,1419,998105,1604,2630,873,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,427701,1530,93234,868,86873,1578,6361,1606,271314,1728,236469,4282,34845,4183,63153,534,63036,535,117,102,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,3146535,2940,668979,3358,651719,4525,17260,3013,1851354,3636,1613908,9810,237446,9419,626202,993,625771,1042,431,253,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,574176,754,111047,1125,109507,1423,1540,748,348572,1452,328882,2244,19690,2141,114557,293,114458,303,99,94,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,1452711,2198,251177,1421,235426,3862,15751,3400,868508,2313,786555,5689,81953,4946,333026,870,332019,1060,1007,496,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,1640738,1601,344701,2356,332322,3526,12379,3089,960676,2432,871714,6821,88962,5912,335361,683,334175,922,1186,694,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
