C24070_038M,C24070_039E,C24070_039M,C24070_040E,C24070_040M,C24070_041E,C24070_041M,C24070_042E,C24070_042M,C24070_043E,C24070_043M,C24070_044E,C24070_044M,C24070_045E,C24070_045M,C24070_046E,C24070_046M,C24070_047E,C24070_047M,C24070_048E,C24070_048M,C24070_049E,C24070_049M,C24070_050E,C24070_050M,C24070_051E,C24070_051M,C24070_052E,C24070_052M,C24070_053E,C24070_053M,C24070_054E,C24070_054M,C24070_055E,C24070_055M,C24070_056E,C24070_056M,C24070_057E,C24070_057M,C24070_058E,C24070_058M,C24070_059E,C24070_059M,C24070_060E,C24070_060M,C24070_061E,C24070_061M,C24070_062E,C24070_062M,C24070_063E,C24070_063M,C24070_064E,C24070_064M,C24070_065E,C24070_065M,C24070_066E,C24070_066M,C24070_067E,C24070_067M,C24070_068E,C24070_068M,C24070_069E,C24070_069M,C24070_070E,C24070_070M,C24070_071E,C24070_071M,C24070_072E,C24070_072M,C24070_073E,C24070_073M,C24070_074E,C24070_074M,C24070_075E,C24070_075M,C24070_076E,C24070_076M,C24070_077E,C24070_077M,C24070_078E,C24070_078M,C24070_079E,C24070_079M,C24070_080E,C24070_080M,C24070_081E,C24070_081M,C24070_082E,C24070_082M,C24070_083E,C24070_083M,C24070_084E,C24070_084M,GEO_ID,C24070_001E,C24070_001M,C24070_002E,C24070_002M,C24070_003E,C24070_003M,C24070_004E,C24070_004M,C24070_005E,C24070_005M,C24070_006E,C24070_006M,C24070_007E,C24070_007M,C24070_008E,C24070_008M,C24070_009E,C24070_009M,C24070_010E,C24070_010M,C24070_011E,C24070_011M,C24070_012E,C24070_012M,C24070_013E,C24070_013M,C24070_014E,C24070_014M,C24070_015E,C24070_015M,C24070_016E,C24070_016M,C24070_017E,C24070_017M,C24070_018E,C24070_018M,C24070_019E,C24070_019M,C24070_020E,C24070_020M,C24070_021E,C24070_021M,C24070_022E,C24070_022M,C24070_023E,C24070_023M,C24070_024E,C24070_024M,C24070_025E,C24070_025M,C24070_026E,C24070_026M,C24070_027E,C24070_027M,C24070_028E,C24070_028M,C24070_029E,C24070_029M,C24070_030E,C24070_030M,C24070_031E,C24070_031M,C24070_032E,C24070_032M,C24070_033E,C24070_033M,C24070_034E,C24070_034M,C24070_035E,C24070_035M,C24070_036E,C24070_036M,C24070_037E,C24070_037M,C24070_038E,C24070_038MA,C24070_039MA,C24070_039EA,C24070_040MA,C24070_040EA,C24070_041MA,C24070_041EA,C24070_042MA,C24070_042EA,C24070_043MA,C24070_043EA,C24070_044EA,C24070_044MA,C24070_045MA,C24070_045EA,C24070_046MA,C24070_046EA,C24070_047MA,C24070_047EA,C24070_048MA,C24070_048EA,C24070_049MA,C24070_049EA,C24070_050MA,C24070_050EA,C24070_051MA,C24070_051EA,C24070_052MA,C24070_052EA,C24070_053MA,C24070_053EA,C24070_054MA,C24070_054EA,C24070_055EA,C24070_055MA,C24070_056MA,C24070_056EA,C24070_057MA,C24070_057EA,C24070_058MA,C24070_058EA,C24070_059MA,C24070_059EA,C24070_060MA,C24070_060EA,C24070_061MA,C24070_061EA,C24070_062MA,C24070_062EA,C24070_063MA,C24070_063EA,C24070_064MA,C24070_064EA,C24070_065MA,C24070_065EA,C24070_066EA,C24070_066MA,C24070_067MA,C24070_067EA,C24070_068MA,C24070_068EA,C24070_069MA,C24070_069EA,C24070_070MA,C24070_070EA,C24070_071MA,C24070_071EA,C24070_072MA,C24070_072EA,C24070_073MA,C24070_073EA,C24070_074MA,C24070_074EA,C24070_075MA,C24070_075EA,C24070_076MA,C24070_076EA,C24070_077EA,C24070_077MA,C24070_078MA,C24070_078EA,C24070_079MA,C24070_079EA,C24070_080MA,C24070_080EA,C24070_081MA,C24070_081EA,C24070_082MA,C24070_082EA,C24070_083MA,C24070_083EA,C24070_084MA,C24070_084EA,NAME,C24070_001MA,C24070_001EA,C24070_002MA,C24070_002EA,C24070_003MA,C24070_003EA,C24070_004MA,C24070_004EA,C24070_005MA,C24070_005EA,C24070_006MA,C24070_006EA,C24070_007MA,C24070_007EA,C24070_008MA,C24070_008EA,C24070_009MA,C24070_009EA,C24070_010MA,C24070_010EA,C24070_011EA,C24070_011MA,C24070_012MA,C24070_012EA,C24070_013MA,C24070_013EA,C24070_014MA,C24070_014EA,C24070_015MA,C24070_015EA,C24070_016MA,C24070_016EA,C24070_017MA,C24070_017EA,C24070_018MA,C24070_018EA,C24070_019MA,C24070_019EA,C24070_020MA,C24070_020EA,C24070_021MA,C24070_021EA,C24070_022EA,C24070_022MA,C24070_023MA,C24070_023EA,C24070_024MA,C24070_024EA,C24070_025MA,C24070_025EA,C24070_026MA,C24070_026EA,C24070_027MA,C24070_027EA,C24070_028MA,C24070_028EA,C24070_029MA,C24070_029EA,C24070_030MA,C24070_030EA,C24070_031MA,C24070_031EA,C24070_032MA,C24070_032EA,C24070_033EA,C24070_033MA,C24070_034MA,C24070_034EA,C24070_035MA,C24070_035EA,C24070_036MA,C24070_036EA,C24070_037MA,C24070_037EA,C24070_038EA,state
2842,15231,1941,7922,1268,11015,2023,0,204,234501,7958,1160,604,3097,1203,1369,779,677,328,6030,1416,4513,1021,2198,758,10282,1716,12056,1415,135516,5962,10985,1576,46618,3860,0,204,396445,10830,2371,762,8725,1354,1909,893,170,207,1829,693,24155,2642,4622,901,3083,988,9283,1355,184623,7100,12373,2101,1301,548,142001,6885,182390,6867,9480,1305,27954,2963,6169,1363,2157,653,9470,1592,8709,1776,2521,810,16406,2401,39066,2995,20987,2040,12695,1966,26776,2800,0,204,0400000US08,2982794,18123,67846,4653,244390,9645,194121,8041,68555,4613,330730,10451,142312,5932,82194,4562,209293,7416,419623,11526,626583,11151,311855,10599,143291,6983,142001,6885,2018587,20561,50389,4059,180377,8062,176590,7497,62581,4339,304748,10884,99443,5012,68239,4399,159963,6869,320570,10207,270226,8401,267880,10484,57581,4636,0,204,150871,7154,4446,1212,24237,3060,8084,1579,2970,831,8653,1400,5492,1294,4614,1315,19559,2764,38648,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1870,8096,1458,5776,1210,9398,1804,0,198,293567,8792,126,122,1404,625,4903,1308,609,382,6364,1243,3149,797,3497,857,6750,1374,7179,1371,197592,7806,9528,1480,52466,3815,0,198,337290,9292,236,174,6312,1359,2445,664,365,291,1816,617,22588,2533,3252,707,2490,871,7086,1439,165866,6678,8359,1534,842,463,115633,6048,147601,6559,10566,2001,30002,2929,6071,1237,1846,671,10842,1541,7046,1335,1574,516,9511,1753,24018,2518,13694,1448,7966,1737,24465,2725,0,198,0400000US18,3238769,17111,40996,3428,196142,7652,629324,11918,76288,5772,353805,10364,177590,7046,41823,3476,172837,7247,269438,8670,735088,13814,280791,9686,149014,5884,115633,6048,2370347,17564,25856,2683,143615,7629,610191,11867,71045,5606,326684,10431,139865,6758,32690,3172,144753,6275,214803,7943,349840,10018,249162,9188,61843,3924,0,198,89964,5092,4212,1112,14809,1949,5714,1512,2423,761,8099,1411,4942,1273,810,417,9333,1690,16352,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
1751,5518,1115,3314,775,4887,1260,0,197,151122,6453,576,403,703,404,2140,827,158,143,2971,1120,2380,788,1461,484,2258,612,3609,914,100432,4871,4906,1130,29528,2837,0,197,275343,7409,405,273,6296,1157,1812,483,244,219,1640,748,13138,2017,3984,963,1642,609,5112,1112,142797,6202,6007,1254,910,399,91356,4836,107749,5722,11143,1713,20540,2311,3032,965,1459,868,10443,1732,5391,1161,1112,493,5975,1263,18523,2180,9042,1470,4422,1219,16667,2329,0,197,0400000US21,1995789,14195,43656,3403,121345,5587,278003,8159,45842,3535,228334,7847,126293,5705,33352,3335,109467,4755,179339,6619,475629,10485,173210,7414,89963,4880,91356,4836,1407513,14443,27404,2764,86663,4795,268917,8054,41893,3405,207523,7216,102591,4823,26681,3062,94825,4537,140644,5041,217840,6073,154561,7389,37971,3389,0,197,54062,3587,4128,1162,7143,1062,2102,601,2088,900,5757,1084,2793,804,114,104,4767,1065,11451,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
2561,6795,1527,3833,884,4473,1148,0,217,120134,6099,650,540,1890,1001,1036,516,442,363,2643,840,972,565,364,278,3326,827,4332,1191,71844,5081,3666,985,28969,2812,0,217,289730,9563,550,374,5214,1394,752,437,53,84,1983,799,17171,2270,3569,1033,1919,857,5709,1323,135131,7135,6729,1812,1865,846,109085,6792,129262,6612,7300,1691,24192,3438,3601,1083,1492,722,7094,1602,5431,1315,899,493,6652,1308,26448,3777,10992,1727,10583,1891,24578,3100,0,217,0400000US22,2015672,17879,69836,4422,166987,8080,155608,7228,51297,3885,228123,8986,110201,5900,27278,3521,99153,5760,193655,8689,482783,12808,221111,9501,100555,6235,109085,6792,1404710,15623,58362,4161,123323,7240,146006,6999,47688,3852,210787,8564,82876,5473,20864,2848,80160,5476,139653,7377,258021,9871,196300,8732,40670,3779,0,217,71836,5275,2974,985,12368,2324,4213,1265,1622,678,5616,1208,3751,1223,1582,799,7096,1685,17513,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
3923,27081,2842,15178,2137,19020,2850,0,190,549167,11019,429,252,3035,904,7901,1450,2072,645,9273,1946,6892,1479,5994,1130,15256,1575,21849,2435,359927,8891,23117,2234,93422,5402,0,190,732262,14666,1756,707,14827,1670,4228,1174,373,209,3835,951,55338,4223,12722,1738,6666,1495,14321,1842,370458,9925,23360,2724,2220,801,222158,7704,299879,8299,21576,2090,41913,3946,6557,1213,3307,794,15632,1852,22526,2528,5109,1118,21840,2374,58089,3580,37069,2979,18325,2374,47936,3766,0,190,0400000US17,6294086,22560,68671,3940,340773,9942,741270,13516,177032,6617,662419,11722,430628,10292,115383,5733,451448,11244,760131,15574,1460524,17606,571290,12449,292359,9069,222158,7704,4475141,25202,39228,3229,245565,8290,711456,12927,164208,6546,614444,11840,324195,9681,88391,4799,386789,10339,613805,12479,665989,13204,491310,11629,129761,6257,0,190,237637,6791,5682,1090,35433,3023,11128,1455,7072,1475,19235,2258,21677,2115,3167,1065,20897,2364,52067,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1723,4827,1118,3066,999,4884,1298,0,163,135429,4975,554,308,1225,612,1944,559,239,180,3434,811,1659,576,644,391,3488,831,2438,671,90781,4283,6871,1109,22152,1897,0,163,213963,6836,55,55,6804,920,1467,740,149,174,780,490,12773,1774,2680,566,803,308,2942,860,130328,5393,6099,1045,435,276,48648,3179,100897,4337,21548,1903,15267,1653,2616,694,915,362,5309,980,5885,1089,791,353,4854,1057,12728,1810,13325,1367,3574,939,14085,1635,0,163,0400000US19,1615999,9976,55931,2990,99730,4944,244422,7354,44363,3270,193329,5880,83327,4910,23298,2148,121852,5148,114447,5334,396587,8566,124491,5908,65574,3909,48648,3179,1107467,10108,26265,1965,67544,4161,235440,7188,41790,3206,177383,5674,59865,4295,18151,1967,107106,4859,87698,4557,157326,5278,104881,5349,24018,2684,0,163,58243,3592,7509,1148,8890,1479,2955,782,1270,533,6423,1231,3145,811,1032,551,5601,1342,8641,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
1253,3131,1138,2060,1102,1223,410,0,192,83132,5550,49,59,538,442,1110,802,694,635,2722,1205,575,306,856,468,1969,676,2508,813,60032,4122,2934,1002,9145,1545,0,192,87610,4247,32,40,3102,819,2853,970,0,192,545,335,5740,1285,1121,405,273,258,1658,748,44319,3295,1255,424,260,211,26452,2573,47953,3127,1655,658,10456,1569,1365,501,217,188,3677,1117,1170,540,430,273,3271,732,9895,1581,5175,1153,2693,794,7949,1601,0,192,0400000US33,729001,7362,5650,1219,49619,3239,92892,5226,17065,1977,93598,5342,25966,2689,13263,1684,43855,3340,85558,4695,176651,6312,64992,4298,33440,3491,26452,2573,486278,7011,3663,1013,30555,2588,86597,5077,15130,1806,85039,4722,18030,2266,10245,1439,36691,3101,65421,4053,63994,4264,56050,4425,14863,2224,0,192,24028,2216,251,203,4968,1154,967,513,1024,547,1615,720,451,323,611,469,1651,507,6076,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
1764,4580,1123,3829,1186,3156,1073,0,201,96869,5117,791,857,210,245,1501,602,598,395,1287,482,1870,691,920,653,2305,786,1203,558,60426,4299,2695,761,23063,2455,0,201,190884,8692,300,250,6517,1328,1052,458,210,333,473,268,10011,1920,1628,583,1250,469,5052,1262,101665,5928,5680,1931,383,242,56663,4188,91140,5412,9432,1596,18615,2264,2751,885,1086,493,7915,1869,6072,1344,153,152,4904,1127,13113,1821,6110,1177,4043,1596,16946,2690,0,201,0400000US05,1317275,12542,37561,4082,88455,5775,187817,8431,31588,3124,169215,6718,74995,4709,18073,2310,58886,3712,101361,5201,323433,8237,105474,6311,63754,4288,56663,4188,891213,12784,24351,3033,54703,4363,179901,8186,28391,2977,155504,6742,54088,4462,14797,2138,46533,3602,72860,4576,150652,6196,89227,5694,20206,2555,0,201,47169,3578,2687,873,8410,2028,2612,798,1303,862,4036,1007,2954,845,575,415,3894,1002,9133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1066,1830,742,1121,732,1040,584,0,200,37866,3139,248,237,104,141,816,521,0,200,622,351,648,471,266,192,1381,509,1684,656,23932,2700,2152,873,6013,1348,0,200,69498,3844,148,170,1134,588,500,502,77,126,1372,826,4468,1238,434,283,1038,597,981,370,33012,3256,758,460,394,286,25182,2571,21114,2098,1287,552,4518,1227,703,461,241,235,1445,562,574,375,752,505,1470,488,2752,750,2302,734,1486,791,3584,1101,0,200,0400000US10,458434,6653,6146,1211,30425,3543,40645,4008,9328,1833,56067,3633,23602,2920,4631,1027,40218,2834,43474,3194,114026,5011,43498,4038,21192,2489,25182,2571,310120,7452,3617,895,20934,3116,37843,3661,8585,1837,49737,3392,16721,2542,2766,669,35101,2714,33724,2722,52950,4049,37981,3463,10161,1797,0,200,19836,2625,846,438,3735,1298,783,483,425,264,2891,964,1191,556,413,373,1228,598,4333,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
2220,10553,1461,7395,1534,9347,1266,0,147,339690,8210,412,206,1227,394,3751,867,839,363,7276,1502,4191,1117,2906,742,12468,1588,9053,1414,237737,6741,12477,1639,47353,3029,0,147,341015,7842,1388,448,10244,1556,1245,540,385,281,1836,638,21165,2128,2566,651,4075,871,6810,967,175576,5560,10171,1504,430,266,105124,4610,157096,4375,22652,1404,22897,1820,4443,948,2292,509,9975,1394,8348,1119,1971,568,10071,1623,26794,2030,19217,1777,8915,1264,19521,2075,0,147,0400000US27,2973535,12514,64982,2758,171645,5154,389544,8239,82125,4428,332415,8658,143279,5420,46097,2971,211036,7009,290498,7783,765611,11654,240931,7007,130248,5145,105124,4610,2023484,13361,34015,2289,119453,4666,373277,8000,75481,4422,304220,8473,103621,4674,37300,2878,173342,6592,224677,6856,322528,8465,201973,6503,53597,3790,0,147,112250,4587,6515,723,17824,1544,6828,1001,3128,602,9108,1212,5954,957,1354,447,11080,1340,23164,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
