GEO_ID,B19126_001E,B19126_001M,B19126_002E,B19126_002M,B19126_003E,B19126_003M,B19126_004E,B19126_004M,B19126_005E,B19126_005M,B19126_006E,B19126_006M,B19126_007E,B19126_007M,B19126_008E,B19126_008M,B19126_009E,B19126_009M,B19126_010E,B19126_010M,B19126_011E,B19126_011M,NAME,B19126_001MA,B19126_001EA,B19126_002EA,B19126_002MA,B19126_003MA,B19126_003EA,B19126_004MA,B19126_004EA,B19126_005MA,B19126_005EA,B19126_006MA,B19126_006EA,B19126_007MA,B19126_007EA,B19126_008MA,B19126_008EA,B19126_009MA,B19126_009EA,B19126_010MA,B19126_010EA,B19126_011MA,B19126_011EA,state
0400000US08,88955,1084,101379,897,107561,2057,97049,1364,50612,1222,61741,2211,53952,4927,70900,5874,45764,1192,35016,1722,59836,2467,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,70150,738,82221,740,90520,1239,77940,1046,38241,1117,46331,1228,41846,1477,53705,3472,34710,1187,27941,1438,45368,1767,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,62228,840,75400,1102,85799,1599,69235,1778,33644,1181,43943,3379,40473,2385,50001,4393,30240,1060,21799,1505,40280,1690,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,61847,924,81974,1295,94900,2895,75146,1867,30836,945,41854,5558,39712,4706,46529,6667,28185,1116,22597,1400,36761,1784,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,81313,521,98074,989,106244,1390,92390,1041,42927,1007,55710,2093,42685,3002,65638,2576,39116,1190,29191,1324,51722,1248,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,76068,911,87313,1220,97993,1651,80543,1026,39716,1707,50049,3434,45828,1981,58644,7688,34439,1910,28610,2226,48269,2535,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,93930,2252,104086,2466,119546,3950,97953,2136,50403,2927,62393,6227,53304,9204,75676,9802,45134,3911,32664,3364,59185,5534,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,58080,1487,71629,1170,81343,1791,66155,1925,31592,1124,36693,2367,32585,2221,43902,4874,29692,1647,23297,1267,39295,2100,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,79386,1970,90569,2613,104288,6230,84522,2311,47374,3529,55649,10417,42685,9743,65108,8505,43256,4947,27917,3644,65270,5442,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,89039,956,101152,702,115911,1798,91952,1133,47880,1347,60537,1865,52221,3009,71555,3757,41633,1192,34230,1350,57451,2827,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,68940,1482,77153,1553,86593,3244,72571,2087,38981,2189,46787,6888,39465,4848,59553,10504,35346,3813,26959,2703,47876,6905,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,72390,1833,82465,1726,90991,4681,78249,2007,41505,2656,49617,4640,40758,2832,55903,4007,37324,2829,30727,2016,50833,3316,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,67816,805,82351,726,91966,1268,77272,989,36248,842,44843,1875,37558,3052,49637,1619,33423,1119,26381,1124,42918,1292,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,71457,647,89537,1080,95509,1845,85593,1064,38989,1038,47915,2336,40446,2185,55528,2108,35639,969,27655,1401,46055,1294,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,89847,2908,102840,2848,106999,3880,99247,4038,53956,7248,63484,3922,60030,12861,65016,3058,47994,6203,36134,3172,64375,4724,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,63837,1085,78805,1200,88346,2550,73898,1421,31876,861,46098,2659,41539,4666,50251,3474,28168,1582,21536,935,37447,1628,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,80452,2362,89265,2384,97624,4647,85572,2389,45603,2966,57502,6748,46730,6958,65593,12835,41159,4993,32704,5682,48338,6423,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,71864,1112,83971,1879,84768,3005,83321,2342,46643,1244,53237,3221,46671,4048,61291,5464,43401,2366,34319,2417,55712,1772,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,57718,1605,67929,1731,80265,2540,63344,1271,30114,1422,37896,3255,32338,6623,39854,3998,26977,1409,21168,1552,35058,3750,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
