GEO_ID,C27001G_001E,C27001G_001M,C27001G_002E,C27001G_002M,C27001G_003E,C27001G_003M,C27001G_004E,C27001G_004M,C27001G_005E,C27001G_005M,C27001G_006E,C27001G_006M,C27001G_007E,C27001G_007M,C27001G_008E,C27001G_008M,C27001G_009E,C27001G_009M,C27001G_010E,C27001G_010M,NAME,C27001G_001EA,C27001G_001MA,C27001G_002EA,C27001G_002MA,C27001G_003EA,C27001G_003MA,C27001G_004EA,C27001G_004MA,C27001G_005EA,C27001G_005MA,C27001G_006EA,C27001G_006MA,C27001G_007EA,C27001G_007MA,C27001G_008EA,C27001G_008MA,C27001G_009EA,C27001G_009MA,C27001G_010EA,C27001G_010MA,state
0400000US08,224384,10897,106011,7056,101268,7014,4743,1487,109351,6268,100036,5946,9315,1774,9022,1378,8604,1286,418,453,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,179042,10238,97342,6675,92193,6852,5149,1240,76127,5402,65616,4895,10511,2186,5573,1143,5410,1086,163,250,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,106049,7126,60408,4815,58908,4788,1500,822,41203,4059,37158,3833,4045,1430,4438,1238,4393,1227,45,82,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,104029,7729,56137,5612,55193,5431,944,715,42388,4027,36893,3666,5495,1506,5504,1197,5201,1091,303,384,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,337696,12625,170958,8292,167532,7991,3426,1149,151540,8022,136506,7667,15034,2413,15198,1818,15126,1820,72,119,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,68482,5596,40238,4109,39710,4085,528,330,26325,2909,24259,2946,2066,665,1919,541,1919,541,0,163,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,29204,3289,13864,2097,13215,2176,649,528,13689,1919,12401,1862,1288,697,1651,704,1575,713,76,129,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,87717,5903,44668,3994,42261,3873,2407,1416,37840,3286,31365,3294,6475,1518,5209,1099,5092,1093,117,163,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,25633,3652,12669,2521,12369,2548,300,333,12077,2126,11144,2054,933,504,887,400,887,400,0,200,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,173465,8704,94783,5634,91838,5437,2945,918,73324,4908,67640,5038,5684,1170,5358,918,5326,927,32,42,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
