GEO_ID,C05009_001E,C05009_001M,C05009_002E,C05009_002M,C05009_003E,C05009_003M,C05009_004E,C05009_004M,C05009_005E,C05009_005M,C05009_006E,C05009_006M,C05009_007E,C05009_007M,C05009_008E,C05009_008M,C05009_009E,C05009_009M,C05009_010E,C05009_010M,C05009_011E,C05009_011M,C05009_012E,C05009_012M,C05009_013E,C05009_013M,C05009_014E,C05009_014M,C05009_015E,C05009_015M,NAME,C05009_001EA,C05009_001MA,C05009_002MA,C05009_002EA,C05009_003MA,C05009_003EA,C05009_004MA,C05009_004EA,C05009_005EA,C05009_005MA,C05009_006EA,C05009_006MA,C05009_007EA,C05009_007MA,C05009_008MA,C05009_008EA,C05009_009MA,C05009_009EA,C05009_010MA,C05009_010EA,C05009_011EA,C05009_011MA,C05009_012EA,C05009_012MA,C05009_013EA,C05009_013MA,C05009_014EA,C05009_014MA,C05009_015MA,C05009_015EA,state
0400000US08,1216350,4945,392389,5098,387099,5101,5290,1409,309103,5989,83286,5452,78359,5072,4927,1375,823961,6975,796315,7736,27646,3856,629164,9313,194797,9673,171719,9446,23078,3486,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1464283,7782,475155,5851,470647,5772,4508,1300,421098,6909,54057,4733,50605,4460,3452,1185,989128,7370,967007,8612,22121,3136,872599,8596,116529,6741,99451,6397,17078,2924,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,922990,7447,304797,5180,303277,5268,1520,563,274087,5449,30710,3160,29346,3223,1364,547,618193,6725,605489,7029,12704,2045,567141,7357,51052,4217,41325,4020,9727,1877,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1024540,6778,343700,6574,341570,6593,2130,883,314279,7337,29421,3536,27340,3667,2081,881,680840,7317,666296,7986,14544,2678,630687,8260,50153,4573,37009,4149,13144,2552,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2731791,7784,872610,6652,859987,6963,12623,2139,658362,8697,214248,8063,202414,7750,11834,1986,1859181,9088,1797063,9589,62118,5089,1336772,14181,522409,11977,468535,12368,53874,4998,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,699584,4003,231199,3901,228922,3769,2277,961,201767,4715,29432,4167,27185,4176,2247,964,468385,4492,456342,4693,12043,2216,414196,5628,54189,4622,44488,4466,9701,2145,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,246095,2633,72834,2109,71989,2159,845,510,63742,2529,9092,1824,8247,1801,845,510,173261,2963,168245,3349,5016,1509,154640,3815,18621,2454,14886,1961,3735,1436,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,656612,4630,213739,4194,212702,4303,1037,574,192566,4745,21173,2197,20253,2156,920,546,442873,4874,435666,5109,7207,1774,389082,4736,53791,3756,47523,3744,6268,1690,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,190941,2071,59319,1895,58012,2030,1307,569,47141,2459,12178,2005,10871,1885,1307,569,131622,2238,126327,2374,5295,1537,101723,3494,29899,3107,24842,3016,5057,1511,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1251901,4632,413963,4363,409085,4630,4878,1105,330985,5608,82978,4551,78520,4657,4458,1079,837938,5195,798969,5659,38969,3894,671651,7670,166287,7193,134596,7019,31691,3693,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,214529,2499,70728,2414,70558,2412,170,207,66560,2650,4168,1524,4050,1500,118,186,143801,2990,142384,3133,1417,671,136467,3192,7334,1692,6848,1746,486,446,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,232071,2380,74791,2342,74265,2369,526,316,69746,2400,5045,1438,4753,1444,292,245,157280,2574,153174,2912,4106,1497,147369,3172,9911,1986,7554,1779,2357,1145,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2153431,8590,683319,7519,673388,7642,9931,2134,550700,8375,132619,5939,123190,5472,9429,2065,1470112,9518,1427371,10829,42741,5004,1178156,11052,291956,8525,253715,8426,38241,4860,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,2345496,11994,732952,9446,721734,9719,11218,2301,581320,10477,151632,8635,140810,8122,10822,2263,1612544,14226,1562557,15251,49987,5214,1256581,15243,355963,11248,309450,9856,46513,5031,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
