GEO_ID,B12501_001E,B12501_001M,B12501_002E,B12501_002M,B12501_003E,B12501_003M,B12501_004E,B12501_004M,B12501_005E,B12501_005M,B12501_006E,B12501_006M,B12501_007E,B12501_007M,B12501_008E,B12501_008M,B12501_009E,B12501_009M,B12501_010E,B12501_010M,B12501_011E,B12501_011M,NAME,B12501_001EA,B12501_001MA,B12501_002MA,B12501_002EA,B12501_003MA,B12501_003EA,B12501_004MA,B12501_004EA,B12501_005MA,B12501_005EA,B12501_006MA,B12501_006EA,B12501_007MA,B12501_007EA,B12501_008MA,B12501_008EA,B12501_009MA,B12501_009EA,B12501_010EA,B12501_010MA,B12501_011EA,B12501_011MA,state
0400000US08,4643242,3035,2324144,3672,837792,11679,1486352,11321,43284,3038,1443068,11193,2319098,3328,670316,8895,1648782,8531,45244,3185,1603538,8683,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5392554,3850,2630369,4390,913506,9963,1716863,9871,46963,3732,1669900,9714,2762185,4386,789205,10169,1972980,10479,45918,3551,1927062,10889,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3629102,3031,1769333,3523,572802,8021,1196531,9254,31061,2745,1165470,8768,1859769,3655,482203,9052,1377566,8300,31308,2636,1346258,7917,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3742752,2833,1805868,4161,707937,12198,1097931,11619,30149,3483,1067782,11933,1936884,3955,660267,10317,1276617,10095,28691,2897,1247926,10486,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,10381247,2772,5059081,3380,1942203,12161,3116878,12434,91940,5688,3024938,13229,5322166,3498,1729963,13050,3592203,13283,88628,4664,3503575,13370,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2545586,2869,1252744,3239,425560,7215,827184,7170,23797,2293,803387,7182,1292842,2770,348319,6049,944523,6262,22584,2274,921939,6213,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1147794,1036,564372,1636,194346,4667,370026,4623,8051,1452,361975,4494,583422,1587,157767,4172,425655,4337,9060,1661,416595,4352,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2429708,3636,1178871,3696,381241,7749,797630,8312,22694,2530,774936,7961,1250837,3727,331757,8065,919080,8015,22435,2289,896645,8071,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,798598,418,382718,890,143198,4704,239520,4667,6124,1547,233396,4799,415880,910,129238,4997,286642,4831,6227,1380,280415,4759,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4525167,2579,2239045,3619,796295,8039,1442750,8743,37858,3022,1404892,9095,2286122,2601,666032,8038,1620090,8112,38571,3111,1581519,7864,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
