GEO_ID,C17001A_001E,C17001A_001M,C17001A_002E,C17001A_002M,C17001A_003E,C17001A_003M,C17001A_004E,C17001A_004M,C17001A_005E,C17001A_005M,C17001A_006E,C17001A_006M,C17001A_007E,C17001A_007M,C17001A_008E,C17001A_008M,C17001A_009E,C17001A_009M,C17001A_010E,C17001A_010M,C17001A_011E,C17001A_011M,C17001A_012E,C17001A_012M,C17001A_013E,C17001A_013M,C17001A_014E,C17001A_014M,C17001A_015E,C17001A_015M,C17001A_016E,C17001A_016M,C17001A_017E,C17001A_017M,C17001A_018E,C17001A_018M,C17001A_019E,C17001A_019M,NAME,C17001A_001EA,C17001A_001MA,C17001A_002MA,C17001A_002EA,C17001A_003EA,C17001A_003MA,C17001A_004EA,C17001A_004MA,C17001A_005EA,C17001A_005MA,C17001A_006EA,C17001A_006MA,C17001A_007EA,C17001A_007MA,C17001A_008MA,C17001A_008EA,C17001A_009MA,C17001A_009EA,C17001A_010EA,C17001A_010MA,C17001A_011EA,C17001A_011MA,C17001A_012EA,C17001A_012MA,C17001A_013MA,C17001A_013EA,C17001A_014EA,C17001A_014MA,C17001A_015EA,C17001A_015MA,C17001A_016EA,C17001A_016MA,C17001A_017EA,C17001A_017MA,C17001A_018MA,C17001A_018EA,C17001A_019MA,C17001A_019EA,state
0400000US08,4695611,16241,408335,16569,183926,9736,54080,6524,112258,5491,17588,1941,224409,9406,50674,4934,141140,6171,32595,2668,4287276,22604,2171110,12313,460328,7621,1393210,8372,317572,2326,2116166,13461,435852,6463,1322677,9387,357637,3264,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5386341,11994,584877,19529,254591,10071,79158,5470,151052,6569,24381,2388,330286,12023,81952,6079,205209,7357,43125,2893,4801464,20354,2395040,12793,524569,7021,1481139,8139,389332,2828,2406424,11871,492897,5940,1442428,7184,471099,3418,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3765168,7107,586690,19865,257838,10520,86025,6200,148889,5997,22924,2184,328852,12138,79546,5803,206723,7809,42583,3412,3178478,20138,1584045,11617,329054,6696,983216,6515,271775,2436,1594433,12990,311946,6091,960945,8457,321542,3588,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2815645,8111,358365,17164,150208,8416,44279,4307,90050,5959,15879,2139,208157,11208,47207,5368,133028,7338,27922,2958,2457280,17587,1232534,9721,258699,5236,761444,6639,212391,2743,1224746,11502,242265,5258,734807,7548,247674,3245,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,8941073,25928,834662,23545,367671,13562,110563,7934,217698,8437,39410,2975,466991,13025,106901,6461,287121,8387,72969,4021,8106411,36612,4050315,21567,852249,11636,2542471,13290,655595,3600,4056096,19386,804744,8683,2461539,12800,789813,4697,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2760739,6012,272631,12034,116861,7028,33145,3691,71687,4773,12029,1338,155770,7106,32915,3533,100152,4721,22703,1714,2488108,12195,1249813,7331,283279,4432,751236,4919,215298,1882,1238295,6992,266140,3891,720697,4987,251458,2001,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1216879,3434,86537,6339,37826,3497,10933,2177,22508,2252,4385,968,48711,4110,11358,2329,29874,2495,7479,1248,1130342,6482,563486,4013,102897,2763,358703,2547,101886,1313,566856,4341,97595,2388,352449,2921,116812,1559,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2244044,7006,312912,16141,131949,8523,44494,4073,72873,5778,14582,1856,180963,9263,43909,4257,114025,6548,23029,1915,1931132,16897,970486,9156,202422,4366,587194,6417,180870,2116,960646,10193,192143,4921,558193,6936,210310,2410,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,644730,4744,58898,6272,25881,3477,6930,1995,15953,2199,2998,795,33017,4118,6459,1828,21671,3021,4887,939,585832,7336,287884,4213,53558,1963,171697,3082,62629,1046,297948,4630,50880,1914,173741,3537,73327,1019,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4537631,8248,337356,10806,149738,6337,37444,3956,91626,4255,20668,1805,187618,6651,33595,3385,118424,4787,35599,2435,4200275,12964,2109395,8231,446048,4280,1310813,5947,352534,2072,2090880,7486,426473,3964,1262804,5556,401603,2821,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
