GEO_ID,B27001A_001E,B27001A_001M,B27001A_002E,B27001A_002M,B27001A_003E,B27001A_003M,B27001A_004E,B27001A_004M,B27001A_005E,B27001A_005M,B27001A_006E,B27001A_006M,B27001A_007E,B27001A_007M,B27001A_008E,B27001A_008M,B27001A_009E,B27001A_009M,B27001A_010E,B27001A_010M,B27001A_011E,B27001A_011M,B27001A_012E,B27001A_012M,B27001A_013E,B27001A_013M,B27001A_014E,B27001A_014M,B27001A_015E,B27001A_015M,B27001A_016E,B27001A_016M,B27001A_017E,B27001A_017M,B27001A_018E,B27001A_018M,B27001A_019E,B27001A_019M,B27001A_020E,B27001A_020M,B27001A_021E,B27001A_021M,B27001A_022E,B27001A_022M,B27001A_023E,B27001A_023M,B27001A_024E,B27001A_024M,B27001A_025E,B27001A_025M,B27001A_026E,B27001A_026M,B27001A_027E,B27001A_027M,B27001A_028E,B27001A_028M,NAME,B27001A_001EA,B27001A_001MA,B27001A_002MA,B27001A_002EA,B27001A_003EA,B27001A_003MA,B27001A_004EA,B27001A_004MA,B27001A_005EA,B27001A_005MA,B27001A_006EA,B27001A_006MA,B27001A_007EA,B27001A_007MA,B27001A_008EA,B27001A_008MA,B27001A_009EA,B27001A_009MA,B27001A_010EA,B27001A_010MA,B27001A_011EA,B27001A_011MA,B27001A_012EA,B27001A_012MA,B27001A_013EA,B27001A_013MA,B27001A_014EA,B27001A_014MA,B27001A_015EA,B27001A_015MA,B27001A_016EA,B27001A_016MA,B27001A_017EA,B27001A_017MA,B27001A_018EA,B27001A_018MA,B27001A_019EA,B27001A_019MA,B27001A_020MA,B27001A_020EA,B27001A_021EA,B27001A_021MA,B27001A_022EA,B27001A_022MA,B27001A_023EA,B27001A_023MA,B27001A_024MA,B27001A_024EA,B27001A_025EA,B27001A_025MA,B27001A_026EA,B27001A_026MA,B27001A_027EA,B27001A_027MA,B27001A_028EA,B27001A_028MA,state
0400000US08,4720426,16725,321305,5007,307400,4928,13905,2598,753450,8808,718019,9855,35431,4184,418295,7524,374809,6705,43486,4817,641461,6770,563866,8909,77595,5885,640979,5460,569603,6200,71376,4769,597987,4041,546718,5113,51269,4644,621557,3632,581050,5041,40507,3716,450426,2295,447121,2596,3305,967,274966,2178,274045,2197,921,576,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5465964,11593,381559,5008,356592,5906,24967,3002,895782,7144,836254,8751,59528,4919,505844,6998,445939,7853,59905,4411,613204,5439,536063,7480,77141,4842,664401,3697,588604,5514,75797,4485,712399,3358,650828,5441,61571,4675,764838,2100,714310,4563,50528,4188,548246,1761,545094,1916,3152,857,379691,1809,377855,2340,1836,1157,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3811689,6366,265712,3700,254525,3902,11187,2115,607589,5371,586019,5398,21570,3692,347123,5120,316603,5302,30520,3645,423825,5013,384716,5690,39109,3793,468917,2816,428888,3900,40029,3024,504392,1818,474405,3772,29987,3629,535307,1581,509945,3549,25362,2893,397703,1341,396231,1589,1472,758,261121,1334,260733,1297,388,359,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2828937,7596,204411,4986,197763,4731,6648,1731,430406,5816,416031,5677,14375,2452,239199,5234,212836,5306,26363,3777,332974,5427,287933,5437,45041,4258,357570,3684,314277,4091,43293,3865,360603,3666,324274,4984,36329,3982,399908,2007,369118,3761,30790,3634,299545,2130,298040,2266,1505,1035,204321,1566,203821,1614,500,371,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,9023893,26484,600048,6387,583283,6246,16765,2439,1415221,11220,1367662,12483,47559,4868,770791,8203,699180,8770,71611,4475,1076035,8557,963346,8008,112689,6595,1134691,7686,1023921,8175,110770,5886,1191957,6185,1106183,6761,85774,5654,1277363,4408,1209289,5420,68074,4840,898061,3100,890878,3698,7183,1781,659726,3043,657650,3087,2076,713,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2809061,5748,200305,2921,195175,3460,5130,1461,466455,4569,454143,4598,12312,1990,258306,4546,241225,4542,17081,2180,309291,3625,283793,4162,25498,2492,339488,2543,318648,3260,20840,2382,339368,2221,320355,2587,19013,2710,394360,1393,379546,2299,14814,1835,286271,1127,285246,1236,1025,543,215217,1090,215127,1098,90,110,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1239550,3077,68189,1839,66882,1860,1307,591,179529,3302,175004,3337,4525,1330,108522,3083,99297,2837,9225,1579,133433,2264,118520,3033,14913,2131,139516,1151,128707,1603,10809,1542,176391,1448,163067,2497,13324,2059,203408,735,190609,1887,12799,1762,140573,838,140306,894,267,219,89989,624,89969,635,20,37,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2268581,6884,156779,3163,151187,3448,5592,1341,363273,5056,345835,4920,17438,3327,196307,4722,168719,4276,27588,2979,257603,4038,222889,4491,34714,3482,273228,2797,239109,4263,34119,4029,286260,2926,257436,3725,28824,3655,306340,1569,286458,2528,19882,2402,249031,1393,248316,1417,715,435,179760,1410,179248,1490,512,295,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,651779,4776,36892,1474,35924,1584,968,553,91071,2212,86594,2794,4477,1697,49499,1941,44362,2093,5137,1466,76203,1677,68182,2447,8021,1809,70233,1217,62972,1794,7261,1689,83130,1416,76980,1572,6150,1805,100910,1015,97014,1381,3896,1131,85533,642,85237,528,296,389,58308,892,58308,892,0,200,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4585781,8128,308284,3476,301517,3694,6767,1487,705576,4951,683053,5514,22523,2866,381493,4521,361611,4887,19882,2382,529503,4529,495250,4643,34253,3028,572368,2483,543553,3231,28815,2420,591025,2019,563862,2350,27163,2015,687128,1595,663899,2559,23229,1958,473119,1220,472487,1244,632,306,337285,1218,336371,1260,914,565,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
