GEO_ID,C17007_001E,C17007_001M,C17007_002E,C17007_002M,C17007_003E,C17007_003M,C17007_004E,C17007_004M,C17007_005E,C17007_005M,C17007_006E,C17007_006M,C17007_007E,C17007_007M,NAME,C17007_001EA,C17007_001MA,C17007_002EA,C17007_002MA,C17007_003EA,C17007_003MA,C17007_004EA,C17007_004MA,C17007_005EA,C17007_005MA,C17007_006EA,C17007_006MA,C17007_007MA,C17007_007EA,state
0400000US08,1238639,18602,242910,7984,107593,5843,135317,6127,995729,17342,527483,13276,468246,9343,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1294197,17757,323776,9513,146218,6727,177558,6858,970421,15289,492965,10909,477456,8961,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,846243,14953,252184,10751,110337,6225,141847,7456,594059,12051,298632,7955,295427,7441,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,884152,16985,273853,10602,113816,6748,160037,6750,610299,12128,309800,8774,300499,8601,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2435330,26325,578642,11989,254018,8986,324624,8516,1856688,25332,931496,15108,925192,14229,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,662587,12175,156741,6529,67629,4271,89112,4707,505846,10281,260932,6605,244914,6138,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,278164,8853,48196,3754,21991,2676,26205,2857,229968,7329,117677,5312,112291,4024,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,544045,13395,164012,7991,65801,5028,98211,5370,380033,11152,191970,7527,188063,6186,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,184854,8660,44222,4108,20211,2681,24011,2611,140632,7343,67232,4436,73400,4752,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1173442,14455,248817,8433,112288,5707,136529,5515,924625,12440,473656,8190,450969,8758,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,241394,6801,64733,4179,31028,2753,33705,3054,176661,6553,90960,4530,85701,4229,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,326782,8813,78734,4077,34496,2936,44238,3083,248048,7711,121727,5202,126321,5406,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,1963669,25744,486951,13555,207200,8593,279751,10062,1476718,21896,722204,15802,754514,13539,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,1828218,27180,451443,13624,188963,7533,262480,9362,1376775,22677,702127,15634,674648,14219,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,152663,5577,30876,2723,16394,2095,14482,1815,121787,5625,68526,4197,53261,3224,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,860676,18425,264662,10290,112137,6303,152525,6929,596014,13843,294632,10862,301382,8615,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,152543,5379,36801,3120,17767,2243,19034,2110,115742,4584,55095,3017,60647,2730,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,640756,13793,151061,7159,67272,4685,83789,5396,489695,11822,265018,8420,224677,7491,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,371258,9898,114963,6328,52573,3434,62390,4797,256295,8424,128500,4948,127795,5493,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,716497,10438,200842,6568,92789,4400,108053,4918,515655,9072,266226,5956,249429,5287,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,1253231,13393,284977,8606,126871,5866,158106,6552,968254,12047,495405,8791,472849,7291,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,541356,11430,301209,9244,127704,5143,173505,6834,240147,7965,120937,5312,119210,5507,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,1609277,24294,369889,13275,160432,7606,209457,9009,1239388,21780,619252,13592,620136,13296,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
