GEO_ID,C15002B_001E,C15002B_001M,C15002B_002E,C15002B_002M,C15002B_003E,C15002B_003M,C15002B_004E,C15002B_004M,C15002B_005E,C15002B_005M,C15002B_006E,C15002B_006M,C15002B_007E,C15002B_007M,C15002B_008E,C15002B_008M,C15002B_009E,C15002B_009M,C15002B_010E,C15002B_010M,C15002B_011E,C15002B_011M,NAME,C15002B_001EA,C15002B_001MA,C15002B_002EA,C15002B_002MA,C15002B_003EA,C15002B_003MA,C15002B_004EA,C15002B_004MA,C15002B_005EA,C15002B_005MA,C15002B_006EA,C15002B_006MA,C15002B_007MA,C15002B_007EA,C15002B_008MA,C15002B_008EA,C15002B_009EA,C15002B_009MA,C15002B_010EA,C15002B_010MA,C15002B_011EA,C15002B_011MA,state
0400000US08,155288,3428,83214,2447,8522,1968,24174,2926,28891,3294,21627,2990,72074,2736,7245,1852,18647,2571,23489,2490,22693,2978,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,389196,4067,179286,2782,27563,2769,69898,3868,52873,3513,28952,3549,209910,3069,28347,2887,60796,3570,78227,4588,42540,3827,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,225431,4023,108999,2729,15896,2221,38710,3246,37409,3142,16984,2598,116432,2894,14581,1944,35730,3373,44491,3195,21630,2546,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,944575,5291,429697,3824,98232,5534,178432,6987,105326,6242,47707,3872,514878,3437,80657,5106,182202,7323,155539,7885,96480,4913,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1165832,6368,523594,3997,80301,4635,174629,6887,170475,6611,98189,5319,642238,4103,76422,4465,166380,6363,245204,6324,154232,6664,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,60284,2473,31054,1672,4113,1220,12896,2115,9158,1448,4887,1204,29230,1935,4397,1108,8252,1395,11116,2027,5465,1416,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,13486,1838,8470,1496,1421,515,2633,987,2343,779,2073,1007,5016,1080,977,546,1661,624,1475,639,903,440,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,281315,3692,126861,2567,19410,2147,55991,3565,36578,3107,14882,2016,154454,2350,24374,2591,49714,3035,52919,3763,27447,2969,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,139255,1692,62065,1311,7769,1543,27857,2619,15649,2091,10790,1679,77190,1048,7757,1602,29385,2942,19867,2458,20181,2276,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,201642,3323,99850,2574,16116,1989,26409,2950,34842,3254,22483,2433,101792,2330,21605,2389,22661,2679,35113,3176,22413,2475,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
