GEO_ID,B19215_001E,B19215_001M,B19215_002E,B19215_002M,B19215_003E,B19215_003M,B19215_004E,B19215_004M,B19215_005E,B19215_005M,B19215_006E,B19215_006M,B19215_007E,B19215_007M,B19215_008E,B19215_008M,B19215_009E,B19215_009M,B19215_010E,B19215_010M,B19215_011E,B19215_011M,B19215_012E,B19215_012M,B19215_013E,B19215_013M,B19215_014E,B19215_014M,B19215_015E,B19215_015M,NAME,B19215_001EA,B19215_001MA,B19215_002EA,B19215_002MA,B19215_003EA,B19215_003MA,B19215_004EA,B19215_004MA,B19215_005EA,B19215_005MA,B19215_006MA,B19215_006EA,B19215_007MA,B19215_007EA,B19215_008EA,B19215_008MA,B19215_009EA,B19215_009MA,B19215_010EA,B19215_010MA,B19215_011EA,B19215_011MA,B19215_012EA,B19215_012MA,B19215_013EA,B19215_013MA,B19215_014EA,B19215_014MA,B19215_015MA,B19215_015EA,state
0400000US30,32388,1431,36269,2830,29316,1545,30744,2048,26426,2524,58764,3684,58618,3742,64602,25218,30173,2001,25508,1786,29370,2756,22273,1242,60855,6391,60019,7244,66590,26393,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,32671,1431,36861,2522,29290,2291,31293,2917,26592,2420,68548,3890,69777,4011,54759,8587,30056,1302,24091,1227,30626,1722,20848,1278,67286,4265,65899,4542,69471,14810,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,33347,658,38803,1188,33754,1578,36891,804,25284,1043,60873,2052,60849,1995,61477,12237,29682,686,26333,605,32068,882,22078,605,56811,3041,57622,3161,50654,4832,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,36155,682,42384,1047,37635,1368,41410,1026,25492,1741,67307,3288,68375,2901,48513,13312,30792,691,27174,750,32390,1220,22624,607,59852,3516,61181,3365,45066,13124,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,49061,3318,51621,2585,42531,3692,44028,5883,38925,9084,84494,14408,87230,13995,61088,36291,45325,5850,38281,2919,47135,7473,29776,4259,68722,7625,69425,5733,54780,20531,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,26208,685,31930,1011,29155,1905,31812,1134,22589,1240,56748,5967,57409,6657,50833,11476,22514,730,21072,622,22129,963,19902,796,42841,3771,41259,4833,55161,10468,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,36364,1856,37049,2687,31352,2616,34950,4299,24444,3940,61714,5812,62360,6758,53517,18316,35751,2476,30299,1834,35515,4703,25896,2017,61528,7681,59456,7226,71875,27244,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,38643,1541,41949,1271,34922,1924,36924,1788,28663,3066,72598,2908,74535,3434,53216,8645,35026,1341,30826,1175,35646,1778,26013,1179,61345,4756,65785,5509,46786,5131,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,25447,822,29406,1558,26200,1337,27982,2481,24577,2068,47607,9102,47699,10194,44773,13735,22699,1021,21110,862,22483,2169,19999,1114,39541,7937,38796,7651,48500,13067,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,31278,489,36355,1002,32020,782,34487,1594,26325,1448,57170,3058,57319,3237,55557,9919,27154,844,24623,784,27881,1664,22646,692,49228,3455,49935,3848,43013,5343,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,35999,476,41875,747,36310,698,40151,911,28435,1017,68215,2688,69941,2597,57750,4125,30648,590,26679,550,32277,994,22973,635,60255,2776,61594,3116,48505,7235,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,12222,382,13778,640,12400,647,14189,1241,10829,753,25419,2432,26622,4078,21637,6173,11260,420,10489,437,11043,949,10228,424,25194,3272,25401,4456,24676,6052,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,43252,991,50728,1003,43173,2013,47758,2146,31716,1943,83027,3787,85583,3136,61603,16039,38123,1468,33541,1006,43027,1585,25478,894,70542,3184,70870,3081,66158,10178,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,39289,1799,45223,2742,41114,1737,44266,4520,30452,5714,61083,8656,61181,8917,56766,35781,32106,2890,28434,2257,35438,3977,23125,1789,53492,10044,53040,12351,85752,17698,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,30962,576,35113,1454,30606,922,31903,918,26179,1994,57627,5224,56234,5247,69563,12003,27672,1069,24676,1071,29570,1677,20847,1053,54971,3465,56315,3692,49295,5573,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,39377,860,44611,2146,34663,1886,36976,2451,30169,1784,68406,3482,71051,4243,54886,8178,36303,985,30302,920,36861,1374,25752,1029,60238,4566,63050,6297,52219,6568,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,35631,2531,41786,3973,36542,3211,38539,4527,32580,4829,69237,13539,69852,13565,62868,30050,29417,2269,26426,2025,29426,4378,24025,4764,60480,10096,61321,9012,35673,41204,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,48563,658,56309,888,45691,834,51705,528,32028,834,90965,2022,92914,2512,75912,6324,41269,643,33422,934,44238,1689,26170,634,81483,2058,85742,2410,64073,4213,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,24987,881,29837,1781,26348,1381,27843,2292,22087,2085,47468,9865,50311,10979,44013,10715,21555,1075,20369,1076,21463,1492,19437,1319,38856,5769,38390,5727,43208,14020,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,43412,1366,51370,1406,44161,2212,49684,4020,33070,4251,89577,7123,91551,7162,68501,7302,37692,1644,33384,1426,41883,1889,28019,1310,81823,7765,82277,7516,74719,22733,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,37848,587,43523,1110,38804,1177,41803,588,27566,1187,69776,2482,71035,2440,59442,8153,32414,700,29011,720,36115,841,22448,457,61097,2103,62153,2798,50819,5098,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,50776,751,56678,1848,48611,1863,51998,1792,38943,1781,96242,3654,97853,3377,78196,7517,45540,1426,40492,1145,50521,1243,29693,1336,85803,5201,87392,6177,78971,11420,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,34769,498,40806,564,35206,549,38807,1375,28832,1190,67553,2225,70420,2049,54930,5149,30357,447,26219,451,32300,696,22753,537,58809,2001,60230,2602,53541,4493,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,45392,952,54193,2411,42455,1773,50507,1340,28067,1878,98430,4330,101394,3232,68517,12133,38632,1354,30690,974,41738,1390,24500,858,95227,5339,99415,5401,71440,8602,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,71189,2664,80259,4580,65554,7347,72625,5453,33424,11372,145179,16195,152540,9431,69941,33246,62434,6803,53036,5645,66435,7636,30546,5570,130421,7974,131519,7000,79122,75855,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,41265,1031,47777,2301,42211,1819,44819,2922,33863,3108,70243,6888,70435,6863,64688,29151,33237,2003,29258,1513,31665,2678,27256,1522,56162,4381,55195,3968,75655,20950,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,41092,438,49277,1141,39954,978,45943,1194,28016,1079,91421,2374,94468,3574,66057,4856,35613,688,30044,583,41136,920,23047,400,84490,2923,88120,3339,63855,5789,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,45866,935,55993,1578,46565,1873,53361,2380,32391,2037,96442,4626,98942,5204,81993,7827,38589,1032,33935,885,49440,2210,26818,917,86090,5745,92710,4690,70607,5070,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,33107,519,38597,828,33504,787,36409,796,27839,1077,62554,2054,63820,2490,52328,4460,29112,627,25980,462,30806,767,23029,513,57910,3055,58124,3219,56222,9519,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,32471,550,37816,1200,32491,961,36146,1265,26071,1270,60976,2344,61160,2367,59057,5887,29256,863,26167,632,30366,691,22771,746,53968,2642,54765,2598,49258,4935,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,33975,567,40856,561,35343,668,40348,797,26743,766,71044,2309,73191,1837,51478,3650,29237,609,26001,433,32221,907,22809,411,61224,1723,61975,2010,57345,5384,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,33270,501,38366,915,33946,912,36334,816,29828,1201,61756,2208,62493,2501,56864,3183,29664,600,26584,531,30730,670,24081,515,53471,2315,53703,2616,52400,3632,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
