GEO_ID,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M,NAME,B19001_001EA,B19001_001MA,B19001_002EA,B19001_002MA,B19001_003EA,B19001_003MA,B19001_004EA,B19001_004MA,B19001_005EA,B19001_005MA,B19001_006EA,B19001_006MA,B19001_007EA,B19001_007MA,B19001_008EA,B19001_008MA,B19001_009EA,B19001_009MA,B19001_010EA,B19001_010MA,B19001_011MA,B19001_011EA,B19001_012EA,B19001_012MA,B19001_013EA,B19001_013MA,B19001_014EA,B19001_014MA,B19001_015EA,B19001_015MA,B19001_016EA,B19001_016MA,B19001_017EA,B19001_017MA,state
0400000US08,2176757,7548,105586,5632,70926,4825,72175,3888,83876,4016,74956,5007,87127,4889,84288,4468,86907,5069,82438,4730,158913,5609,222283,7151,297089,8579,229270,6130,151981,5988,179501,6362,189441,6218,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,2599169,10447,159391,6516,114524,4782,125482,5934,134723,5971,121949,5311,139083,5175,123745,5423,129561,5407,112909,5549,219818,7089,281837,8563,355463,8546,223160,8131,135223,5173,121121,4921,101180,4772,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1732713,8718,145630,6384,96738,4039,93999,4944,94964,5010,92196,4954,95711,4520,86612,4597,82543,4568,73744,4309,138742,5451,171351,6316,204609,6485,134610,4711,81981,4511,70071,3528,69212,3848,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1737220,10627,162460,6730,103020,5395,107839,5440,112377,5965,94200,5366,92737,5393,83101,5193,71996,4509,66803,4521,123309,6036,152877,6628,192211,6571,131968,6562,81551,4460,83523,4664,77248,4283,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,4864864,12677,309799,10278,187148,7230,196778,7935,230715,8107,199822,6392,212845,6564,191290,6602,198978,6706,174986,6363,348760,7947,488167,10271,607741,11135,465929,10108,297668,8644,352091,9015,402147,8753,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1267873,7772,69432,3804,54690,3324,55490,3530,58727,3080,56864,3548,62828,4004,57372,3319,60604,3816,53825,3196,104449,5166,139857,4455,181944,5667,118937,4348,71122,3745,62459,3797,59273,3087,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,531212,5670,22512,2562,17139,2119,20855,2228,20039,2245,20846,2440,21696,2255,17850,1752,21780,2439,16577,1511,36323,3017,50014,3206,73167,4102,57624,3891,41832,2930,44619,2654,48339,3572,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1156347,7393,94571,5636,70128,3895,67127,4015,74669,4525,65034,4350,65082,4116,61532,3639,56945,3437,57006,3857,95318,5201,110606,5432,122162,5888,84215,4050,46656,2955,43601,3708,41695,3566,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,367671,3933,22040,2559,14567,1725,12155,1904,18515,2251,17266,2228,17000,2106,13796,1953,14614,1879,13958,2021,27049,2663,39991,3469,50462,3511,35909,2590,21962,2350,24090,2354,24297,2193,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2194452,6925,97476,4203,83144,3593,75410,3919,85693,4009,82942,3709,91403,4287,91921,4182,89222,4140,84109,3604,160285,4766,222344,6568,303312,6682,231763,5090,159943,4523,168197,5415,167288,4596,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
