GEO_ID,C17006_001E,C17006_001M,C17006_002E,C17006_002M,C17006_003E,C17006_003M,C17006_004E,C17006_004M,C17006_005E,C17006_005M,C17006_006E,C17006_006M,C17006_007E,C17006_007M,NAME,C17006_001EA,C17006_001MA,C17006_002MA,C17006_002EA,C17006_003MA,C17006_003EA,C17006_004MA,C17006_004EA,C17006_005EA,C17006_005MA,C17006_006EA,C17006_006MA,C17006_007EA,C17006_007MA,state
0400000US08,1247488,3719,143078,10784,49947,7382,93131,7946,1104410,10994,867068,13199,237342,11200,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1521430,6455,265735,12411,81127,8937,184608,10977,1255695,14029,925919,16114,329776,14039,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,976217,4762,221371,11904,76662,6823,144709,10346,754846,11288,569437,10394,185409,9985,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1080523,3483,281354,12812,52941,7700,228413,12926,799169,13184,552594,13303,246575,12821,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2806387,4556,446282,18205,124716,10682,321566,17108,2360105,18921,1763004,20878,597101,15483,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,715678,2894,93518,7363,24969,4255,68549,6204,622160,7280,470268,9201,151892,8342,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,250778,2248,25523,4204,4885,1798,20638,4028,225255,4464,175008,5974,50247,4607,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,687279,3175,167359,10364,46387,5560,120972,8836,519920,10411,384502,10600,135418,7267,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,198163,1522,36594,5073,10458,3059,26136,4304,161569,5382,113045,5078,48524,4805,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1274187,3345,144080,8944,47712,5773,96368,7429,1130107,8902,880502,10852,249605,8512,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,222565,2188,33828,4029,13611,2910,20217,3084,188737,4120,149806,4902,38931,4072,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,238546,2223,32908,3742,9783,2494,23125,3216,205638,3923,156223,5380,49415,4523,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2243200,6317,441949,16555,130001,9336,311948,16293,1801251,16715,1334260,17861,466991,18272,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,2452439,7815,494416,18775,127505,10694,366911,18245,1958023,19310,1402762,22293,555261,20998,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,179037,1221,24235,3911,9682,2473,14553,3077,154802,3732,121297,4504,33505,3852,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,1066361,4667,251471,9718,63002,7158,188469,9796,814890,10426,606419,12854,208471,10827,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,111399,1215,12329,2242,4393,1351,7936,1939,99070,2291,74855,3256,24215,2628,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,673541,2948,116468,7045,39075,5912,77393,6795,557073,7525,379532,9208,177541,8788,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,351417,2826,84482,7389,31488,5222,52994,5828,266935,7468,199949,7992,66986,5022,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
