GEO_ID,B14007H_001E,B14007H_001M,B14007H_002E,B14007H_002M,B14007H_003E,B14007H_003M,B14007H_004E,B14007H_004M,B14007H_005E,B14007H_005M,B14007H_006E,B14007H_006M,B14007H_007E,B14007H_007M,B14007H_008E,B14007H_008M,B14007H_009E,B14007H_009M,B14007H_010E,B14007H_010M,B14007H_011E,B14007H_011M,B14007H_012E,B14007H_012M,B14007H_013E,B14007H_013M,B14007H_014E,B14007H_014M,B14007H_015E,B14007H_015M,B14007H_016E,B14007H_016M,B14007H_017E,B14007H_017M,B14007H_018E,B14007H_018M,B14007H_019E,B14007H_019M,NAME,B14007H_001EA,B14007H_001MA,B14007H_002EA,B14007H_002MA,B14007H_003EA,B14007H_003MA,B14007H_004EA,B14007H_004MA,B14007H_005EA,B14007H_005MA,B14007H_006EA,B14007H_006MA,B14007H_007MA,B14007H_007EA,B14007H_008EA,B14007H_008MA,B14007H_009EA,B14007H_009MA,B14007H_010EA,B14007H_010MA,B14007H_011EA,B14007H_011MA,B14007H_012EA,B14007H_012MA,B14007H_013EA,B14007H_013MA,B14007H_014EA,B14007H_014MA,B14007H_015EA,B14007H_015MA,B14007H_016EA,B14007H_016MA,B14007H_017EA,B14007H_017MA,B14007H_018MA,B14007H_018EA,B14007H_019EA,B14007H_019MA,state
0400000US08,3750454,4317,828026,8599,58947,3131,39603,2597,35432,2538,38478,3078,40561,2973,38948,2693,40641,2831,41292,2410,39079,2370,40089,2615,41462,2950,40397,2574,40279,2764,40607,2907,191374,6248,60837,4024,2922428,8305,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5092854,5938,1180509,9317,73167,3935,59248,4328,58758,4177,59071,3105,64438,4211,58253,3617,61891,3471,62293,3291,60360,4062,64452,3539,67949,3480,64997,3443,59817,3685,64173,3624,253137,6722,48505,3684,3912345,10122,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3646425,3850,831258,7822,52007,3234,39254,2812,40672,3282,44721,3050,43163,3588,44762,2958,45749,3261,42971,3411,43851,3123,48751,3265,44594,3255,45430,2679,43725,2695,43540,3230,166393,5825,41675,3753,2815167,8026,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2632184,4251,588885,6716,39134,3280,29893,3092,32789,2844,28867,3171,31113,2671,30191,2777,31231,2928,32093,3194,31793,2995,29572,2839,32955,2970,28587,2405,32310,2977,32197,2860,117470,5924,28690,3169,2043299,7409,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,7528979,6424,1659034,10717,117101,4452,73897,4522,76351,3799,73629,3339,77705,3724,82919,4070,81974,4186,83023,3199,84036,3817,84629,3814,84037,4509,89171,3376,85985,3156,90249,3679,360193,8382,114135,6540,5869945,10730,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2606817,3328,616095,5957,40731,2446,31980,2547,29266,2216,31561,2592,30868,2034,29003,2465,35377,2224,32680,1850,32013,1993,31575,2078,31245,2244,33081,1794,31901,1960,33113,2362,134571,5039,27130,2232,1990722,6605,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1186796,2089,255316,4240,16657,1896,10290,1837,13057,1890,12468,1573,10503,1646,11583,1546,12074,1754,12471,1582,13189,1670,13627,1694,12443,1694,14732,1724,12589,1507,15941,1944,60041,3010,13651,1768,931480,4644,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2104061,2436,464914,5958,28125,2477,22552,2317,23080,2632,24938,2292,26476,2451,23378,2383,27404,2457,24909,2704,24371,2625,25115,2779,23142,2215,25099,2079,24642,1995,23611,2365,96766,4809,21306,2698,1639147,6230,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,582523,1426,115339,2881,7093,1477,3938,995,5513,1254,4810,1059,4986,1118,5384,1190,6541,1325,5883,1441,5199,983,7143,1304,6108,1554,6381,1201,6297,943,5957,1086,27990,2281,6116,1288,467184,2954,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4309171,3293,976861,7664,72132,3339,44800,2417,45080,2264,49376,2900,45441,1941,49960,2765,47232,2553,49128,2801,50242,2490,55420,3069,52144,2508,51834,2545,48446,2357,57598,2829,203996,5766,54032,3061,3332310,7429,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
