C27003_017E,C27003_017M,C27003_018E,C27003_018M,C27003_019E,C27003_019M,C27003_020E,C27003_020M,C27003_021E,C27003_021M,GEO_ID,C27003_001E,C27003_001M,C27003_002E,C27003_002M,C27003_003E,C27003_003M,C27003_004E,C27003_004M,C27003_005E,C27003_005M,C27003_006E,C27003_006M,C27003_007E,C27003_007M,C27003_008E,C27003_008M,C27003_009E,C27003_009M,C27003_010E,C27003_010M,C27003_011E,C27003_011M,C27003_012E,C27003_012M,C27003_013E,C27003_013M,C27003_014E,C27003_014M,C27003_015E,C27003_015M,C27003_016E,C27003_016M,C27003_017EA,C27003_017MA,C27003_018EA,C27003_018MA,C27003_019EA,C27003_019MA,C27003_020EA,C27003_020MA,C27003_021EA,C27003_021MA,NAME,C27003_001EA,C27003_001MA,C27003_002EA,C27003_002MA,C27003_003EA,C27003_003MA,C27003_004EA,C27003_004MA,C27003_005EA,C27003_005MA,C27003_006EA,C27003_006MA,C27003_007EA,C27003_007MA,C27003_008EA,C27003_008MA,C27003_009EA,C27003_009MA,C27003_010EA,C27003_010MA,C27003_011EA,C27003_011MA,C27003_012EA,C27003_012MA,C27003_013EA,C27003_013MA,C27003_014EA,C27003_014MA,C27003_015MA,C27003_015EA,C27003_016EA,C27003_016MA,state
313630,9162,1410969,10235,429074,1808,410987,2931,18087,2150,0400000US08,5604105,2082,2794853,5393,689479,4825,236318,9649,453161,9918,1740818,4923,294806,8852,1446012,9105,364556,1466,349784,2252,14772,1669,2809252,4984,655579,5202,226169,8671,429410,7701,1724599,4440,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
364293,10490,1620827,10414,566217,2122,551887,3052,14330,1908,0400000US18,6592504,1089,3231118,5706,850327,5407,296863,9540,553464,10231,1931120,5133,300121,8979,1630999,10472,449671,2582,435189,2933,14482,1796,3361386,5708,810049,5289,278783,10279,531266,11395,1985120,4474,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
395632,8287,937467,9418,393880,2043,384248,2609,9632,1562,0400000US21,4388204,1183,2142570,5021,547439,4809,252264,8091,295175,7851,1279495,3802,343229,8777,936266,9210,315636,1680,306892,2117,8744,1326,2245634,5101,518655,4640,226759,7373,291896,7095,1333099,4411,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
423951,10577,981073,11958,392258,2581,376742,3262,15516,1962,0400000US22,4556078,1982,2194791,6928,596489,6078,317854,8279,278635,7636,1291675,5183,310494,10530,981181,10344,306627,2448,293546,3121,13081,1944,2361287,6963,564005,6317,300842,9083,263163,8332,1405024,4938,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
736187,13011,3119920,14528,1079811,3233,1032388,4122,47423,2898,0400000US17,12563908,1621,6148424,5170,1548178,5049,565283,11555,982895,11681,3754521,4868,567030,10355,3187491,10689,845725,2427,804041,3651,41684,3069,6415484,5220,1479566,5816,550022,10887,929544,11253,3856107,5191,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
173140,5829,735664,6046,283238,1719,277179,2060,6059,1178,0400000US19,3113029,531,1540690,3831,400465,4034,144502,6381,255963,6372,907758,3810,144479,6733,763279,7354,232467,1499,225178,1978,7289,1276,1572339,3755,380297,3470,137438,4828,242859,4782,908804,2992,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
64970,3813,348147,4530,127860,1097,123019,1445,4841,1059,0400000US33,1339549,562,659292,2375,140627,1960,40785,3245,99842,3370,409590,2410,57773,3943,351817,4563,109075,974,104320,1525,4755,1172,680257,2304,139280,2217,41158,3371,98122,3728,413117,2064,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
240791,6610,641348,7399,269034,1977,264098,2346,4936,1096,0400000US05,2960503,988,1441597,4491,379021,4173,194460,6429,184561,6749,840718,4243,195191,6580,645527,7467,221858,1991,216975,2367,4883,1160,1518906,4340,367733,3729,195836,6403,171897,5652,882139,3631,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
68415,4509,223132,4576,97128,703,94427,968,2701,667,0400000US10,952211,1135,456419,2074,108013,1518,42113,3032,65900,3114,268647,1688,56715,4558,211932,4289,79759,817,77452,973,2307,807,495792,1400,107117,1727,39561,3648,67556,3495,291547,1196,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
306714,7276,1348857,7294,464725,2044,451094,2348,13631,1485,0400000US27,5553564,740,2761536,3436,704382,3619,221864,7392,482518,6877,1663527,3713,272438,7212,1391089,7772,393627,1810,381039,2190,12588,1569,2792028,3590,671732,3241,210321,7069,461411,7476,1655571,3428,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
