GEO_ID,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M,NAME,B14005_001MA,B14005_001EA,B14005_002MA,B14005_002EA,B14005_003MA,B14005_003EA,B14005_004MA,B14005_004EA,B14005_005MA,B14005_005EA,B14005_006MA,B14005_006EA,B14005_007MA,B14005_007EA,B14005_008MA,B14005_008EA,B14005_009MA,B14005_009EA,B14005_010MA,B14005_010EA,B14005_011MA,B14005_011EA,B14005_012MA,B14005_012EA,B14005_013MA,B14005_013EA,B14005_014MA,B14005_014EA,B14005_015MA,B14005_015EA,B14005_016MA,B14005_016EA,B14005_017MA,B14005_017EA,B14005_018MA,B14005_018EA,B14005_019MA,B14005_019EA,B14005_020MA,B14005_020EA,B14005_021MA,B14005_021EA,B14005_022EA,B14005_022MA,B14005_023MA,B14005_023EA,B14005_024MA,B14005_024EA,B14005_025MA,B14005_025EA,B14005_026MA,B14005_026EA,B14005_027MA,B14005_027EA,B14005_028MA,B14005_028EA,B14005_029MA,B14005_029EA,state
0400000US08,295740,5846,154030,4097,126450,4991,44604,3320,7219,1397,74627,4477,27580,2940,20611,2569,14294,1951,2800,972,3517,1224,6969,1637,2697,913,1048,619,3224,1127,141710,3893,120245,3788,45350,3123,7240,1333,67655,4060,21465,2472,17655,2245,11630,1730,2039,869,3986,1151,3810,1205,2161,968,128,148,1521,815,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,369821,6108,192865,5254,161176,4604,49407,3814,7662,1445,104107,4164,31689,2921,21071,2403,15229,2071,2105,721,3737,1188,10618,1840,4600,1086,811,446,5207,1151,176956,4626,152847,4622,58832,3663,9213,1494,84802,4069,24109,2370,15969,2025,11179,1606,1992,815,2798,814,8140,1576,3619,1054,906,610,3615,884,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,231896,5029,120137,3523,98673,3524,30632,2638,5964,1310,62077,3014,21464,2589,15920,2071,9612,1438,2474,822,3834,1114,5544,1365,2110,802,756,497,2678,888,111759,3720,94172,3388,37518,2830,5306,1390,51348,2793,17587,2286,13543,2282,7371,1740,1286,533,4886,1302,4044,1014,541,336,280,261,3223,946,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,248235,6510,131565,4810,104396,5084,17685,2401,7021,1553,79690,4554,27169,2994,19228,2455,8579,1714,4365,1265,6284,1560,7941,1612,1254,783,1148,521,5539,1344,116670,5173,99035,5110,26163,3264,4704,1349,68168,4907,17635,2624,14143,2433,6746,2079,1802,854,5595,1595,3492,950,277,313,352,314,2863,892,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,670902,6868,344866,5162,294162,5190,82271,4097,18288,2429,193603,5197,50704,3417,37025,2974,23510,2423,4594,931,8921,1596,13679,2105,5582,1386,2653,994,5444,1277,326036,5282,288494,6275,94078,4366,15150,1990,179266,5640,37542,3528,28604,3201,17873,2462,4330,1429,6401,1667,8938,1453,3916,834,1302,492,3720,1019,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,181653,4638,94765,3730,81180,3552,32644,2376,4275,1150,44261,3268,13585,1787,9129,1694,6471,1270,939,603,1719,726,4456,898,2356,774,139,169,1961,686,86888,2562,75192,2716,35689,2530,4485,973,35018,2031,11696,1538,8504,1405,5371,999,1236,604,1897,690,3192,702,1223,449,449,327,1520,525,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,73720,2450,35692,1574,29988,1931,11416,1582,1503,654,17069,1940,5704,1102,4765,1033,3541,925,845,694,379,231,939,493,465,378,111,139,363,258,38028,2002,33087,2060,15618,1641,1057,460,16412,1576,4941,1567,4348,1467,3619,1428,67,103,662,436,593,415,116,155,0,192,477,396,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,167921,5758,85166,3540,67141,3598,16915,2176,3470,1005,46756,3379,18025,2283,13334,2040,7292,1347,1745,882,4297,1160,4691,990,1712,775,308,258,2671,738,82755,4148,68313,3656,16302,2079,3932,1268,48079,3273,14442,2097,10775,1779,5838,1324,809,376,4128,1107,3667,1099,941,652,762,433,1964,888,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,49046,1825,24376,1383,21087,1462,5383,878,1510,592,14194,1492,3289,805,2349,690,1569,584,300,303,480,328,940,431,468,354,14,24,458,295,24670,1436,22357,1443,8897,1374,1373,678,12087,1377,2313,758,1349,621,1114,593,63,73,172,123,964,505,663,452,0,200,301,307,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,283170,3783,146604,3329,128908,3356,52040,2425,6427,1030,70441,2996,17696,1812,12031,1636,7694,1331,954,432,3383,908,5665,1168,3284,920,335,241,2046,686,136566,2482,122410,2918,63736,3158,4138,803,54536,2971,14156,1826,10341,1526,7107,1290,673,362,2561,778,3815,958,1545,544,622,503,1648,650,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
