B24022_023M,B24022_024E,B24022_024M,B24022_025E,B24022_025M,B24022_026E,B24022_026M,B24022_027E,B24022_027M,B24022_028E,B24022_028M,B24022_029E,B24022_029M,B24022_030E,B24022_030M,B24022_031E,B24022_031M,B24022_032E,B24022_032M,B24022_033E,B24022_033M,B24022_034E,B24022_034M,B24022_035E,B24022_035M,B24022_036E,B24022_036M,B24022_037E,B24022_037M,B24022_038E,B24022_038M,B24022_039E,B24022_039M,B24022_040E,B24022_040M,B24022_041E,B24022_041M,B24022_042E,B24022_042M,B24022_043E,B24022_043M,B24022_044E,B24022_044M,B24022_045E,B24022_045M,B24022_046E,B24022_046M,B24022_047E,B24022_047M,B24022_048E,B24022_048M,B24022_049E,B24022_049M,B24022_050E,B24022_050M,B24022_051E,B24022_051M,B24022_052E,B24022_052M,B24022_053E,B24022_053M,B24022_054E,B24022_054M,B24022_055E,B24022_055M,B24022_056E,B24022_056M,B24022_057E,B24022_057M,B24022_058E,B24022_058M,B24022_059E,B24022_059M,B24022_060E,B24022_060M,B24022_061E,B24022_061M,B24022_062E,B24022_062M,B24022_063E,B24022_063M,B24022_064E,B24022_064M,B24022_065E,B24022_065M,B24022_066E,B24022_066M,B24022_067E,B24022_067M,B24022_068E,B24022_068M,B24022_069E,B24022_069M,B24022_070E,B24022_070M,B24022_071E,B24022_071M,B24022_072E,B24022_072M,B24022_073E,B24022_073M,GEO_ID,B24022_001E,B24022_001M,B24022_002E,B24022_002M,B24022_003E,B24022_003M,B24022_004E,B24022_004M,B24022_005E,B24022_005M,B24022_006E,B24022_006M,B24022_007E,B24022_007M,B24022_008E,B24022_008M,B24022_009E,B24022_009M,B24022_010E,B24022_010M,B24022_011E,B24022_011M,B24022_012E,B24022_012M,B24022_013E,B24022_013M,B24022_014E,B24022_014M,B24022_015E,B24022_015M,B24022_016E,B24022_016M,B24022_017E,B24022_017M,B24022_018E,B24022_018M,B24022_019E,B24022_019M,B24022_020E,B24022_020M,B24022_021E,B24022_021M,B24022_022E,B24022_022M,B24022_023E,B24022_023MA,B24022_024MA,B24022_024EA,B24022_025MA,B24022_025EA,B24022_026MA,B24022_026EA,B24022_027MA,B24022_027EA,B24022_028EA,B24022_028MA,B24022_029EA,B24022_029MA,B24022_030EA,B24022_030MA,B24022_031MA,B24022_031EA,B24022_032EA,B24022_032MA,B24022_033EA,B24022_033MA,B24022_034EA,B24022_034MA,B24022_035EA,B24022_035MA,B24022_036MA,B24022_036EA,B24022_037MA,B24022_037EA,B24022_038EA,B24022_038MA,B24022_039EA,B24022_039MA,B24022_040EA,B24022_040MA,B24022_041MA,B24022_041EA,B24022_042MA,B24022_042EA,B24022_043EA,B24022_043MA,B24022_044EA,B24022_044MA,B24022_045EA,B24022_045MA,B24022_046MA,B24022_046EA,B24022_047MA,B24022_047EA,B24022_048EA,B24022_048MA,B24022_049EA,B24022_049MA,B24022_050EA,B24022_050MA,B24022_051EA,B24022_051MA,B24022_052EA,B24022_052MA,B24022_053MA,B24022_053EA,B24022_054EA,B24022_054MA,B24022_055MA,B24022_055EA,B24022_056EA,B24022_056MA,B24022_057EA,B24022_057MA,B24022_058MA,B24022_058EA,B24022_059MA,B24022_059EA,B24022_060MA,B24022_060EA,B24022_061EA,B24022_061MA,B24022_062EA,B24022_062MA,B24022_063MA,B24022_063EA,B24022_064MA,B24022_064EA,B24022_065EA,B24022_065MA,B24022_066EA,B24022_066MA,B24022_067EA,B24022_067MA,B24022_068MA,B24022_068EA,B24022_069MA,B24022_069EA,B24022_070MA,B24022_070EA,B24022_071EA,B24022_071MA,B24022_072EA,B24022_072MA,B24022_073MA,B24022_073EA,NAME,B24022_001EA,B24022_001MA,B24022_002EA,B24022_002MA,B24022_003MA,B24022_003EA,B24022_004MA,B24022_004EA,B24022_005MA,B24022_005EA,B24022_006EA,B24022_006MA,B24022_007EA,B24022_007MA,B24022_008MA,B24022_008EA,B24022_009MA,B24022_009EA,B24022_010EA,B24022_010MA,B24022_011EA,B24022_011MA,B24022_012EA,B24022_012MA,B24022_013MA,B24022_013EA,B24022_014MA,B24022_014EA,B24022_015MA,B24022_015EA,B24022_016EA,B24022_016MA,B24022_017EA,B24022_017MA,B24022_018MA,B24022_018EA,B24022_019MA,B24022_019EA,B24022_020MA,B24022_020EA,B24022_021EA,B24022_021MA,B24022_022EA,B24022_022MA,B24022_023EA,state
4079,30164,1461,34589,1887,36578,4866,51195,983,56083,2606,45027,1940,45411,1625,34333,3040,43028,3520,50601,1533,41995,1144,46479,1480,47275,3652,33759,2819,46574,493,60012,1232,65153,2035,66337,1937,62856,2378,72149,3432,76886,3987,75272,7292,61384,3300,47871,1428,46798,1597,74316,8388,46062,1207,47484,5721,63404,3513,71630,2086,42464,4560,28650,1342,31975,871,46105,1828,39678,11323,56776,10530,23499,2327,23531,1658,31071,1291,39969,969,42391,3490,38933,1189,38057,3805,26084,8780,31682,10863,42545,4466,32096,1274,34368,2339,41982,7174,26624,1810,0400000US08,51543,276,56688,647,80825,749,81247,977,82398,4184,76165,3406,90061,1959,91875,1821,89602,3951,69274,6550,60585,1380,48323,2709,120299,27414,56335,2075,60687,4268,83488,5623,104500,17446,54469,5784,37588,1949,36775,1923,60198,4333,50514,3552,67223,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
2201,23210,2136,35319,1520,28908,4023,50584,764,55906,2223,45060,2695,49605,1597,40499,1731,47450,2271,51050,824,43381,1291,45739,857,50296,900,34096,1570,38102,690,50671,453,52660,1944,54734,3135,51816,1079,57069,3365,55638,5970,67453,9138,52169,8018,41895,656,41678,1651,50475,8964,42236,1100,37171,2261,53901,2298,63403,2990,40758,1251,24793,855,27088,777,36383,1121,33863,4612,39291,6029,20046,800,23087,1594,26298,1119,35002,592,35420,1067,34831,675,28615,3482,11850,7130,24539,7315,37225,16607,31305,542,31302,576,31931,5181,31172,991,0400000US18,44945,538,50832,284,69749,1583,71451,1030,72181,1955,66815,5281,73092,2151,71922,2650,75501,1991,67807,8935,52290,2841,43505,2867,100051,9012,55174,3863,43748,3801,73143,6485,101009,15091,40717,7329,34298,1395,24056,2247,47717,1859,48941,3910,47170,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
2499,23230,2001,32093,1067,31584,5428,46265,1347,50762,1360,41519,1654,45170,2218,29741,4232,41849,879,50987,1227,40940,600,44533,1801,44546,3367,30722,1320,37449,563,49908,881,50833,787,50452,1509,51183,1028,57155,3861,61216,6427,52686,15958,54353,4117,42478,1288,38127,3047,65709,12172,43062,1786,36835,5352,53168,2182,61303,1029,38817,3571,23980,834,26378,860,31256,1161,24813,5811,33375,4659,20114,1331,23418,2523,24133,2781,33391,946,34322,3800,33251,882,32184,4212,22101,6995,37798,14796,35010,3293,31019,740,33514,1615,32324,6229,24989,1789,0400000US21,42354,323,47835,988,65526,1364,69754,3558,70552,3058,66390,5808,70745,2539,66753,2555,75670,3796,60335,9146,51243,1115,40805,1521,91921,21200,52016,1913,48214,5373,71371,8681,110338,25676,52255,6676,32615,1169,26675,1592,42021,2103,40162,4087,42880,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
2426,21851,1488,27720,3146,32235,6104,51018,1795,51788,1849,47062,5670,45305,2099,33483,9116,44392,3601,50029,5459,47267,2093,56092,2887,47033,2810,30411,1903,35740,669,49750,1092,54043,2889,53835,3504,54545,3855,55708,8406,57117,7091,70969,10901,48038,6100,43960,1420,41431,2470,55723,8337,43432,1315,40605,3504,52402,2243,63552,2983,36492,2592,21629,463,22021,719,31014,3615,30226,6954,31541,3501,20429,875,19142,1089,22039,1617,31316,617,27113,1474,32238,778,38302,20501,20446,5439,25063,8255,51374,13553,25979,1687,22509,3010,29911,11312,26786,3546,0400000US22,43070,890,51682,469,71541,1302,75687,2844,75183,4167,78457,6333,79243,4696,66138,4740,90740,2773,65977,11168,57321,2974,55687,4973,110972,7804,54289,3674,51383,13139,75643,4789,82003,11242,60551,11608,31430,1056,32191,10923,51008,2541,45120,8292,52860,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
4365,28098,1672,32460,1714,35172,2746,54596,2235,60990,1292,47928,2265,51078,541,40637,1136,51270,758,51474,769,41861,355,42537,1315,50199,839,32964,1584,46013,455,61684,362,68711,2117,71378,1051,66032,1203,72180,1481,75768,1728,70940,3784,63388,4645,51689,646,46297,1631,82749,8123,50833,837,52539,4487,61437,855,71389,755,41233,1045,26827,406,28531,1218,50385,2676,36566,6385,62249,9621,22500,1443,25529,713,26157,1069,40410,397,41505,997,40060,506,39252,4229,19063,3631,43458,11356,42212,15057,30127,720,30149,856,40409,2461,26701,1090,0400000US17,51543,185,57022,477,82308,869,90451,1056,91850,1217,85391,2361,84535,3130,90076,2668,81543,1338,66666,6057,65001,2235,46335,2790,151419,3765,62857,2730,54175,4851,82752,5939,116196,13273,51469,3124,36667,726,30739,2232,69041,4475,50048,5286,77232,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
3296,26143,1009,35761,2131,31316,5677,52142,940,57418,3845,46919,2448,46838,1111,41045,1701,45941,1766,50549,903,44578,1399,44646,1609,51396,806,38091,2091,40407,444,52267,582,56130,1422,55513,2171,57147,2873,60990,3797,64546,5413,60864,13053,53997,5408,47130,1928,44735,2471,70491,18120,46523,2674,48897,5495,53255,2150,61263,1769,39154,1739,26139,623,29834,1057,52453,11234,57283,17950,49700,10807,23352,1413,23841,1461,22425,1484,36316,564,35241,2238,36693,634,34771,6979,30480,2132,40922,1100,36131,11685,31716,919,32490,1868,30247,9850,29083,3000,0400000US19,46831,501,51545,306,69221,2833,68743,3942,70163,3545,66672,3327,75950,1755,79294,3092,75933,4964,57659,5929,59181,3675,48542,5119,118367,21943,56443,2462,56176,8877,76997,5574,105332,16208,50497,6107,34192,2703,31425,2009,56720,4892,50572,9643,61540,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
6625,30257,2081,35749,2804,39441,13686,56451,4460,60247,6550,52189,3942,51647,916,31156,7543,51967,1448,52034,2762,45846,2029,47785,3196,52228,3791,34766,3385,45343,1070,61175,1389,64155,3259,66436,3202,61190,2839,73647,4506,76640,3432,75424,4893,56949,11112,47978,3914,40906,1217,64363,5551,50379,2885,55533,20545,60393,5420,76474,2327,40866,4939,30730,935,33113,3294,50200,8652,50841,25791,47362,8697,28614,5982,24294,1836,29026,4784,40372,1003,40975,4527,40267,1001,38591,16202,21758,10407,32544,14318,58056,24927,33312,2474,34312,3739,40192,11516,28261,4175,0400000US33,52428,1079,61158,1106,86832,3465,91676,2146,94227,8611,86564,6581,91709,3628,101557,6889,86205,6725,75072,15338,64066,3716,64692,18623,101854,23945,61057,9227,62435,9504,80427,18150,112934,38248,62481,21086,38802,3305,50561,15104,71679,4121,71596,9357,71756,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
2739,20279,1206,26590,1994,33954,5121,44551,3008,48938,4278,40050,2859,40208,1284,32080,2149,37753,3421,42659,3194,36503,894,37131,1451,44847,3651,30360,1050,36104,557,48925,1720,52074,3299,52016,4517,52129,3723,60481,6324,59195,9840,60402,16931,61235,9961,43776,1684,42237,6410,46987,4376,43008,1614,51239,1241,51263,1836,61115,1744,39321,3568,21928,526,24575,2673,35537,3556,30891,5185,40931,5961,19251,1539,19711,1682,22244,2089,32024,787,30577,1472,32681,1150,25922,5255,18763,13956,25776,4739,36807,3382,27439,1473,27833,2230,23500,5869,27734,3061,0400000US05,40213,448,42454,1134,63615,3069,66780,4001,68170,4825,64294,4335,68138,6098,72738,9185,68393,11222,60921,8453,52106,2140,50307,6499,94573,10414,51247,2804,45599,9027,80585,18253,120199,25269,41100,6718,29478,2107,30202,10882,38307,2086,35672,5129,39193,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
14158,21771,3173,36293,3339,40620,16808,50570,2954,52203,8332,47704,4912,43091,4859,42341,11851,42231,6294,44593,6460,44618,3967,48426,5087,47954,4985,34864,1511,43844,2906,61300,1635,63486,3934,70579,12593,61861,3809,77741,3513,73348,31142,85191,90338,75849,3637,52365,3801,51273,7075,59934,20692,52470,3939,49901,23234,67509,3293,76822,3596,36590,6288,25106,1880,30395,4216,52346,10834,51138,36259,55479,8783,21909,1126,24732,5591,22859,3512,36540,1576,30575,3482,37841,1820,33737,5986,23023,11288,33693,5786,46200,14816,27272,2222,26934,3700,30271,4614,27604,7077,0400000US10,48670,1645,52063,1503,76276,3681,87066,8282,85271,9923,95687,17188,77317,8065,81919,8782,76149,15132,66990,7619,61591,5774,46018,4058,140099,40935,58159,14086,60156,26586,73349,24435,102137,43429,70054,16250,33961,4575,28040,6646,42216,10630,27200,2491,54508,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
4791,30105,1454,36553,1396,36512,7737,52193,897,60728,1000,46047,1216,51534,531,36735,1165,53010,2054,52070,826,42529,841,43934,1445,47961,2193,35561,1889,46915,460,61030,455,65815,1024,65621,1565,66001,1571,70724,2816,72953,5423,72629,5074,65746,5632,51324,779,47183,2072,69577,5765,50143,1645,53233,2932,61234,881,72919,2896,42281,1355,29870,886,31403,770,49978,5875,36401,15021,59217,8854,27205,1347,26318,1507,28309,2287,41354,408,41725,949,41256,430,41811,3639,31115,7518,41600,10489,50808,4975,33201,1208,34062,1299,36802,3067,30696,1348,0400000US27,51834,220,56908,574,78946,1896,81644,911,82403,2907,79125,4321,82309,1812,88688,3831,77151,1724,76447,4447,62865,3238,51169,1582,130131,22230,62207,4277,65223,4129,82770,5539,111589,7266,57718,4281,36780,921,32019,2986,60889,1899,44976,9020,70100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
