GEO_ID,C24060_001E,C24060_001M,C24060_002E,C24060_002M,C24060_003E,C24060_003M,C24060_004E,C24060_004M,C24060_005E,C24060_005M,C24060_006E,C24060_006M,C24060_007E,C24060_007M,C24060_008E,C24060_008M,C24060_009E,C24060_009M,C24060_010E,C24060_010M,C24060_011E,C24060_011M,C24060_012E,C24060_012M,C24060_013E,C24060_013M,C24060_014E,C24060_014M,C24060_015E,C24060_015M,C24060_016E,C24060_016M,C24060_017E,C24060_017M,C24060_018E,C24060_018M,C24060_019E,C24060_019M,C24060_020E,C24060_020M,C24060_021E,C24060_021M,C24060_022E,C24060_022M,C24060_023E,C24060_023M,C24060_024E,C24060_024M,C24060_025E,C24060_025M,C24060_026E,C24060_026M,C24060_027E,C24060_027M,C24060_028E,C24060_028M,C24060_029E,C24060_029M,C24060_030E,C24060_030M,C24060_031E,C24060_031M,C24060_032E,C24060_032M,C24060_033E,C24060_033M,C24060_034E,C24060_034M,C24060_035E,C24060_035M,C24060_036E,C24060_036M,NAME,C24060_001MA,C24060_001EA,C24060_002MA,C24060_002EA,C24060_003EA,C24060_003MA,C24060_004MA,C24060_004EA,C24060_005MA,C24060_005EA,C24060_006MA,C24060_006EA,C24060_007MA,C24060_007EA,C24060_008MA,C24060_008EA,C24060_009MA,C24060_009EA,C24060_010MA,C24060_010EA,C24060_011MA,C24060_011EA,C24060_012MA,C24060_012EA,C24060_013MA,C24060_013EA,C24060_014EA,C24060_014MA,C24060_015MA,C24060_015EA,C24060_016MA,C24060_016EA,C24060_017MA,C24060_017EA,C24060_018MA,C24060_018EA,C24060_019MA,C24060_019EA,C24060_020MA,C24060_020EA,C24060_021MA,C24060_021EA,C24060_022MA,C24060_022EA,C24060_023MA,C24060_023EA,C24060_024MA,C24060_024EA,C24060_025EA,C24060_025MA,C24060_026MA,C24060_026EA,C24060_027MA,C24060_027EA,C24060_028MA,C24060_028EA,C24060_029MA,C24060_029EA,C24060_030MA,C24060_030EA,C24060_031MA,C24060_031EA,C24060_032MA,C24060_032EA,C24060_033MA,C24060_033EA,C24060_034MA,C24060_034EA,C24060_035MA,C24060_035EA,C24060_036MA,C24060_036EA,state
0400000US08,2982794,18123,1282098,13753,485587,12233,646737,14401,271212,10490,297160,9348,2018587,20561,726600,11800,340164,10200,494071,13005,205815,8919,251937,9320,150871,7154,80524,4738,13319,2219,31922,3383,16800,1943,8306,1724,234501,7958,163854,6527,22939,2999,35550,3077,5207,1280,6951,1486,396445,10830,233336,7706,71775,4426,58577,3673,17169,2488,15588,1962,182390,6867,77784,3960,37390,3166,26617,2975,26221,2800,14378,1937,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,3238769,17111,1117127,16751,531078,11823,672259,14035,277288,8225,641017,11827,2370347,17564,649748,13536,373199,10465,532111,13866,220168,8144,595121,11046,89964,5092,43540,3203,7051,1380,20920,2053,10982,1593,7471,1489,293567,8792,191414,7981,44871,3813,43260,3258,4633,1019,9389,1814,337290,9292,184323,6453,70845,4468,53481,3453,12225,1737,16416,2028,147601,6559,48102,3748,35112,2800,22487,2573,29280,3110,12620,1767,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1995789,14195,694175,12856,337900,10621,425612,11826,177204,7099,360898,9073,1407513,14443,379721,9120,230660,8437,333671,10544,135676,6529,327785,8499,54062,3587,26728,2495,6771,1390,11288,1651,5815,1065,3460,923,151122,6453,99760,5295,22091,2247,19565,2208,4263,1208,5443,1163,275343,7409,150701,5704,55033,4223,45055,3390,9584,1582,14970,1941,107749,5722,37265,3456,23345,2800,16033,1783,21866,2348,9240,1659,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2015672,17879,692798,12355,398045,12371,436378,11012,230867,7261,257584,8392,1404710,15623,387699,10240,275408,10608,339889,9819,179112,6980,222602,8038,71836,5275,36371,3727,7129,1609,13178,1926,8909,1745,6249,1511,120134,6099,78230,4508,18398,2807,16486,2208,3481,1445,3539,1169,289730,9563,150252,7044,60641,4960,51174,3658,11510,1990,16153,2577,129262,6612,40246,3643,36469,4173,15651,2149,27855,3683,9041,1418,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,6294086,22560,2458382,24172,1079502,15588,1368492,17908,445327,11916,942383,14287,4475141,25202,1468431,19733,736039,13241,1094985,17270,341318,10329,834368,13586,237637,6791,114882,4567,24055,3015,47936,3606,27575,2706,23189,1951,549167,11019,369613,8714,72314,5169,77592,4227,9196,1591,20452,2144,732262,14666,396570,11458,169495,6384,107926,6040,22798,2138,35473,3017,299879,8299,108886,5076,77599,4426,40053,3070,44440,3976,28901,2709,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1615999,9976,586859,10853,267948,7846,334410,8217,148324,5254,278458,7042,1107467,10108,311788,8331,175499,6613,260149,7105,110460,4633,249571,6713,58243,3592,25783,2062,6397,1400,13701,1933,7640,1041,4722,1000,135429,4975,82398,4084,26347,2321,18959,1932,2743,669,4982,879,213963,6836,128810,5604,35499,2942,29602,2537,9099,1149,10953,1678,100897,4337,38080,2972,24206,2149,11999,1341,18382,1743,8230,1166,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,729001,7362,294942,8418,120558,5218,160533,6375,62538,3833,90430,6032,486278,7011,164425,6349,78525,4318,122771,5575,40962,3174,79595,5668,24028,2216,12288,1648,2529,883,3725,901,3810,891,1676,921,83132,5550,51642,3765,13533,1892,14291,2118,1133,522,2533,1191,87610,4247,49929,3189,15446,2079,13074,1529,4876,1096,4285,1075,47953,3127,16658,1851,10525,1789,6672,1085,11757,1670,2341,745,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1317275,12542,443571,10857,222937,8043,281588,8328,130516,6847,238663,8101,891213,12784,226723,7842,143459,6853,217266,8343,93084,5327,210681,8354,47169,3578,22971,2483,3964,1202,8871,1532,6608,1561,4755,1203,96869,5117,64113,4319,14296,2509,12409,1809,1609,891,4442,1183,190884,8692,104299,5997,38799,3581,30098,2711,8869,1656,8819,1497,91140,5412,25465,2894,22419,2563,12944,1831,20346,2477,9966,1917,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,458434,6653,177791,6173,86552,5109,101410,4850,39745,3263,52936,4403,310120,7452,96893,4819,62801,4069,76761,3990,29423,2881,44242,4037,19836,2625,9761,1640,2207,791,4270,1105,2474,1137,1124,470,37866,3139,23887,2330,5876,1446,5666,1261,897,558,1540,827,69498,3844,39543,3457,11416,2011,11143,1849,2659,799,4737,1470,21114,2098,7707,1543,4252,1067,3570,864,4292,1200,1293,594,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2973535,12514,1224645,12514,477814,9099,628938,11036,231481,6170,410657,8320,2023484,13361,687806,10741,319751,8200,483170,9505,172960,5899,359797,7962,112250,4587,55445,3230,11515,1441,22432,1770,15169,1575,7689,1169,339690,8210,215844,5653,56895,4286,47526,3103,4343,758,15082,2139,341015,7842,203049,5496,56210,3846,52740,3101,14325,1434,14691,1648,157096,4375,62501,2358,33443,2226,23070,2148,24684,1942,13398,1397,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
