GEO_ID,B14007A_001E,B14007A_001M,B14007A_002E,B14007A_002M,B14007A_003E,B14007A_003M,B14007A_004E,B14007A_004M,B14007A_005E,B14007A_005M,B14007A_006E,B14007A_006M,B14007A_007E,B14007A_007M,B14007A_008E,B14007A_008M,B14007A_009E,B14007A_009M,B14007A_010E,B14007A_010M,B14007A_011E,B14007A_011M,B14007A_012E,B14007A_012M,B14007A_013E,B14007A_013M,B14007A_014E,B14007A_014M,B14007A_015E,B14007A_015M,B14007A_016E,B14007A_016M,B14007A_017E,B14007A_017M,B14007A_018E,B14007A_018M,B14007A_019E,B14007A_019M,NAME,B14007A_001EA,B14007A_001MA,B14007A_002EA,B14007A_002MA,B14007A_003EA,B14007A_003MA,B14007A_004EA,B14007A_004MA,B14007A_005EA,B14007A_005MA,B14007A_006EA,B14007A_006MA,B14007A_007EA,B14007A_007MA,B14007A_008EA,B14007A_008MA,B14007A_009EA,B14007A_009MA,B14007A_010EA,B14007A_010MA,B14007A_011EA,B14007A_011MA,B14007A_012EA,B14007A_012MA,B14007A_013EA,B14007A_013MA,B14007A_014EA,B14007A_014MA,B14007A_015EA,B14007A_015MA,B14007A_016EA,B14007A_016MA,B14007A_017EA,B14007A_017MA,B14007A_018EA,B14007A_018MA,B14007A_019MA,B14007A_019EA,state
0400000US08,4639000,14991,1124210,13203,76364,4235,55200,3442,51809,3459,55921,4057,58582,3928,55320,3487,57860,3509,60402,3109,57290,3286,56506,3292,59009,3706,56436,3247,59012,3969,58493,3972,238894,7318,67112,4338,3514790,14171,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5349978,12119,1275467,11761,78591,4108,64521,4462,62722,4394,65326,3390,72311,4509,63335,3915,69848,4043,67877,3666,67279,4253,69294,3735,71800,3506,71056,3609,64063,3877,69417,3845,267406,7315,50621,3710,4074511,12093,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3739758,6380,863938,7581,54191,3397,42190,2876,42665,3377,46720,3127,44996,3717,47514,3232,47671,3286,43995,3432,45919,3214,50697,3290,46006,3350,46743,2795,45692,2809,45204,3237,171395,5795,42340,3815,2875820,8547,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2779146,8641,633742,8223,42362,3465,33259,3417,35329,2803,32105,3332,33511,2875,31970,2890,34816,2925,34745,3441,34200,3045,32379,3022,33923,2976,30388,2351,33884,3031,34285,2959,126338,6118,30248,3094,2145404,9677,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,8833267,25933,2106001,15577,146186,5229,97154,5639,95504,4877,95365,4193,103225,4655,108322,5011,108529,5288,109395,4177,109674,4162,107997,4507,111027,5276,113021,4247,112935,4858,121638,4544,440213,9068,125816,7261,6727266,20794,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2748816,5913,672501,6804,44563,2720,35678,2627,31554,2380,34444,2631,34037,2046,33255,2719,39204,2462,35942,2150,36373,2482,35791,2173,34922,2509,35183,1964,33958,2155,37099,2479,142141,5344,28357,2316,2076315,7580,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1220886,3595,266750,4393,17596,1927,10630,1858,13641,1924,12804,1545,10636,1641,12199,1539,13142,1795,13223,1511,13867,1668,14436,1734,12760,1700,16039,1759,13194,1565,16848,1901,61893,3022,13842,1786,954136,4973,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2226781,7183,507518,6261,30684,2528,24599,2532,24759,2684,27603,2487,29097,2610,26577,2345,29873,2560,27897,2859,27061,2711,27005,2838,27618,2539,26605,2138,27308,2100,26295,2630,103168,5190,21369,2704,1719263,8382,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,640519,4595,134085,3351,7855,1514,4936,1033,7053,1333,6372,1299,6006,1159,6554,1308,7595,1549,7382,1613,6098,1094,8918,1428,6911,1660,7080,1242,7646,1225,6760,1164,30740,2423,6179,1310,506434,4388,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4473117,8008,1038894,8968,76943,3332,47280,2415,49728,2567,52304,2933,49725,2289,53616,2832,52496,2930,53050,2804,54438,2646,57881,3256,55354,2896,55459,2551,51041,2458,60142,2990,213311,6094,56126,3241,3434223,9138,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
